,user1,similarity,group,phase,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count
65,CristianLozano,0.016260162601626018,0,3,,,,,,0.0
66,jdsuarezj,0.12195121951219512,0,3,jdsuarezj,1.0,3.0,3.0,2.0,8.0
67,pipemax85,0.12307692307692308,0,3,pipemax85,1.0,3.0,5.0,2.0,1.0
68,juandavidro,0.047244094488188976,0,3,juandavidro,1.0,2.0,2.0,2.0,1.0
69,UNhcrodriguezl,0.18285714285714286,0,3,UNhcrodriguezl,3.0,3.0,5.0,3.0,6.0
70,camilo13152,0.189873417721519,0,3,camilo13152,3.0,5.0,5.0,2.0,4.0
71,leavendanoro,0.034482758620689655,0,3,leavendanoro,0.0,1.0,4.0,1.0,6.0
72,cdcordobaa,0.04895104895104895,0,3,cdcordobaa,2.0,4.0,5.0,2.0,1.0
73,capinillab,0.078125,0,3,capinillab,0.0,0.0,0.0,0.0,0.0
74,lfvalderrama,0.05357142857142857,0,3,lfvalderrama,0.0,3.0,5.0,2.0,1.0
75,bsgarciac,0.0845771144278607,0,3,bsgarciac,0.0,3.0,4.0,2.0,3.0
76,gabi04,0.047619047619047616,0,3,gabi04,0.0,0.0,5.0,2.0,1.0
77,fffeelipe,0.051643192488262914,0,4,fffeelipe,1.0,0.0,5.0,3.0,3.0
78,mnguzmanc,0.013468013468013467,0,4,mnguzmanc,2.0,1.0,3.0,2.0,7.0
79,jmcuestasb,0.05113636363636364,0,4,jmcuestasb,1.0,3.0,4.0,2.0,1.0
80,katherinsb,0.022058823529411766,0,4,katherinsb,1.0,2.0,4.0,2.0,0.0
81,jjrodriguezn,0.13178294573643412,0,4,jjrodriguezn,2.0,2.0,3.0,1.0,0.0
82,DglyP,0.011266643905769888,0,4,DglyP,1.0,3.0,4.0,3.0,1.0
83,Judgarciani,0.053497942386831275,0,4,Judgarciani,3.0,3.0,4.0,2.0,4.0
84,sacastroc,0.06989247311827956,0,4,sacastroc,1.0,2.0,4.0,2.0,3.0
85,pcberriop,0.13580246913580246,0,4,pcberriop,0.0,1.0,3.0,2.0,1.0
86,hsmartineza,0.12422360248447205,0,4,hsmartineza,0.0,1.0,3.0,2.0,2.0
87,Moimolcp,0.03664921465968586,0,4,Moimolcp,1.0,1.0,5.0,1.0,3.0
88,CamiloRueda,0.012269938650306749,0,4,CamiloRueda,3.0,3.0,6.0,1.0,0.0
89,JoseMolano,0.19285714285714287,0,4,JoseMolano,1.0,5.0,4.0,4.0,1.0
90,maikellPardoA,0.016666666666666666,0,4,maikellPardoA,3.0,3.0,3.0,2.0,0.0
91,NicolasZon,0.031746031746031744,0,4,NicolasZon,3.0,3.0,3.0,1.0,0.0
92,camilo654,0.04964539007092199,0,4,camilo654,0.0,1.0,4.0,2.0,1.0
93,CristianLozano,0.016260162601626018,0,4,,,,,,0.0
94,jdsuarezj,0.12195121951219512,0,4,jdsuarezj,1.0,3.0,3.0,2.0,0.0
95,pipemax85,0.12307692307692308,0,4,pipemax85,1.0,3.0,5.0,2.0,0.0
96,juandavidro,0.047244094488188976,0,4,juandavidro,1.0,2.0,2.0,2.0,1.0
97,UNhcrodriguezl,0.18285714285714286,0,4,UNhcrodriguezl,3.0,3.0,5.0,3.0,1.0
98,camilo13152,0.16477272727272727,0,4,camilo13152,3.0,5.0,5.0,2.0,3.0
99,leavendanoro,0.044585987261146494,0,4,leavendanoro,0.0,1.0,4.0,1.0,1.0
100,cdcordobaa,0.04895104895104895,0,4,cdcordobaa,2.0,4.0,5.0,2.0,0.0
101,capinillab,0.11678832116788321,0,4,capinillab,0.0,0.0,0.0,0.0,1.0
102,lfvalderrama,0.058823529411764705,0,4,lfvalderrama,0.0,3.0,5.0,2.0,1.0
103,bsgarciac,0.08771929824561403,0,4,bsgarciac,0.0,3.0,4.0,2.0,5.0
104,gabi04,0.047619047619047616,0,4,gabi04,0.0,0.0,5.0,2.0,0.0
105,fffeelipe,0.05405405405405406,0,5,fffeelipe,1.0,0.0,5.0,3.0,1.0
106,mnguzmanc,0.013428451531682753,0,5,mnguzmanc,2.0,1.0,3.0,2.0,8.0
107,jmcuestasb,0.05113636363636364,0,5,jmcuestasb,1.0,3.0,4.0,2.0,1.0
108,katherinsb,0.007109995817649519,0,5,katherinsb,1.0,2.0,4.0,2.0,1.0
109,jjrodriguezn,0.12878787878787878,0,5,jjrodriguezn,2.0,2.0,3.0,1.0,1.0
110,DglyP,0.0125,0,5,DglyP,1.0,3.0,4.0,3.0,11.0
111,Judgarciani,0.16725978647686832,0,5,Judgarciani,3.0,3.0,4.0,2.0,7.0
112,sacastroc,0.07608695652173914,0,5,sacastroc,1.0,2.0,4.0,2.0,1.0
113,pcberriop,0.07216494845360824,0,5,pcberriop,0.0,1.0,3.0,2.0,2.0
114,hsmartineza,0.12195121951219512,0,5,hsmartineza,0.0,1.0,3.0,2.0,2.0
115,Moimolcp,0.03482587064676617,0,5,Moimolcp,1.0,1.0,5.0,1.0,2.0
116,CamiloRueda,0.012269938650306749,0,5,CamiloRueda,3.0,3.0,6.0,1.0,0.0
117,JoseMolano,0.19285714285714287,0,5,JoseMolano,1.0,5.0,4.0,4.0,1.0
118,maikellPardoA,0.016666666666666666,0,5,maikellPardoA,3.0,3.0,3.0,2.0,0.0
119,NicolasZon,0.031746031746031744,0,5,NicolasZon,3.0,3.0,3.0,1.0,0.0
120,camilo654,0.04964539007092199,0,5,camilo654,0.0,1.0,4.0,2.0,1.0
