,Student,group,abs_perform_diff_best,phase
171,Judgarciani,0,160.82999999999998,2
172,sacastroc,0,44.16999999999999,2
173,pcberriop,0,81.66999999999999,2
174,hsmartineza,0,160.82999999999998,2
175,Moimolcp,0,126.67,2
176,CamiloRueda,0,185.0,2
177,juanescai,0,185.0,2
178,JoseMolano,0,101.66999999999999,2
179,maikellPardoA,0,160.0,2
180,NicolasZon,0,147.5,2
181,camilo654,0,52.5,2
182,CristianLozano,0,144.17000000000002,2
183,jdsuarezj,0,122.5,2
184,pipemax85,0,144.17000000000002,2
185,juandavidro,0,119.16999999999999,2
186,UNhcrodriguezl,0,56.66999999999999,2
187,camilo13152,0,144.17000000000002,2
188,leavendanoro,0,135.0,2
189,cdcordobaa,0,56.66999999999999,2
190,capinillab,0,0.0,2
191,janoguerab,0,160.82999999999998,2
192,lfvalderrama,0,105.83000000000001,2
193,bsgarciac,0,15.830000000000013,2
194,gabi04,0,185.0,2
195,annipi,0,235.0,2
196,jdsolanos,0,235.0,2
197,jcneivaa,0,235.0,2
198,fmbernalb,0,235.0,2
199,MogGy94,0,235.0,2
200,yocuervoc,0,235.0,2
201,odprietoh,0,185.0,2
202,gasierram,1,192.49999999999997,2
203,adamantwharf,1,238.32999999999998,2
204,bdcajicam,1,238.32999999999998,2
205,andfsanchezlem,1,275.83,2
206,dfhincapiem,1,204.99999999999997,2
207,helmeraac,1,183.32999999999998,2
208,dasalgadob,1,258.33,2
209,falperezgo,1,3.329999999999984,2
210,djguzmanc,1,67.07999999999998,2
211,gsuarezc04,1,199.99999999999997,2
212,oeroaq,1,45.0,2
213,gcantem,1,81.66,2
214,Semoralesga,1,142.49999999999997,2
215,jonatan360,1,105.82999999999998,2
216,jesusfchavarro,1,44.15999999999997,2
217,stevenbustos,1,230.0,2
218,jufcontrerasco,1,225.0,2
219,dsbarrerag,1,0.0,2
220,wolfstain,1,142.49999999999997,2
221,miaborjaac,1,217.5,2
222,ivdgonzalezco,1,204.99999999999997,2
223,maikellPardo,1,270.83,2
224,Christian7sr,1,221.65999999999997,2
225,jsnarvaezb,1,125.82999999999998,2
226,gfalbarracinr,1,270.83,2
227,aldiazve,1,122.49999999999997,2
228,diegoaguevarar,1,114.16,2
229,fevargasmo,1,204.16,2
230,jmhurtadoc,1,245.82999999999998,2
231,anfmorenoso,1,217.5,2
232,nabautistal,1,234.15999999999997,2
233,crigar,1,238.32999999999998,2
234,jiapulidoar,1,76.65999999999997,2
235,jsviveroj,1,179.99999999999997,2
236,daandradec,1,20.0,2
237,jcrubioa,1,145.82999999999998,2
238,joahernandezca,1,258.33,2
239,ItsNavi,1,320.83,2
240,Zeugmax,1,320.83,2
241,kastellanos,1,333.33,2
242,JairVillalba,1,270.83,2
243,jusherrerama,2,168.33,2
244,bdvegat,2,235.0,2
245,Phoenixest,2,218.32999999999998,2
246,HashNick,2,221.67000000000002,2
247,ccvacad,2,317.5,2
248,joaortizro,2,61.670000000000016,2
249,juasmartinezbel,2,33.329999999999984,2
250,mdbelloc,2,205.0,2
251,diegocruz10,2,201.67,2
252,crarojasca,2,272.5,2
253,sagilm,2,259.17,2
254,idrojasf,2,161.67,2
255,raulramirezp,2,110.83000000000001,2
256,fabianr23,2,0.0,2
257,jhriverasa,2,105.83000000000001,2
258,jhonsd1996,2,255.0,2
259,JuanitoAli,2,45.829999999999984,2
260,Davsatu313,2,93.33000000000001,2
261,cesarochoa2006,2,74.16999999999999,2
262,jjmuesesq,2,143.33,2
263,jucjimenezmo,2,230.82999999999998,2
264,kancas,2,86.66999999999999,2
265,Gantiva,2,196.67,2
266,Dandarprox,2,194.17,2
267,debeltranc,2,255.0,2
268,ykchautai,2,210.0,2
269,ligibrial,2,221.67000000000002,2
270,davidrh195,2,210.0,2
271,JulianaNino,2,238.32999999999998,2
272,luegilca,2,217.5,2
273,Yelis3,2,118.33000000000001,2
274,begarzonf,2,222.5,2
275,kmendezp96,2,119.16999999999999,2
276,leguzman,2,85.83000000000001,2
277,luealfonsoru,2,192.5,2
278,oserasoa,2,234.17000000000002,2
279,lsfinite,2,230.0,2
280,xdanielsb,2,242.5,2
281,CSebasGomez,2,317.5,2
282,jhcardenasa,2,317.5,2
283,tres-iqus,2,317.5,2
284,jscontrerasp,2,330.0,2
285,lemartinp,3,201.66,2
286,juligarji,3,91.24999999999997,2
287,nfmorenog,3,199.99999999999997,2
288,AFelipeGA,3,180.82999999999998,2
289,mballeng91,3,233.32999999999998,2
290,dduartec,3,0.0,2
291,srmedinac,3,217.5,2
292,wilson911013,3,242.5,2
293,wapiravaguens,3,140.82999999999998,2
294,davidh17,3,87.49999999999997,2
295,DianaNavarrete,3,204.99999999999997,2
296,jdmonroyg,3,320.83,2
297,jorge52an,3,145.82999999999998,2
298,jscastelblancoh,3,69.15999999999997,2
299,juclopezso,3,221.65999999999997,2
300,afforeroc,3,230.0,2
301,dagofonseca,3,143.32999999999998,2
302,lacardenasv,3,69.15999999999997,2
303,oacastillol,3,216.65999999999997,2
304,ncampuzano,3,209.15999999999997,2
305,adriel62,3,129.99999999999997,2
306,capinzor,3,213.32999999999998,2
307,ofnanezn,3,200.82999999999998,2
308,macuestap,3,188.32999999999998,2
309,spenas,3,217.5,2
310,kgbayala528,3,210.0,2
311,lgmoralesa,3,65.0,2
312,ronaldsg20,3,171.66,2
313,cccristanchoc,3,230.0,2
314,jmalvarezd,3,134.99999999999997,2
315,smarquezo,3,221.65999999999997,2
316,sarizag,3,192.49999999999997,2
317,Chranium,3,225.82999999999998,2
318,DavidQP,3,213.32999999999998,2
319,afceballosr,3,230.0,2
320,lizzyt10h,3,258.33,2
321,NicolasPrr,3,233.32999999999998,2
322,jumcorredorro,3,24.159999999999968,2
323,feartheGru,3,320.83,2
324,Danielsv9207,3,320.83,2
325,JhonEmmanuelTorres,3,320.83,2
326,fffeelipe,0,120.82999999999998,3
327,mnguzmanc,0,56.66,3
328,jmcuestasb,0,160.82999999999998,3
329,katherinsb,0,293.33,3
330,jjrodriguezn,0,190.0,3
331,DglyP,0,153.32999999999998,3
332,cap182,0,244.15999999999997,3
333,annumumozme,0,293.33,3
334,Judgarciani,0,71.66,3
335,sacastroc,0,77.49999999999997,3
336,pcberriop,0,127.49999999999997,3
337,hsmartineza,0,62.49999999999997,3
338,Moimolcp,0,123.32999999999998,3
339,CamiloRueda,0,243.32999999999998,3
340,juanescai,0,231.65999999999997,3
341,JoseMolano,0,4.159999999999968,3
342,maikellPardoA,0,210.0,3
343,NicolasZon,0,205.82999999999998,3
344,camilo654,0,131.66,3
345,CristianLozano,0,206.65999999999997,3
346,jdsuarezj,0,0.0,3
347,pipemax85,0,190.0,3
348,juandavidro,0,117.49999999999997,3
349,UNhcrodriguezl,0,102.49999999999997,3
350,camilo13152,0,74.99999999999997,3
351,leavendanoro,0,180.82999999999998,3
352,cdcordobaa,0,102.49999999999997,3
353,capinillab,0,66.66,3
354,janoguerab,0,194.15999999999997,3
355,lfvalderrama,0,42.91,3
356,bsgarciac,0,20.829999999999984,3
357,gabi04,0,219.15999999999997,3
358,annipi,0,293.33,3
359,jdsolanos,0,293.33,3
360,jcneivaa,0,293.33,3
361,fmbernalb,0,293.33,3
362,MogGy94,0,293.33,3
363,yocuervoc,0,293.33,3
364,odprietoh,0,293.33,3
365,gasierram,1,213.32999999999998,3
366,adamantwharf,1,250.82999999999998,3
367,bdcajicam,1,188.32999999999998,3
368,andfsanchezlem,1,300.83,3
369,dfhincapiem,1,238.32999999999998,3
370,helmeraac,1,291.65999999999997,3
371,dasalgadob,1,295.83,3
372,falperezgo,1,7.5,3
373,djguzmanc,1,40.829999999999984,3
374,gsuarezc04,1,295.83,3
375,oeroaq,1,25.0,3
376,gcantem,1,119.16,3
377,Semoralesga,1,167.49999999999997,3
378,jonatan360,1,12.909999999999968,3
379,jesusfchavarro,1,0.0,3
380,stevenbustos,1,242.5,3
381,jufcontrerasco,1,217.49999999999997,3
382,dsbarrerag,1,20.829999999999984,3
383,wolfstain,1,150.82999999999998,3
384,miaborjaac,1,45.0,3
385,ivdgonzalezco,1,221.65999999999997,3
386,maikellPardo,1,287.5,3
387,Christian7sr,1,221.65999999999997,3
388,jsnarvaezb,1,117.49999999999997,3
389,gfalbarracinr,1,270.83,3
390,aldiazve,1,116.24999999999997,3
391,diegoaguevarar,1,20.829999999999984,3
392,fevargasmo,1,32.5,3
393,jmhurtadoc,1,225.0,3
394,anfmorenoso,1,230.0,3
395,nabautistal,1,259.15999999999997,3
396,crigar,1,263.33,3
397,jiapulidoar,1,64.15999999999997,3
398,jsviveroj,1,52.5,3
399,daandradec,1,104.99999999999997,3
400,jcrubioa,1,140.41,3
401,joahernandezca,1,237.5,3
402,ItsNavi,1,345.83,3
403,Zeugmax,1,345.83,3
404,kastellanos,1,345.83,3
405,JairVillalba,1,283.33,3
406,jusherrerama,2,238.32999999999998,3
407,bdvegat,2,263.33,3
408,Phoenixest,2,263.33,3
409,HashNick,2,255.0,3
410,ccvacad,2,358.33,3
411,joaortizro,2,53.329999999999984,3
412,juasmartinezbel,2,65.0,3
413,mdbelloc,2,224.99999999999997,3
414,diegocruz10,2,246.65999999999997,3
415,crarojasca,2,313.33,3
416,sagilm,2,212.49999999999997,3
417,idrojasf,2,202.49999999999997,3
418,raulramirezp,2,134.99999999999997,3
419,fabianr23,2,0.0,3
420,jhriverasa,2,45.829999999999984,3
421,jhonsd1996,2,204.99999999999997,3
422,JuanitoAli,2,103.32999999999998,3
423,Davsatu313,2,37.5,3
424,cesarochoa2006,2,81.65999999999997,3
425,jjmuesesq,2,279.15999999999997,3
426,jucjimenezmo,2,258.0,3
427,kancas,2,127.49999999999997,3
428,Gantiva,2,129.16,3
429,Dandarprox,2,222.49999999999997,3
430,debeltranc,2,258.33,3
431,ykchautai,2,163.32999999999998,3
432,ligibrial,2,237.5,3
433,davidrh195,2,250.82999999999998,3
434,JulianaNino,2,234.15999999999997,3
435,luegilca,2,237.5,3
436,Yelis3,2,90.0,3
437,begarzonf,2,184.16,3
438,kmendezp96,2,122.49999999999997,3
439,leguzman,2,208.32999999999998,3
440,luealfonsoru,2,212.49999999999997,3
441,oserasoa,2,234.15999999999997,3
442,lsfinite,2,258.33,3
443,xdanielsb,2,283.33,3
444,CSebasGomez,2,358.33,3
445,jhcardenasa,2,358.33,3
446,tres-iqus,2,358.33,3
447,jscontrerasp,2,358.33,3
448,lemartinp,3,193.33,3
449,juligarji,3,126.66999999999999,3
450,nfmorenog,3,196.67,3
451,AFelipeGA,3,177.5,3
452,mballeng91,3,230.0,3
453,dduartec,3,25.0,3
454,srmedinac,3,214.17000000000002,3
455,wilson911013,3,239.17000000000002,3
456,wapiravaguens,3,137.5,3
457,davidh17,3,109.16999999999999,3
458,DianaNavarrete,3,182.5,3
459,jdmonroyg,3,330.0,3
460,jorge52an,3,167.5,3
461,jscastelblancoh,3,99.16999999999999,3
462,juclopezso,3,218.32999999999998,3
463,afforeroc,3,226.67000000000002,3
464,dagofonseca,3,102.5,3
465,lacardenasv,3,65.82999999999998,3
466,oacastillol,3,209.17000000000002,3
467,ncampuzano,3,213.32999999999998,3
468,adriel62,3,139.17,3
469,capinzor,3,122.5,3
470,ofnanezn,3,181.67,3
471,macuestap,3,185.0,3
472,spenas,3,214.17000000000002,3
473,kgbayala528,3,78.33000000000001,3
474,lgmoralesa,3,20.0,3
475,ronaldsg20,3,172.5,3
476,cccristanchoc,3,226.67000000000002,3
477,jmalvarezd,3,55.0,3
478,smarquezo,3,218.32999999999998,3
479,sarizag,3,201.67,3
480,Chranium,3,235.0,3
481,DavidQP,3,205.82999999999998,3
482,afceballosr,3,226.67000000000002,3
483,lizzyt10h,3,184.17,3
484,NicolasPrr,3,221.67000000000002,3
485,jumcorredorro,3,0.0,3
486,feartheGru,3,330.0,3
487,Danielsv9207,3,330.0,3
488,JhonEmmanuelTorres,3,330.0,3
489,fffeelipe,0,120.41,4
490,mnguzmanc,0,68.32999999999998,4
491,jmcuestasb,0,92.49999999999997,4
492,katherinsb,0,184.99999999999997,4
493,jjrodriguezn,0,181.66,4
494,DglyP,0,150.82999999999998,4
495,cap182,0,264.15999999999997,4
496,annumumozme,0,313.33,4
497,Judgarciani,0,70.82999999999998,4
498,sacastroc,0,93.32999999999998,4
499,pcberriop,0,147.49999999999997,4
500,hsmartineza,0,137.07999999999998,4
501,Moimolcp,0,192.5,4
502,CamiloRueda,0,243.32999999999998,4
503,juanescai,0,263.33,4
504,JoseMolano,0,96.66,4
505,maikellPardoA,0,288.33,4
506,NicolasZon,0,225.82999999999998,4
507,camilo654,0,69.99999999999997,4
508,CristianLozano,0,165.82999999999998,4
509,jdsuarezj,0,36.65999999999997,4
510,pipemax85,0,210.0,4
511,juandavidro,0,201.65999999999997,4
512,UNhcrodriguezl,0,97.49999999999997,4
513,camilo13152,0,69.99999999999997,4
514,leavendanoro,0,188.32999999999998,4
515,cdcordobaa,0,122.49999999999997,4
516,capinillab,0,61.66,4
517,janoguerab,0,214.15999999999997,4
518,lfvalderrama,0,105.82999999999998,4
519,bsgarciac,0,0.0,4
520,gabi04,0,239.15999999999997,4
521,annipi,0,313.33,4
522,jdsolanos,0,313.33,4
523,jcneivaa,0,313.33,4
524,fmbernalb,0,313.33,4
525,MogGy94,0,313.33,4
526,yocuervoc,0,313.33,4
527,odprietoh,0,313.33,4
528,gasierram,1,189.17,4
529,adamantwharf,1,255.0,4
530,bdcajicam,1,175.83,4
531,andfsanchezlem,1,305.0,4
532,dfhincapiem,1,242.5,4
533,helmeraac,1,263.33,4
534,dasalgadob,1,125.0,4
535,falperezgo,1,72.5,4
536,djguzmanc,1,57.70999999999998,4
537,gsuarezc04,1,300.0,4
538,oeroaq,1,0.0,4
539,gcantem,1,85.82999999999998,4
540,Semoralesga,1,171.67,4
541,jonatan360,1,6.670000000000016,4
542,jesusfchavarro,1,16.670000000000016,4
543,stevenbustos,1,234.17000000000002,4
544,jufcontrerasco,1,188.33,4
545,dsbarrerag,1,65.0,4
546,wolfstain,1,146.67,4
547,miaborjaac,1,48.329999999999984,4
548,ivdgonzalezco,1,185.0,4
549,maikellPardo,1,275.0,4
550,Christian7sr,1,225.82999999999998,4
551,jsnarvaezb,1,105.83000000000001,4
552,gfalbarracinr,1,300.0,4
553,aldiazve,1,90.0,4
554,diegoaguevarar,1,37.5,4
555,fevargasmo,1,101.66999999999999,4
