,Student,group,abs_perform_diff_best,phase
749,Davsatu313,2,34.79000000000002,5
750,cesarochoa2006,2,30.829999999999984,5
751,jjmuesesq,2,237.5,5
752,jucjimenezmo,2,170.0,5
753,kancas,2,175.0,5
754,Gantiva,2,11.670000000000016,5
755,Dandarprox,2,81.67000000000002,5
756,debeltranc,2,232.5,5
757,ykchautai,2,145.83,5
758,ligibrial,2,211.67,5
759,davidrh195,2,262.5,5
760,JulianaNino,2,133.33,5
761,luegilca,2,257.5,5
762,Yelis3,2,48.329999999999984,5
763,begarzonf,2,130.0,5
764,kmendezp96,2,52.70999999999998,5
765,leguzman,2,18.329999999999984,5
766,luealfonsoru,2,199.17,5
767,oserasoa,2,203.33,5
768,lsfinite,2,232.5,5
769,xdanielsb,2,0.0,5
770,CSebasGomez,2,357.5,5
771,jhcardenasa,2,357.5,5
772,tres-iqus,2,357.5,5
773,jscontrerasp,2,357.5,5
774,lemartinp,3,31.659999999999968,5
775,juligarji,3,5.829999999999984,5
776,nfmorenog,3,233.32999999999998,5
777,AFelipeGA,3,139.57999999999998,5
778,mballeng91,3,248.32999999999998,5
779,dduartec,3,15.0,5
780,srmedinac,3,232.49999999999997,5
781,wilson911013,3,285.83,5
782,wapiravaguens,3,33.329999999999984,5
783,davidh17,3,151.24999999999997,5
784,DianaNavarrete,3,215.82999999999998,5
785,jdmonroyg,3,285.83,5
786,jorge52an,3,50.829999999999984,5
787,jscastelblancoh,3,2.5,5
788,juclopezso,3,82.07999999999998,5
789,afforeroc,3,199.16,5
790,dagofonseca,3,129.16,5
791,lacardenasv,3,10.829999999999984,5
792,oacastillol,3,125.82999999999998,5
793,ncampuzano,3,157.49999999999997,5
794,adriel62,3,59.15999999999997,5
795,capinzor,3,157.49999999999997,5
796,ofnanezn,3,162.49999999999997,5
797,macuestap,3,183.32999999999998,5
798,spenas,3,245.0,5
799,kgbayala528,3,62.079999999999984,5
800,lgmoralesa,3,15.0,5
801,ronaldsg20,3,182.49999999999997,5
802,cccristanchoc,3,163.74999999999997,5
803,jmalvarezd,3,12.079999999999984,5
804,smarquezo,3,174.99999999999997,5
805,sarizag,3,151.24999999999997,5
806,Chranium,3,265.83,5
807,DavidQP,3,76.65999999999997,5
808,afceballosr,3,90.0,5
809,lizzyt10h,3,105.41,5
810,NicolasPrr,3,0.0,5
811,jumcorredorro,3,35.829999999999984,5
812,feartheGru,3,360.83,5
813,Danielsv9207,3,360.83,5
814,JhonEmmanuelTorres,3,360.83,5
