,improve-ur,improve-vis,improve-total,improve-novel,improve-tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,stage
22,-60.0,-25.0,-172.49999999999997,-50.0,-37.5,0.0,juandavidro,1.0,2.0,2.0,2.0,2
23,0.0,0.0,100.00000000000001,62.5,37.5,0.0,UNhcrodriguezl,3.0,3.0,5.0,3.0,2
24,20.0,4.159999999999997,74.16,0.0,50.0,0.0,camilo13152,3.0,5.0,5.0,2.0,2
25,0.0,25.0,75.0,25.0,25.0,0.0,leavendanoro,0.0,1.0,4.0,1.0,2
26,0.0,0.0,100.00000000000001,62.5,37.5,0.0,cdcordobaa,2.0,4.0,5.0,2.0,2
27,40.0,4.170000000000002,131.67000000000002,87.5,0.0,0.0,capinillab,0.0,0.0,0.0,0.0,2
28,20.0,29.17,86.67,0.0,37.5,0.0,janoguerab,3.0,3.0,4.0,2.0,2
29,0.0,41.67,66.66999999999999,25.0,0.0,0.0,lfvalderrama,0.0,3.0,5.0,2.0,2
30,20.0,4.170000000000002,124.16999999999999,87.5,12.5,0.0,bsgarciac,0.0,3.0,4.0,2.0,2
31,0.0,25.0,62.5,0.0,37.5,0.0,gabi04,0.0,0.0,5.0,2.0,2
32,0.0,0.0,12.5,0.0,12.5,0.0,annipi,1.0,0.0,4.0,2.0,2
33,0.0,0.0,-50.0,0.0,-50.0,0.0,jdsolanos,1.0,1.0,5.0,2.0,2
34,0.0,0.0,12.5,0.0,12.5,0.0,jcneivaa,0.0,0.0,4.0,2.0,2
35,0.0,0.0,12.5,0.0,12.5,0.0,fmbernalb,1.0,2.0,2.0,1.0,2
36,0.0,0.0,0.0,0.0,0.0,0.0,MogGy94,3.0,3.0,4.0,0.0,2
37,0.0,0.0,12.5,0.0,12.5,0.0,yocuervoc,0.0,1.0,5.0,2.0,2
38,0.0,0.0,37.5,25.0,12.5,0.0,odprietoh,4.0,4.0,5.0,2.0,2
39,0.0,-16.67,-54.16999999999999,-37.5,0.0,1.0,gasierram,3.0,4.0,5.0,4.0,2
40,0.0,0.0,12.5,0.0,12.5,1.0,adamantwharf,,,,,2
41,20.0,25.0,70.0,0.0,25.0,1.0,bdcajicam,0.0,2.0,5.0,2.0,2
42,0.0,0.0,-12.5,0.0,-12.5,1.0,andfsanchezlem,0.0,1.0,3.0,1.0,2
43,20.0,58.33,128.33,0.0,50.0,1.0,dfhincapiem,4.0,1.0,5.0,1.0,2
44,-20.0,0.0,80.0,87.5,12.5,1.0,helmeraac,5.0,4.0,6.0,4.0,2
45,0.0,0.0,-25.0,-25.0,0.0,1.0,dasalgadob,1.0,2.0,4.0,3.0,2
46,40.0,-4.170000000000002,73.32999999999998,12.5,25.0,1.0,falperezgo,4.0,4.0,5.0,3.0,2
47,0.0,-8.329999999999998,-14.579999999999984,-6.25,0.0,1.0,djguzmanc,0.0,5.0,6.0,3.0,2
48,0.0,20.83,133.33,75.0,37.5,1.0,gsuarezc04,1.0,1.0,3.0,2.0,2
49,20.0,0.0,57.49999999999997,0.0,37.5,1.0,oeroaq,4.0,4.0,5.0,3.0,2
50,-40.0,-37.5,-77.50000000000003,0.0,0.0,1.0,gcantem,0.0,2.0,5.0,2.0,2
51,0.0,0.0,125.00000000000001,62.5,62.5,1.0,Semoralesga,4.0,3.0,4.0,2.0,2
52,-20.0,-33.33,-58.329999999999984,7.5,-12.5,1.0,jonatan360,4.0,4.0,6.0,4.0,2
53,20.0,33.34,40.84,12.5,-25.0,1.0,jesusfchavarro,4.0,3.0,6.0,3.0,2
54,20.0,33.34,40.84,12.5,-25.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,2
55,0.0,-4.170000000000002,-29.17,-62.5,37.5,1.0,stevenbustos,0.0,1.0,0.0,1.0,2
56,0.0,4.159999999999997,16.659999999999997,-37.5,50.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,2
57,20.0,0.0,107.49999999999997,62.5,25.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,2
58,0.0,4.159999999999997,116.66000000000001,62.5,50.0,1.0,wolfstain,3.0,3.0,6.0,0.0,2
59,0.0,-4.170000000000002,-4.170000000000002,0.0,0.0,1.0,miaborjaac,0.0,0.0,4.0,1.0,2
60,20.0,33.33,128.33,0.0,75.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,2
61,0.0,0.0,-25.0,0.0,-25.0,1.0,maikellPardo,4.0,4.0,4.0,2.0,2
62,0.0,0.0,37.5,0.0,37.5,1.0,Christian7sr,3.0,3.0,3.0,2.0,2
63,0.0,8.329999999999998,33.33000000000001,12.5,12.5,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,2
64,0.0,0.0,0.0,-25.0,25.0,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,2
65,20.0,20.83,90.83000000000001,12.5,37.5,1.0,aldiazve,0.0,3.0,6.0,3.0,2
66,40.0,29.17,131.67,37.5,25.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,2
67,-40.0,-45.83,-35.83000000000001,25.0,25.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,2
68,0.0,0.0,-75.0,-37.5,-37.5,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,2
69,0.0,-4.170000000000002,18.33,-40.0,62.5,1.0,anfmorenoso,0.0,2.0,5.0,2.0,2
70,0.0,4.170000000000002,41.67,0.0,37.5,1.0,nabautistal,0.0,0.0,3.0,1.0,2
71,0.0,0.0,25.0,0.0,25.0,1.0,crigar,1.0,0.0,2.0,4.0,2
72,0.0,-8.329999999999998,37.50000000000003,33.33,12.5,1.0,jiapulidoar,4.0,4.0,5.0,2.0,2
73,0.0,0.0,50.000000000000014,25.0,25.0,1.0,jsviveroj,1.0,3.0,4.0,2.0,2
74,80.0,33.33,175.82999999999998,25.0,37.5,1.0,daandradec,2.0,2.0,6.0,2.0,2
75,-20.0,-16.67,50.83000000000001,87.5,0.0,1.0,jcrubioa,0.0,0.0,5.0,2.0,2
76,0.0,-12.5,-75.0,-62.5,0.0,1.0,joahernandezca,1.0,1.0,0.0,0.0,2
77,0.0,0.0,12.5,0.0,12.5,1.0,ItsNavi,1.0,2.0,5.0,2.0,2
78,0.0,0.0,12.5,0.0,12.5,1.0,Zeugmax,1.0,3.0,5.0,2.0,2
79,0.0,0.0,0.0,0.0,0.0,1.0,kastellanos,5.0,5.0,5.0,3.0,2
80,0.0,0.0,0.0,0.0,0.0,1.0,JairVillalba,1.0,1.0,3.0,2.0,2
81,0.0,-8.329999999999998,79.16999999999999,50.0,37.5,2.0,jusherrerama,,,,,2
82,20.0,25.0,95.0,0.0,50.0,2.0,bdvegat,1.0,2.0,4.0,1.0,2
83,0.0,0.0,37.5,0.0,37.5,2.0,Phoenixest,0.0,1.0,3.0,1.0,2
84,0.0,33.33,108.33,25.0,50.0,2.0,HashNick,1.0,3.0,5.0,3.0,2
85,0.0,0.0,12.5,0.0,12.5,2.0,ccvacad,1.0,0.0,4.0,2.0,2
86,40.0,8.329999999999998,160.82999999999998,87.5,25.0,2.0,joaortizro,0.0,2.0,2.0,1.0,2
87,20.0,0.0,45.00000000000003,25.0,0.0,2.0,juasmartinezbel,0.0,5.0,5.0,2.0,2
88,0.0,-4.170000000000002,33.33,0.0,37.5,2.0,mdbelloc,1.0,3.0,2.0,2.0,2
89,0.0,12.5,37.500000000000014,0.0,25.0,2.0,diegocruz10,3.0,3.0,3.0,1.0,2
90,0.0,0.0,12.5,0.0,12.5,2.0,crarojasca,1.0,3.0,5.0,2.0,2
91,0.0,8.329999999999998,20.83,0.0,12.5,2.0,sagilm,0.0,0.0,3.0,1.0,2
92,40.0,-16.67,-39.16999999999999,-37.5,-25.0,2.0,idrojasf,1.0,1.0,4.0,4.0,2
93,40.0,29.17,219.17,75.0,75.0,2.0,raulramirezp,1.0,2.0,5.0,2.0,2
94,0.0,-12.5,125.0,87.5,50.0,2.0,fabianr23,5.0,4.0,5.0,2.0,2
95,0.0,0.0,81.25,43.75,37.5,2.0,jhriverasa,1.0,3.0,2.0,2.0,2
96,0.0,-25.0,-25.0,-25.0,25.0,2.0,jhonsd1996,3.0,4.0,4.0,2.0,2
97,80.0,29.17,184.17000000000002,87.5,-12.5,2.0,JuanitoAli,1.0,1.0,5.0,2.0,2
98,0.0,4.170000000000002,29.169999999999987,0.0,25.0,2.0,Davsatu313,0.0,3.0,5.0,2.0,2
99,40.0,16.659999999999997,169.16000000000003,87.5,25.0,2.0,cesarochoa2006,0.0,1.0,6.0,0.0,2
100,0.0,4.170000000000002,104.16999999999999,87.5,12.5,2.0,jjmuesesq,0.0,3.0,2.0,2.0,2
101,20.0,29.17,86.67,0.0,37.5,2.0,jucjimenezmo,0.0,0.0,3.0,2.0,2
102,40.0,4.159999999999997,205.83,87.5,25.0,2.0,kancas,0.0,0.0,5.0,2.0,2
103,-20.0,-12.5,17.500000000000014,25.0,25.0,2.0,Gantiva,2.0,4.0,3.0,2.0,2
104,20.0,4.159999999999997,30.41000000000001,-43.75,50.0,2.0,Dandarprox,0.0,1.0,4.0,2.0,2
105,0.0,0.0,-87.5,-62.5,-25.0,2.0,debeltranc,1.0,4.0,4.0,1.0,2
106,0.0,8.329999999999998,-41.66999999999999,-62.5,12.5,2.0,ykchautai,4.0,4.0,4.0,1.0,2
107,0.0,0.0,-25.000000000000014,-37.5,12.5,2.0,ligibrial,1.0,5.0,3.0,2.0,2
108,20.0,25.0,120.0,0.0,75.0,2.0,davidrh195,3.0,3.0,5.0,1.0,2
109,0.0,0.0,37.5,0.0,37.5,2.0,JulianaNino,1.0,1.0,3.0,1.0,2
110,0.0,-4.170000000000002,-16.669999999999987,-37.5,25.0,2.0,luegilca,0.0,1.0,6.0,2.0,2
111,-20.0,0.0,-20.0,0.0,0.0,2.0,Yelis3,1.0,4.0,6.0,3.0,2
112,0.0,0.0,-50.0,-75.0,25.0,2.0,begarzonf,2.0,3.0,4.0,2.0,2
113,0.0,0.0,25.0,0.0,25.0,2.0,kmendezp96,1.0,5.0,6.0,1.0,2
114,20.0,-4.159999999999997,90.83999999999997,12.5,62.5,2.0,leguzman,0.0,2.0,5.0,2.0,2
115,0.0,-4.170000000000002,-16.669999999999987,-37.5,25.0,2.0,luealfonsoru,3.0,4.0,4.0,2.0,2
116,0.0,4.159999999999997,41.66,25.0,12.5,2.0,oserasoa,4.0,3.0,3.0,1.0,2
117,0.0,0.0,37.5,0.0,37.5,2.0,lsfinite,1.0,1.0,6.0,3.0,2
118,-60.0,-12.5,-172.5,-75.0,-25.0,2.0,xdanielsb,3.0,3.0,3.0,2.0,2
119,0.0,0.0,12.5,0.0,12.5,2.0,CSebasGomez,3.0,3.0,5.0,2.0,2
120,0.0,0.0,12.5,0.0,12.5,2.0,jhcardenasa,4.0,4.0,5.0,3.0,2
121,0.0,0.0,12.5,0.0,12.5,2.0,tres-iqus,1.0,1.0,4.0,0.0,2
122,0.0,0.0,0.0,0.0,0.0,2.0,jscontrerasp,1.0,1.0,4.0,0.0,2
123,40.0,-4.159999999999997,73.33999999999999,0.0,37.5,3.0,lemartinp,0.0,0.0,4.0,1.0,2
124,20.0,16.659999999999997,80.41000000000003,6.25,37.5,3.0,juligarji,4.0,4.0,5.0,3.0,2
125,0.0,4.159999999999997,29.16000000000001,0.0,25.0,3.0,nfmorenog,0.0,2.0,3.0,1.0,2
126,40.0,12.5,115.0,0.0,62.5,3.0,AFelipeGA,4.0,3.0,5.0,2.0,2
127,0.0,25.0,100.0,25.0,50.0,3.0,mballeng91,2.0,6.0,6.0,2.0,2
128,100.0,29.159999999999997,291.65999999999997,75.0,87.5,3.0,dduartec,1.0,5.0,4.0,1.0,2
129,20.0,33.33,90.83,0.0,37.5,3.0,srmedinac,1.0,2.0,4.0,1.0,2
130,0.0,-12.5,12.5,0.0,25.0,3.0,wilson911013,0.0,1.0,2.0,1.0,2
131,20.0,-4.170000000000002,-46.66999999999999,-62.5,0.0,3.0,wapiravaguens,0.0,1.0,4.0,2.0,2
132,40.0,0.0,90.0,25.0,25.0,3.0,davidh17,3.0,3.0,5.0,3.0,2
133,20.0,-4.170000000000002,28.330000000000013,0.0,12.5,3.0,DianaNavarrete,0.0,1.0,5.0,2.0,2
134,0.0,0.0,12.5,0.0,12.5,3.0,jdmonroyg,0.0,1.0,4.0,1.0,2
135,-20.0,-4.170000000000002,88.33,87.5,25.0,3.0,jorge52an,4.0,4.0,5.0,2.0,2
136,0.0,12.5,62.50000000000003,25.0,25.0,3.0,jscastelblancoh,0.0,0.0,3.0,2.0,2
137,0.0,4.170000000000002,41.67,0.0,37.5,3.0,juclopezso,1.0,3.0,3.0,2.0,2
138,0.0,0.0,37.5,0.0,37.5,3.0,afforeroc,1.0,4.0,3.0,2.0,2
139,20.0,0.0,132.5,75.0,37.5,3.0,dagofonseca,0.0,0.0,2.0,2.0,2
140,40.0,25.0,77.50000000000003,12.5,0.0,3.0,lacardenasv,1.0,2.0,5.0,4.0,2
141,0.0,0.0,25.0,-37.5,62.5,3.0,oacastillol,2.0,1.0,5.0,1.0,2
142,20.0,0.0,32.5,-37.5,50.0,3.0,ncampuzano,1.0,3.0,4.0,2.0,2
143,0.0,0.0,100.00000000000001,37.5,62.5,3.0,adriel62,1.0,3.0,5.0,2.0,2
144,0.0,0.0,12.5,-37.5,50.0,3.0,capinzor,0.0,0.0,2.0,2.0,2
145,20.0,37.5,120.0,25.0,37.5,3.0,ofnanezn,0.0,1.0,6.0,2.0,2
146,20.0,12.5,-23.75,-18.75,-37.5,3.0,macuestap,0.0,1.0,4.0,1.0,2
147,0.0,-25.0,-12.500000000000014,0.0,12.5,3.0,spenas,5.0,4.0,6.0,1.0,2
148,20.0,-4.170000000000002,15.829999999999998,0.0,0.0,3.0,kgbayala528,1.0,5.0,6.0,2.0,2
149,40.0,29.159999999999997,131.66,37.5,25.0,3.0,lgmoralesa,2.0,2.0,4.0,3.0,2
150,0.0,0.0,-20.830000000000013,-20.83,0.0,3.0,ronaldsg20,0.0,3.0,5.0,2.0,2
151,0.0,4.159999999999997,29.159999999999997,0.0,25.0,3.0,cccristanchoc,1.0,1.0,4.0,1.0,2
152,-60.0,-33.34,-130.84,-62.5,25.0,3.0,jmalvarezd,3.0,3.0,5.0,2.0,2
153,0.0,0.0,12.5,0.0,12.5,3.0,smarquezo,0.0,0.0,2.0,0.0,2
154,0.0,8.329999999999998,33.33000000000001,-12.5,37.5,3.0,sarizag,4.0,3.0,6.0,2.0,2
155,0.0,0.0,62.5,0.0,62.5,3.0,Chranium,4.0,5.0,6.0,2.0,2
156,0.0,-4.170000000000002,8.329999999999998,0.0,12.5,3.0,DavidQP,2.0,3.0,4.0,3.0,2
157,0.0,8.329999999999998,-16.67,-25.0,0.0,3.0,afceballosr,1.0,3.0,5.0,2.0,2
158,0.0,-29.17,-79.16999999999999,-25.0,-25.0,3.0,lizzyt10h,2.0,1.0,5.0,2.0,2
159,0.0,0.0,-12.5,0.0,-12.5,3.0,NicolasPrr,3.0,4.0,3.0,2.0,2
160,40.0,20.840000000000003,123.34,37.5,25.0,3.0,jumcorredorro,1.0,1.0,5.0,2.0,2
161,0.0,0.0,0.0,0.0,0.0,3.0,feartheGru,2.0,2.0,5.0,2.0,2
162,0.0,0.0,-37.5,0.0,-37.5,3.0,Danielsv9207,1.0,1.0,1.0,3.0,2
163,0.0,0.0,12.5,0.0,12.5,3.0,JhonEmmanuelTorres,5.0,4.0,5.0,2.0,2
165,0.0,0.0,0.0,0.0,0.0,0.0,fffeelipe,1.0,0.0,5.0,3.0,2
166,0.0,4.170000000000002,16.669999999999987,0.0,12.5,0.0,mnguzmanc,2.0,1.0,3.0,2.0,2
167,0.0,16.67,-8.330000000000013,-25.0,0.0,0.0,jmcuestasb,1.0,3.0,4.0,2.0,2
168,0.0,0.0,-12.5,0.0,-12.5,0.0,katherinsb,1.0,2.0,4.0,2.0,2
169,0.0,16.659999999999997,-8.340000000000003,0.0,-25.0,0.0,jjrodriguezn,2.0,2.0,3.0,1.0,2
170,0.0,4.170000000000002,16.67,0.0,12.5,0.0,DglyP,1.0,3.0,4.0,3.0,2
171,20.0,8.340000000000003,15.840000000000003,0.0,-12.5,0.0,cap182,0.0,1.0,4.0,2.0,2
172,-20.0,-45.83,-103.33,0.0,25.0,0.0,annumumozme,,,,,2
173,60.0,50.0,135.0,0.0,25.0,0.0,Judgarciani,3.0,3.0,4.0,2.0,2
174,0.0,0.0,12.5,0.0,12.5,0.0,sacastroc,1.0,2.0,4.0,2.0,2
175,0.0,0.0,0.0,0.0,0.0,0.0,pcberriop,0.0,1.0,3.0,2.0,2
176,40.0,16.659999999999997,144.16000000000003,75.0,12.5,0.0,hsmartineza,0.0,1.0,3.0,2.0,2
177,20.0,29.17,49.17,0.0,0.0,0.0,Moimolcp,1.0,1.0,5.0,1.0,2
178,0.0,0.0,-12.5,0.0,-12.5,0.0,CamiloRueda,3.0,3.0,6.0,1.0,2
179,20.0,16.67,-0.8299999999999983,-25.0,-12.5,0.0,juanescai,1.0,2.0,5.0,2.0,2
180,60.0,8.340000000000003,143.34,75.0,0.0,0.0,JoseMolano,1.0,5.0,4.0,4.0,2
181,0.0,8.329999999999998,-4.170000000000002,0.0,-12.5,0.0,maikellPardoA,3.0,3.0,3.0,2.0,2
182,0.0,0.0,-12.5,0.0,-12.5,0.0,NicolasZon,3.0,3.0,3.0,1.0,2
183,0.0,4.170000000000002,-33.33000000000001,-25.0,-12.5,0.0,camilo654,0.0,1.0,4.0,2.0,2
184,0.0,-4.159999999999997,-16.659999999999997,0.0,-12.5,0.0,CristianLozano,,,,,2
185,60.0,33.33,168.32999999999998,75.0,0.0,0.0,jdsuarezj,1.0,3.0,3.0,2.0,2
186,0.0,0.0,0.0,0.0,0.0,0.0,pipemax85,1.0,3.0,5.0,2.0,2
187,60.0,25.0,47.5,-25.0,-12.5,0.0,juandavidro,1.0,2.0,2.0,2.0,2
188,0.0,0.0,0.0,0.0,0.0,0.0,UNhcrodriguezl,3.0,3.0,5.0,3.0,2
189,40.0,0.0,115.00000000000001,75.0,0.0,0.0,camilo13152,3.0,5.0,5.0,2.0,2
190,0.0,0.0,0.0,0.0,0.0,0.0,leavendanoro,0.0,1.0,4.0,1.0,2
191,0.0,0.0,0.0,0.0,0.0,0.0,cdcordobaa,2.0,4.0,5.0,2.0,2
192,0.0,4.170000000000002,-20.830000000000013,-25.0,0.0,0.0,capinillab,0.0,0.0,0.0,0.0,2
193,0.0,0.0,12.5,0.0,12.5,0.0,janoguerab,3.0,3.0,4.0,2.0,2
194,40.0,12.5,108.75,43.75,12.5,0.0,lfvalderrama,0.0,3.0,5.0,2.0,2
195,20.0,8.329999999999998,40.83000000000001,0.0,12.5,0.0,bsgarciac,0.0,3.0,4.0,2.0,2
196,20.0,4.170000000000002,11.670000000000002,0.0,-12.5,0.0,gabi04,0.0,0.0,5.0,2.0,2
197,0.0,0.0,-12.5,0.0,-12.5,0.0,annipi,1.0,0.0,4.0,2.0,2
198,0.0,0.0,-12.5,0.0,-12.5,0.0,jdsolanos,1.0,1.0,5.0,2.0,2
199,0.0,0.0,-12.5,0.0,-12.5,0.0,jcneivaa,0.0,0.0,4.0,2.0,2
200,0.0,0.0,-12.5,0.0,-12.5,0.0,fmbernalb,1.0,2.0,2.0,1.0,2
201,0.0,0.0,-12.5,0.0,-12.5,0.0,MogGy94,3.0,3.0,4.0,0.0,2
202,0.0,0.0,-12.5,0.0,-12.5,0.0,yocuervoc,0.0,1.0,5.0,2.0,2
203,0.0,-25.0,-62.5,-25.0,-12.5,0.0,odprietoh,4.0,4.0,5.0,2.0,2
204,0.0,16.67,-8.330000000000013,-25.0,0.0,1.0,gasierram,3.0,4.0,5.0,4.0,2
205,0.0,0.0,0.0,0.0,0.0,1.0,adamantwharf,,,,,2
206,0.0,0.0,62.5,62.5,0.0,1.0,bdcajicam,0.0,2.0,5.0,2.0,2
207,0.0,0.0,-12.5,0.0,-12.5,1.0,andfsanchezlem,0.0,1.0,3.0,1.0,2
208,0.0,-8.329999999999998,-20.830000000000013,0.0,-12.5,1.0,dfhincapiem,4.0,1.0,5.0,1.0,2
209,0.0,4.170000000000002,-95.83,-87.5,-12.5,1.0,helmeraac,5.0,4.0,6.0,4.0,2
210,0.0,-25.0,-25.0,0.0,0.0,1.0,dasalgadob,1.0,2.0,4.0,3.0,2
211,0.0,-4.170000000000002,8.329999999999984,12.5,0.0,1.0,falperezgo,4.0,4.0,5.0,3.0,2
212,20.0,0.0,38.75,18.75,0.0,1.0,djguzmanc,0.0,5.0,6.0,3.0,2
213,0.0,4.170000000000002,-83.33000000000001,-75.0,-12.5,1.0,gsuarezc04,1.0,1.0,3.0,2.0,2
214,20.0,0.0,32.5,12.5,0.0,1.0,oeroaq,4.0,4.0,5.0,3.0,2
215,0.0,-12.5,-25.0,-12.5,0.0,1.0,gcantem,0.0,2.0,5.0,2.0,2
216,0.0,0.0,-12.5,0.0,-12.5,1.0,Semoralesga,4.0,3.0,4.0,2.0,2
217,20.0,41.67,105.42000000000002,31.25,12.5,1.0,jonatan360,4.0,4.0,6.0,4.0,2
218,40.0,4.159999999999997,56.65999999999997,12.5,0.0,1.0,jesusfchavarro,4.0,3.0,6.0,3.0,2
219,40.0,4.159999999999997,56.65999999999997,12.5,0.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,2
220,0.0,0.0,0.0,0.0,0.0,1.0,stevenbustos,0.0,1.0,0.0,1.0,2
221,20.0,0.0,20.000000000000014,0.0,0.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,2
222,0.0,-8.329999999999998,-8.329999999999984,0.0,0.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,2
223,0.0,-8.329999999999998,4.1699999999999875,0.0,12.5,1.0,wolfstain,3.0,3.0,6.0,0.0,2
224,60.0,25.0,185.0,87.5,12.5,1.0,miaborjaac,0.0,0.0,4.0,1.0,2
225,0.0,-4.159999999999997,-4.160000000000011,0.0,0.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,2
226,0.0,8.329999999999998,-4.170000000000002,0.0,-12.5,1.0,maikellPardo,4.0,4.0,4.0,2.0,2
227,0.0,0.0,12.5,0.0,12.5,1.0,Christian7sr,3.0,3.0,3.0,2.0,2
228,0.0,8.329999999999998,20.830000000000013,12.5,0.0,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,2
229,0.0,0.0,12.5,0.0,12.5,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,2
230,0.0,0.0,18.75,18.75,0.0,1.0,aldiazve,0.0,3.0,6.0,3.0,2
231,60.0,8.329999999999998,105.83000000000001,37.5,0.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,2
232,80.0,29.159999999999997,184.16,75.0,0.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,2
233,0.0,8.329999999999998,33.33,25.0,0.0,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,2
234,0.0,0.0,0.0,0.0,0.0,1.0,anfmorenoso,0.0,2.0,5.0,2.0,2
235,0.0,0.0,-12.5,0.0,-12.5,1.0,nabautistal,0.0,0.0,3.0,1.0,2
236,0.0,0.0,-12.5,0.0,-12.5,1.0,crigar,1.0,0.0,2.0,4.0,2
237,0.0,25.0,25.0,0.0,0.0,1.0,jiapulidoar,4.0,4.0,5.0,2.0,2
238,40.0,25.0,139.99999999999997,62.5,12.5,1.0,jsviveroj,1.0,3.0,4.0,2.0,2
239,-60.0,0.0,-72.49999999999997,-25.0,12.5,1.0,daandradec,2.0,2.0,6.0,2.0,2
240,20.0,4.170000000000002,17.919999999999987,-6.25,0.0,1.0,jcrubioa,0.0,0.0,5.0,2.0,2
241,0.0,8.329999999999998,33.33,25.0,0.0,1.0,joahernandezca,1.0,1.0,0.0,0.0,2
242,0.0,0.0,-12.5,0.0,-12.5,1.0,ItsNavi,1.0,2.0,5.0,2.0,2
243,0.0,0.0,-12.5,0.0,-12.5,1.0,Zeugmax,1.0,3.0,5.0,2.0,2
244,0.0,0.0,0.0,0.0,0.0,1.0,kastellanos,5.0,5.0,5.0,3.0,2
245,0.0,0.0,0.0,0.0,0.0,1.0,JairVillalba,1.0,1.0,3.0,2.0,2
246,0.0,8.329999999999998,-41.66999999999999,-50.0,0.0,2.0,jusherrerama,,,,,2
247,0.0,0.0,0.0,0.0,0.0,2.0,bdvegat,1.0,2.0,4.0,1.0,2
248,0.0,-4.170000000000002,-16.67,0.0,-12.5,2.0,Phoenixest,0.0,1.0,3.0,1.0,2
249,20.0,12.5,-5.0,-25.0,-12.5,2.0,HashNick,1.0,3.0,5.0,3.0,2
250,0.0,0.0,-12.5,0.0,-12.5,2.0,ccvacad,1.0,0.0,4.0,2.0,2
251,20.0,16.67,36.670000000000016,0.0,0.0,2.0,joaortizro,0.0,2.0,2.0,1.0,2
252,-20.0,16.659999999999997,-3.340000000000032,0.0,0.0,2.0,juasmartinezbel,0.0,5.0,5.0,2.0,2
253,0.0,8.329999999999998,8.330000000000013,0.0,0.0,2.0,mdbelloc,1.0,3.0,2.0,2.0,2
254,0.0,-4.159999999999997,-16.66000000000001,0.0,-12.5,2.0,diegocruz10,3.0,3.0,3.0,1.0,2
255,0.0,0.0,-12.5,0.0,-12.5,2.0,crarojasca,1.0,3.0,5.0,2.0,2
