,user1,user2,user1_phase,user2_phase,similarity,stage,group,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,count,improve-ur,improve-vis,improve-total,improve-novel,improve-tech
36,janoguerab,CamiloRueda,1,2,0.9361702127659575,1,0,3.0,3.0,6.0,1.0,3.0,0.0,25.0,62.5,0.0,37.5
37,juanescai,jdsolanos,2,3,0.0,2,0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,-12.5,0.0,-12.5
38,jdsolanos,fmbernalb,2,3,0.0,2,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,-12.5,0.0,-12.5
39,katherinsb,juanescai,2,3,0.0,2,0,1.0,2.0,5.0,2.0,1.0,20.0,16.67,-0.8299999999999983,-25.0,-12.5
40,yocuervoc,maikellPardoA,2,3,0.0,2,0,3.0,3.0,3.0,2.0,1.0,0.0,8.329999999999998,-4.170000000000002,0.0,-12.5
41,cap182,annipi,2,3,0.0,2,0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,-12.5,0.0,-12.5
42,juanescai,yocuervoc,2,3,0.0,2,0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,-12.5,0.0,-12.5
43,jdsolanos,katherinsb,2,3,0.0,2,0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,-12.5,0.0,-12.5
44,yocuervoc,cap182,2,3,0.0,2,0,0.0,1.0,4.0,2.0,0.0,20.0,8.340000000000003,15.840000000000003,0.0,-12.5
45,yocuervoc,fffeelipe,2,3,0.0,2,0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
46,katherinsb,jcneivaa,2,3,0.0,2,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,-12.5,0.0,-12.5
47,katherinsb,MogGy94,2,3,0.0,2,0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,-12.5,0.0,-12.5
48,capinillab,juandavidro,2,3,0.4782608695652174,2,0,1.0,2.0,2.0,2.0,1.0,60.0,25.0,47.5,-25.0,-12.5
