,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,1,0.25,0.2857142857142857,0.1875,0.7272727272727273,0.25806451612903225,0.625,0.5333333333333333,0.23529411764705882,0.5,0.8888888888888888,0.15625,0.07339449541284404,0.01303538175046555,0.25,0.1702127659574468,0.42105263157894735,0.3333333333333333,0.7272727272727273,0.25,0.0299625468164794,0.3333333333333333,0.0,0.21428571428571427,0.30434782608695654,0.005952380952380952
2016greenironhack-lheston,0.25,1,0.07142857142857142,0.06666666666666667,0.18181818181818182,0.06451612903225806,0.4,0.13333333333333333,0.058823529411764705,0.5,0.2222222222222222,0.06896551724137931,0.01834862385321101,0.0037313432835820895,1.0,0.0425531914893617,0.10526315789473684,0.25,0.18181818181818182,1.0,0.00749063670411985,0.125,0.0,0.2222222222222222,0.09090909090909091,0.001488095238095238
2016greenironhack-dengc,0.2857142857142857,0.07142857142857142,1,0.13725490196078433,0.39285714285714285,0.40476190476190477,0.17857142857142858,0.5357142857142857,0.47619047619047616,0.14285714285714285,0.32142857142857145,0.11764705882352941,0.12295081967213115,0.014388489208633094,0.07142857142857142,0.5957446808510638,0.6785714285714286,0.125,0.39285714285714285,0.07142857142857142,0.05357142857142857,0.15789473684210525,0.0,0.08823529411764706,0.19047619047619047,0.020833333333333332
2016greenironhack-lostkuma,0.1875,0.06666666666666667,0.13725490196078433,1,0.17142857142857143,0.4878048780487805,0.16666666666666666,0.15384615384615385,0.45454545454545453,0.13333333333333333,0.18181818181818182,0.9666666666666667,0.23008849557522124,0.055970149253731345,0.06666666666666667,0.375,0.13953488372093023,0.15151515151515152,0.20588235294117646,0.06666666666666667,0.11235955056179775,0.3939393939393939,0.0,0.3,0.6774193548387096,0.022321428571428572
2016greenironhack-crloflin,0.7272727272727273,0.18181818181818182,0.39285714285714285,0.17142857142857143,1,0.3548387096774194,0.45454545454545453,0.7333333333333333,0.3235294117647059,0.36363636363636365,0.8181818181818182,0.14285714285714285,0.10091743119266056,0.012962962962962963,0.18181818181818182,0.23404255319148937,0.5789473684210527,0.26666666666666666,0.8333333333333334,0.18181818181818182,0.04119850187265917,0.2857142857142857,0.0,0.17647058823529413,0.2692307692307692,0.00818452380952381
2016greenironhack-meetalivaidya,0.25806451612903225,0.06451612903225806,0.40476190476190477,0.4878048780487805,0.3548387096774194,1,0.16129032258064516,0.4838709677419355,0.9117647058823529,0.12903225806451613,0.2903225806451613,0.4634146341463415,0.26126126126126126,0.038461538461538464,0.06451612903225806,0.6595744680851063,0.5151515151515151,0.11428571428571428,0.3125,0.06451612903225806,0.1037037037037037,0.23684210526315788,0.0,0.2903225806451613,0.65625,0.023065476190476192
2016greenironhack-sabrina-hsu,0.625,0.4,0.17857142857142858,0.16666666666666666,0.45454545454545453,0.16129032258064516,1,0.3333333333333333,0.14705882352941177,0.8,0.5555555555555556,0.1724137931034483,0.045871559633027525,0.009328358208955223,0.4,0.10638297872340426,0.2631578947368421,0.4444444444444444,0.45454545454545453,0.4,0.018726591760299626,0.3125,0.0,0.2727272727272727,0.22727272727272727,0.003720238095238095
2016greenironhack-aterriqu,0.5333333333333333,0.13333333333333333,0.5357142857142857,0.15384615384615385,0.7333333333333333,0.4838709677419355,0.3333333333333333,1,0.4411764705882353,0.26666666666666666,0.6,0.1282051282051282,0.13761467889908258,0.012867647058823529,0.13333333333333333,0.3191489361702128,0.7894736842105263,0.21052631578947367,0.625,0.13333333333333333,0.05223880597014925,0.24,0.0,0.14285714285714285,0.23333333333333334,0.011160714285714286
2016greenironhack-prachitamane,0.23529411764705882,0.058823529411764705,0.47619047619047616,0.45454545454545453,0.3235294117647059,0.9117647058823529,0.14705882352941177,0.4411764705882353,1,0.11764705882352941,0.2647058823529412,0.4318181818181818,0.2543859649122807,0.03825136612021858,0.058823529411764705,0.723404255319149,0.5588235294117647,0.10526315789473684,0.2857142857142857,0.058823529411764705,0.10256410256410256,0.21951219512195122,0.0,0.2647058823529412,0.6,0.025297619047619048
2016greenironhack-mgogte,0.5,0.5,0.14285714285714285,0.13333333333333333,0.36363636363636365,0.12903225806451613,0.8,0.26666666666666666,0.11764705882352941,1,0.4444444444444444,0.13793103448275862,0.03669724770642202,0.007462686567164179,0.5,0.0851063829787234,0.21052631578947367,0.5,0.36363636363636365,0.5,0.0149812734082397,0.25,0.0,0.3,0.18181818181818182,0.002976190476190476
