,2016greenironhack-taycurt17,2016greenironhack-lheston,2016greenironhack-dengc,2016greenironhack-lostkuma,2016greenironhack-crloflin,2016greenironhack-meetalivaidya,2016greenironhack-sabrina-hsu,2016greenironhack-aterriqu,2016greenironhack-prachitamane,2016greenironhack-mgogte,2016greenironhack-Christyyy,2016greenironhack-pmittal115,2016greenironhack-ankitbatheja,2016greenironhack-patrickherrod,2016greenironhack-pjt90,2016greenironhack-cgrieger12,2016greenironhack-wluan,2016greenironhack-MegamindHenry,2016greenironhack-abelal16,2016greenironhack-jeffkeilmann,2016greenironhack-ishwetasingh,2016greenironhack-huayifang,2016greenironhack-ccand93,2016greenironhack-shiboo18,2016greenironhack-tanmayee123,2016greenironhack-sauravn
2016greenironhack-taycurt17,1,0.25,0.3333333333333333,0.09090909090909091,0.2727272727272727,0.0625,0.2,0.625,0.12903225806451613,0.3333333333333333,0.2,0.2727272727272727,0.3333333333333333,0.0043859649122807015,0.25,0.2413793103448276,0.375,0.3,0.18181818181818182,0.0,0.031578947368421054,0.5555555555555556,0.0,0.13333333333333333,0.5,0.00429553264604811
2016greenironhack-lheston,0.25,1,0.16666666666666666,0.0,0.3333333333333333,0.037037037037037035,0.2,0.4,0.07407407407407407,0.5,0.2,0.3333333333333333,0.1,0.0022172949002217295,0.3333333333333333,0.07142857142857142,0.14285714285714285,0.4,0.16666666666666666,0.0,0.022222222222222223,0.3333333333333333,0.0,0.1,0.15384615384615385,0.0017226528854435831
2016greenironhack-dengc,0.3333333333333333,0.16666666666666666,1,0.14285714285714285,0.38461538461538464,0.15151515151515152,0.3333333333333333,0.4166666666666667,0.3,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.23076923076923078,0.006535947712418301,0.16666666666666666,0.3793103448275862,0.625,0.3076923076923077,0.3076923076923077,0.0,0.0625,0.5,0.0,0.10526315789473684,0.47058823529411764,0.00946643717728055
2016greenironhack-lostkuma,0.09090909090909091,0.0,0.14285714285714285,1,0.25,0.15384615384615385,0.3333333333333333,0.125,0.10714285714285714,0.3333333333333333,0.3333333333333333,0.25,0.043478260869565216,0.002207505518763797,0.2,0.10344827586206896,0.125,0.2857142857142857,0.5,0.0,0.010752688172043012,0.1111111111111111,0.0,0.08333333333333333,0.0625,0.0025817555938037868
2016greenironhack-crloflin,0.2727272727272727,0.3333333333333333,0.38461538461538464,0.25,1,0.14285714285714285,0.42857142857142855,0.375,0.17857142857142858,0.6666666666666666,0.6666666666666666,0.5,0.13043478260869565,0.006622516556291391,0.3333333333333333,0.1724137931034483,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.0,0.043478260869565216,0.3333333333333333,0.0,0.15384615384615385,0.26666666666666666,0.00516795865633075
2016greenironhack-meetalivaidya,0.0625,0.037037037037037035,0.15151515151515152,0.15384615384615385,0.14285714285714285,1,0.07142857142857142,0.06896551724137931,0.6060606060606061,0.1111111111111111,0.15384615384615385,0.10344827586206896,0.06976744186046512,0.037037037037037035,0.037037037037037035,0.10204081632653061,0.14285714285714285,0.10714285714285714,0.19230769230769232,0.0,0.1836734693877551,0.06666666666666667,0.0,0.2962962962962963,0.08333333333333333,0.018010291595197257
2016greenironhack-sabrina-hsu,0.2,0.2,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.07142857142857142,1,0.2857142857142857,0.14814814814814814,0.6,0.3333333333333333,0.42857142857142855,0.09090909090909091,0.002207505518763797,0.5,0.14285714285714285,0.2857142857142857,0.5,0.2857142857142857,0.0,0.03296703296703297,0.25,0.0,0.08333333333333333,0.13333333333333333,0.0034453057708871662
2016greenironhack-aterriqu,0.625,0.4,0.4166666666666667,0.125,0.375,0.06896551724137931,0.2857142857142857,1,0.14285714285714285,0.5,0.2857142857142857,0.375,0.25,0.004415011037527594,0.4,0.17857142857142858,0.35714285714285715,0.42857142857142855,0.25,0.0,0.03260869565217391,0.8333333333333334,0.0,0.16666666666666666,0.38461538461538464,0.004306632213608958
2016greenironhack-prachitamane,0.12903225806451613,0.07407407407407407,0.3,0.10714285714285714,0.17857142857142858,0.6060606060606061,0.14814814814814814,0.14285714285714285,1,0.14814814814814814,0.14814814814814814,0.13793103448275862,0.14634146341463414,0.0392156862745098,0.07407407407407407,0.2222222222222222,0.36666666666666664,0.14285714285714285,0.18518518518518517,0.0,0.21875,0.17857142857142858,0.0,0.3333333333333333,0.17647058823529413,0.020618556701030927
2016greenironhack-mgogte,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.6,0.5,0.14814814814814814,1,0.6,0.6666666666666666,0.14285714285714285,0.004424778761061947,0.5,0.14285714285714285,0.2857142857142857,0.8,0.5,0.0,0.03296703296703297,0.42857142857142855,0.0,0.18181818181818182,0.21428571428571427,0.0034453057708871662
