,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5
158,4.0,5.0,3.0,3.0,5.0
159,4.0,3.0,4.0,4.0,4.0
160,5.0,3.0,5.0,4.0,5.0
161,5.0,5.0,6.0,4.0,5.0
162,4.0,4.0,4.0,4.0,4.0
163,3.0,5.0,5.0,5.0,4.0
164,5.0,5.0,5.0,5.0,5.0
165,4.0,3.0,4.0,5.0,3.0
166,3.0,4.0,5.0,3.0,5.0
167,3.0,3.0,3.0,3.0,3.0
