,Unnamed: 0,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1
12,12,raulramirezp,2,60,45.83,66.67,272.5,100.0,75.0,40.0,33.33,0.0,148.33,75.0,40.0,33.33,75.0,223.33,75.0,40.0,29.17,75.0,219.17,0.0,0.0,0.0,0.0,0.0
13,13,fabianr23,2,80,58.33,87.5,325.83,100.0,100.0,100.0,70.83,87.5,358.33,100.0,100.0,70.83,87.5,358.33,100.0,80.0,62.5,87.5,330.0,50.0,80.0,75.0,0.0,205.0
14,14,jhriverasa,2,100,58.33,60.0,318.33,100.0,75.0,100.0,70.83,87.5,333.33,87.5,100.0,50.0,75.0,312.5,87.5,20.0,29.17,87.5,224.17,50.0,20.0,29.17,43.75,142.92
15,15,jhonsd1996,2,20,54.17,25.0,174.17,75.0,75.0,20.0,62.5,0.0,157.5,75.0,20.0,58.33,0.0,153.33,75.0,,,,75.0,50.0,0.0,25.0,25.0,100.0
16,16,JuanitoAli,2,80,58.33,65.0,265.83,62.5,62.5,100.0,75.0,87.5,325.0,62.5,80.0,54.17,58.33,255.0,62.5,80.0,54.17,87.5,284.17,75.0,0.0,25.0,0.0,100.0
17,17,Davsatu313,2,80,70.83,84.38,322.71,87.5,87.5,80.0,62.5,70.83,300.83,87.5,100.0,58.33,75.0,320.83,87.5,20.0,54.17,75.0,236.67,62.5,20.0,50.0,75.0,207.5
18,18,cesarochoa2006,2,100,66.67,72.5,326.67,87.5,87.5,60.0,58.33,78.13,283.96,87.5,60.0,41.67,87.5,276.67,62.5,60.0,45.83,87.5,255.83,37.5,20.0,29.17,0.0,86.67
19,19,jjmuesesq,2,20,25.0,0.0,120.0,75.0,62.5,20.0,25.0,0.0,107.5,50.0,0.0,29.17,0.0,79.17,50.0,20.0,29.17,87.5,186.67,37.5,20.0,25.0,0.0,82.5
20,20,jucjimenezmo,2,0,25.0,62.5,187.5,100.0,75.0,20.0,33.33,75.0,203.33,47.0,20.0,33.33,0.0,100.33,50.0,20.0,29.17,0.0,99.17,12.5,,,,12.5
21,21,kancas,2,20,25.0,62.5,182.5,75.0,62.5,40.0,29.17,75.0,206.67,62.5,60.0,33.33,75.0,230.83,62.5,60.0,33.33,87.5,243.33,37.5,20.0,29.17,0.0,37.5
22,22,Gantiva,2,100,70.83,100.0,345.83,75.0,62.5,100.0,75.0,0.0,237.5,62.5,100.0,66.67,0.0,229.17,75.0,0.0,33.33,25.0,133.33,50.0,20.0,45.83,0.0,115.83
23,23,Dandarprox,2,80,58.33,37.5,275.83,100.0,75.0,80.0,58.33,0.0,213.33,62.5,40.0,33.33,0.0,135.83,62.5,40.0,33.33,0.0,135.83,12.5,20.0,29.17,43.75,105.42
24,24,debeltranc,2,0,25.0,25.0,125.0,75.0,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,0.0,75.0,75.0,0.0,25.0,62.5,162.5
25,25,ykchautai,2,20,41.67,75.0,211.67,75.0,75.0,20.0,41.67,62.5,199.17,75.0,20.0,37.5,62.5,195.0,62.5,20.0,37.5,0.0,120.0,50.0,20.0,29.17,62.5,161.67
26,26,ligibrial,2,0,33.33,25.0,145.83,87.5,62.5,0.0,33.33,12.5,108.33,62.5,0.0,33.33,25.0,120.83,50.0,0.0,33.33,25.0,108.33,37.5,0.0,33.33,62.5,133.33
27,27,davidrh195,2,20,25.0,0.0,95.0,50.0,62.5,20.0,25.0,0.0,107.5,62.5,20.0,25.0,0.0,107.5,75.0,20.0,25.0,0.0,120.0,0.0,,,,0.0
28,28,JulianaNino,2,20,41.67,75.0,224.17,87.5,75.0,20.0,29.17,0.0,124.17,75.0,20.0,29.17,0.0,124.17,62.5,0.0,29.17,0.0,91.67,25.0,0.0,29.17,0.0,54.17
29,29,luegilca,2,0,37.5,0.0,100.0,62.5,62.5,0.0,29.17,25.0,116.67,62.5,0.0,33.33,25.0,120.83,62.5,0.0,25.0,25.0,112.5,37.5,0.0,29.17,62.5,129.17
30,30,Yelis3,2,80,66.67,62.5,309.17,100.0,87.5,80.0,66.67,0.0,234.17,87.5,60.0,45.83,75.0,268.33,87.5,20.0,41.67,62.5,211.67,87.5,40.0,41.67,62.5,231.67
31,31,begarzonf,2,40,25.0,75.0,227.5,87.5,75.0,40.0,25.0,75.0,215.0,62.5,20.0,29.17,62.5,174.17,62.5,20.0,25.0,0.0,107.5,37.5,20.0,25.0,75.0,157.5
32,32,kmendezp96,2,60,79.17,65.63,304.79,100.0,62.5,40.0,45.83,58.33,206.67,75.0,40.0,45.83,75.0,235.83,75.0,40.0,33.33,62.5,210.83,50.0,40.0,33.33,62.5,185.83
33,33,leguzman,2,60,79.17,100.0,339.17,100.0,100.0,40.0,62.5,87.5,290.0,87.5,0.0,37.5,25.0,150.0,87.5,40.0,41.67,75.0,244.17,25.0,20.0,45.83,62.5,153.33
34,34,luealfonsoru,2,0,45.83,25.0,158.33,87.5,87.5,0.0,25.0,25.0,137.5,87.5,0.0,33.33,25.0,145.83,87.5,0.0,25.0,25.0,137.5,62.5,0.0,29.17,62.5,154.17
35,35,oserasoa,2,0,33.33,33.33,154.17,87.5,37.5,20.0,33.33,25.0,115.83,37.5,20.0,41.67,25.0,124.17,37.5,0.0,33.33,25.0,95.83,25.0,0.0,29.17,0.0,54.17
36,36,lsfinite,2,0,25.0,12.5,125.0,87.5,,,,,0.0,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,25.0,100.0,12.5,0.0,25.0,25.0,62.5
37,37,xdanielsb,2,100,87.5,70.0,357.5,100.0,50.0,0.0,25.0,0.0,75.0,50.0,0.0,25.0,0.0,75.0,62.5,0.0,25.0,0.0,87.5,87.5,60.0,37.5,75.0,260.0
38,38,CSebasGomez,2,0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
39,39,jhcardenasa,2,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,,,,0.0
40,40,tres-iqus,2,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,12.5,,,,12.5,0.0,0.0,0.0,0.0,0.0
0,0,lemartinp,3,100,54.17,87.5,329.17,87.5,87.5,80.0,58.33,75.0,300.83,62.5,20.0,54.17,0.0,136.67,62.5,40.0,29.17,0.0,131.67,25.0,0.0,33.33,0.0,58.33
1,1,juligarji,3,100,75.0,92.5,355.0,87.5,100.0,100.0,70.83,87.5,358.33,87.5,20.0,33.33,62.5,203.33,87.5,40.0,45.83,68.75,242.08,50.0,20.0,29.17,62.5,161.67
2,2,nfmorenog,3,0,37.5,15.0,127.5,75.0,75.0,0.0,33.33,12.5,120.83,75.0,0.0,33.33,25.0,133.33,75.0,0.0,33.33,25.0,133.33,50.0,0.0,29.17,25.0,104.17
3,3,AFelipeGA,3,40,37.5,56.25,221.25,87.5,75.0,40.0,37.5,0.0,152.5,75.0,40.0,37.5,0.0,152.5,75.0,40.0,37.5,0.0,152.5,12.5,0.0,25.0,0.0,37.5
4,4,mballeng91,3,0,25.0,25.0,112.5,62.5,62.5,0.0,25.0,25.0,112.5,50.0,0.0,25.0,25.0,100.0,50.0,0.0,25.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0
