,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q24,Q17,Q18,Q9
93,3,5,5,4,5,4,6,5,6,5,5,3,3,5,4,1,5,2,5,4,5,5,5,4,4,5,4,6,3,3,3,3,5,5,3,1,0.0,0,2,davidh17,4,0,3,0
94,5,4,6,3,5,3,6,4,5,5,3,4,4,4,6,5,6,4,5,5,6,5,6,5,4,5,3,5,0,1,1,1,4,3,2,0,0.0,0,2,camilo654,1,0,3,0
95,1,4,5,5,5,4,5,5,5,5,5,4,6,4,3,3,4,4,3,5,3,4,3,5,3,5,4,5,4,3,4,3,4,4,2,8,8.0,5,3,Semoralesga,1,0,8,0
96,3,6,6,4,5,4,6,5,6,5,3,4,1,6,5,6,4,6,6,6,4,5,5,1,0,6,1,6,0,1,0,3,6,5,2,0,0.0,6,5,luegilca,1,0,3,0
97,0,3,6,3,4,3,6,6,6,6,3,3,0,3,6,5,6,5,5,5,6,4,5,5,4,4,5,6,2,2,3,4,5,2,2,0,0.0,45,1,feartheGru,4,1,3,0
98,4,5,5,4,4,5,5,5,5,5,5,5,4,5,6,6,6,6,6,5,6,5,6,5,5,5,5,6,3,3,3,5,5,5,3,10,0.0,20,5,UNhcrodriguezl,2,0,3,0
99,4,4,4,3,3,5,4,4,5,6,1,5,6,2,5,5,3,4,3,4,2,4,3,2,3,2,3,4,1,2,1,3,5,4,2,1,1.0,0,4,ItsNavi,2,0,3,0
100,4,6,6,3,4,6,6,6,6,6,6,6,3,5,5,3,5,5,5,3,5,4,5,2,4,5,1,6,0,3,0,3,5,2,2,0,1.0,1,3,Davsatu313,4,0,3,0
101,0,6,6,3,6,6,5,5,5,5,1,5,4,3,5,5,5,4,2,5,2,5,3,3,0,6,0,6,0,0,0,0,3,5,2,0,0.0,15,7,jscastelblancoh,4,0,3,0
102,4,5,6,4,5,6,6,4,4,6,4,2,1,5,5,5,5,5,5,5,5,5,5,2,2,4,2,5,1,2,5,4,4,2,2,1,3.0,2,2,katherinsb,4,1,3,0
103,2,5,5,0,3,5,6,5,4,5,3,3,4,4,5,5,5,4,5,3,5,5,5,2,0,5,0,5,0,0,0,0,5,5,2,0,0.0,2,2,jufcontrerasco,2,0,3,0
104,3,3,4,3,4,3,4,3,3,4,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,4,1,3,1,1,1,1,4,3,0,0,0.0,3,3,tres-iqus,2,0,3,1
105,4,5,4,4,4,5,5,5,4,5,3,3,3,5,5,5,4,5,5,5,5,5,5,5,3,5,3,6,2,2,1,3,4,4,3,1,1.0,15,6,lgmoralesa,2,1,3,0
106,4,5,6,5,5,5,6,6,6,6,5,6,4,6,5,4,6,5,5,5,5,6,5,4,6,5,5,5,3,5,5,5,5,5,2,0,2.0,40,10,camilo13152,3,0,3,1
107,2,2,2,2,2,2,3,4,3,2,2,3,5,2,3,2,3,3,4,4,4,4,4,2,0,0,0,2,0,0,0,0,3,3,1,0,0.0,0,1,nabautistal,4,1,3,0
108,4,4,2,3,3,5,5,6,5,5,3,2,5,3,4,3,3,4,5,4,4,4,5,4,5,5,4,5,3,4,3,4,4,3,2,2,0.0,0,2,jhonsd1996,2,0,3,0
109,0,2,3,1,1,4,1,1,4,0,1,2,6,4,3,5,3,4,4,3,5,3,5,3,0,6,0,4,0,0,0,0,4,4,1,0,0.0,1,4,lemartinp,1,0,8,0
110,2,3,3,3,3,3,3,4,4,5,3,3,6,4,3,5,4,4,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,0,2.0,0,3,NicolasZon,2,0,3,0
111,3,3,3,3,3,4,6,4,4,5,3,4,5,5,5,3,5,5,4,4,5,4,3,3,3,5,4,5,1,3,1,3,4,3,2,0,0.0,4,4,jsviveroj,1,0,3,0
112,1,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2.0,4,2,diegocruz10,2,0,3,0
113,3,4,3,3,3,3,5,4,4,3,3,4,2,4,4,4,4,3,4,3,4,4,4,4,3,5,4,5,3,4,4,4,3,3,2,10,10.0,4,3,NicolasPrr,2,0,3,0
114,3,5,6,5,5,3,6,5,4,4,5,4,6,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,4,5,5,2,1,3.0,8,3,odprietoh,2,0,3,0
115,3,6,6,6,6,4,6,5,6,5,5,6,3,5,5,6,5,6,5,4,5,5,5,4,5,5,5,5,4,4,3,3,5,5,2,0,0.0,0,3,jiapulidoar,2,0,3,1
116,2,1,2,3,3,1,2,1,1,2,2,3,1,2,5,4,4,3,4,3,4,4,5,4,2,3,3,2,2,4,2,3,3,3,2,0,1.0,8,10,Gantiva,2,0,3,0
117,2,3,3,2,3,4,6,5,5,3,4,4,5,2,4,2,4,4,3,3,4,4,3,1,1,4,2,4,1,5,1,3,4,4,1,0,0.0,10,4,dduartec,2,0,3,0
118,3,5,6,0,5,3,6,5,3,5,3,2,6,3,4,4,3,4,6,5,6,4,6,1,3,1,1,3,0,2,1,1,2,3,1,0,0.0,5,10,joaortizro,1,0,3,1
119,0,5,5,5,5,5,5,5,5,6,5,6,1,5,5,5,6,6,5,5,5,4,6,4,4,3,3,3,4,4,4,4,5,5,3,2,1.0,1,2,oeroaq,2,0,3,0
120,3,4,4,3,3,4,5,5,4,5,3,3,6,4,5,5,5,5,3,3,3,3,3,3,2,5,2,5,2,3,3,3,4,3,2,1,1.0,8,6,begarzonf,2,0,3,0
121,2,4,3,4,4,4,5,4,4,5,4,5,1,4,4,4,5,5,3,4,3,5,5,1,1,4,1,3,1,4,1,4,3,3,2,5,5.0,10,10,afforeroc,1,0,3,1
122,0,6,6,6,6,6,6,6,4,6,3,5,6,2,6,4,5,6,1,3,3,0,4,0,0,2,2,5,3,3,3,3,4,4,0,0,0.0,50,6,MogGy94,3,0,3,0
123,2,4,6,2,1,3,4,3,3,5,1,3,2,5,5,5,5,5,6,5,4,3,3,3,4,5,1,5,1,1,1,1,6,3,3,0,0.0,10,1,lsfinite,2,1,4,0
