Student,add-loc-34,delete-loc-34,change-files-34
annipi,0,0,0
bsgarciac,121,1279,5
camilo654,60,115,6
camilo13152,12,21,3
CamiloRueda,0,0,0
cap182,0,0,0
capinillab,53,109,4
cdcordobaa,1,1,1
CristianLozano,0,0,0
DglyP,15,52,10
fffeelipe,87,202,17
fmbernalb,0,0,0
gabi04,0,0,0
hsmartineza,29,66,6
Januguerab,0,0,0
jcneivaa,0,0,0
jdsolanos,0,0,0
jdsuarezj,0,0,0
jjrodriguezn,67,13,2
jmcuestasb,9,0,1
JoseMolano,1,2,1
juandavidro,32,33,1
juanescai,0,0,1
Judgarciani,130,172,2
katherinsb,0,0,4
leavendanoro,3,0,1
lfvalderrama,1,1,6
maikellPardoA,0,0,1
mnguzmanc,65,39,2
MogGy94,0,0,0
Moimolcp,20,31,1
NicolasZon,0,0,0
odprietoh,0,0,0
pcberriop,0,0,0
pipemax85,0,0,0
sacastroc,39,52,2
UNhcrodriguezl,0,0,0
yocuervoc,0,0,0
adamantwharf,0,0,0
aldiazve,1,29,2
andfsanchezlem,4,49,2
anfmorenoso,11,25,3
bdcajicam,0,0,0
Christian7sr,0,0,0
crigar,0,0,0
daandradec,69,12,1
dasalgadob,0,0,0
dfhincapiem,0,0,0
diegoaguevarar,0,0,0
djguzmanc,62,674,3
dsbarrerag,1,3,1
falperezgo,141,40,4
fevargasmo,7,90,1
gasierram,3,4,1
gcantem,9,20,10
gfalbarracinr,10,6,8
gsuarezc04,0,0,0
helmeraac,5,6,2
ItsNavi,0,0,0
ivdgonzalezco,0,0,0
JairVillalba,27,75,5
jcrubioa,0,0,0
jesusfchavarro,21,104,5
jiapulidoar,0,0,0
jmhurtadoc,0,0,0
joahernandezca,0,0,1
jonatan360,33,96,1
jsnarvaezb,8,56,2
jsviveroj,5,44,2
jufcontrerasco,53,113,3
maikellPardo,0,0,0
miaborjaac,28,92,2
nabautistal,0,0,2
oeroaq,30,158,2
Semoralesga,12,57,5
stevenbustos,16,121,4
wolfstain,437,459,2
Zeugmax,0,0,0
bdvegat,0,0,0
begarzonf,0,0,0
ccvacad,2,36,5
cesarochoa2006,20,54,2
crarojasca,0,0,0
CSebasGomez,0,0,0
Dandarprox,11,16,1
davidrh195,28,44,2
Davsatu313,1,11,1
debeltranc,0,0,0
diegocruz10,0,0,0
fabianr23,97,110,2
Gantiva,22,86,2
HashNick,18,23,2
idrojasf,11,9,1
jhcardenasa,0,0,0
jhonsd1996,0,0,0
jhriverasa,0,0,2
jjmuesesq,0,0,8
jscontrerasp,1,1,1
JuanitoAli,270,98,4
juasmartinezbel,4,0,1
jucjimenezmo,0,0,0
JulianaNino,50,86,1
jusherrerama,0,0,0
kancas,0,0,0
kmendezp96,56,51,2
leguzman,152,274,6
ligibrial,8,14,2
lsfinite,9,6,2
luealfonsoru,1,12,1
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,0,0,0
Phoenixest,0,0,0
raulramirezp,22,18,3
sagilm,12,13,4
tres-iqus,0,0,0
xdanielsb,10,165,3
Yelis3,32,59,4
ykchautai,2,29,3
adriel62,112,75,3
afceballosr,70,24,3
AFelipeGA,0,0,0
afforeroc,0,0,0
capinzor,83,54,1
cccristanchoc,0,0,0
Chranium,0,0,0
dagofonseca,1,11,4
Danielsv9207,0,0,0
davidh17,448,642,4
DavidQP,1,4,2
dduartec,0,0,0
DianaNavarrete,0,0,0
feartheGru,0,0,0
jdmonroyg,0,0,0
JhonEmmanuelTorres,0,0,0
jmalvarezd,0,0,0
jorge52an,4,0,1
jscastelblancoh,39,118,2
juclopezso,25,175,1
juligarji,29,37,1
jumcorredorro,1,0,1
kgbayala528,0,0,0
lacardenasv,61,294,5
lemartinp,26,246,4
lgmoralesa,14,34,2
lizzyt10h,31,53,4
macuestap,1,7,1
mballeng91,4,3,4
ncampuzano,0,0,0
nfmorenog,1,0,1
NicolasPrr,106,285,4
oacastillol,6,67,2
ofnanezn,0,0,0
ronaldsg20,37,70,11
sarizag,12,870,1
smarquezo,94,263,1
spenas,0,0,0
srmedinac,1,1,1
wapiravaguens,12,16,2
wilson911013,0,0,2
