,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13
117,2.0,4.0,6.0,2.0,1.0,3.0,4.0,3.0,3.0,5.0,1.0,3.0,2.0
118,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
119,4.0,4.0,5.0,1.0,4.0,4.0,6.0,5.0,2.0,5.0,3.0,5.0,3.0
120,4.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,6.0
121,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
122,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
123,0.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,2.0,6.0
124,4.0,5.0,6.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0
125,4.0,3.0,2.0,0.0,4.0,3.0,6.0,3.0,4.0,5.0,0.0,4.0,0.0
126,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,6.0
127,3.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0
128,2.0,3.0,3.0,2.0,3.0,4.0,6.0,5.0,5.0,3.0,4.0,4.0,5.0
129,3.0,3.0,6.0,3.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0
130,5.0,2.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,6.0
131,3.0,3.0,3.0,3.0,4.0,3.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0
132,3.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,3.0,3.0
133,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,6.0
134,3.0,4.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,3.0,3.0,4.0,4.0
135,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0
136,0.0,6.0,6.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0
137,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
138,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0
139,1.0,2.0,1.0,0.0,4.0,1.0,6.0,5.0,0.0,3.0,0.0,1.0,6.0
