,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Student
36,0,6,6,6,6,6,6,6,4,6,3,5,6,2,6,4,5,6,1,3,3,0,4,0,0,2,2,5,3,3,3,3,4,4,0,ncampuzano
37,0,2,6,0,4,5,4,5,4,5,1,5,4,4,6,4,6,4,6,5,6,5,6,5,2,2,4,5,0,1,0,4,5,3,2,jonatan360
38,3,5,6,5,5,3,6,5,4,4,5,4,6,6,5,5,6,6,5,5,5,5,5,5,5,6,6,6,4,4,4,4,5,5,2,CamiloRueda
39,1,4,6,5,5,4,6,6,6,5,5,4,5,6,6,5,6,5,6,4,5,5,6,6,4,5,5,5,3,4,4,4,5,5,4,dfhincapiem
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JuanitoAli
41,3,4,4,3,4,5,5,6,4,5,2,4,5,2,5,3,4,5,3,2,5,5,4,1,0,2,0,5,0,2,0,3,5,5,2,DianaNavarrete
42,0,4,4,4,4,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,4,3,4,3,1,3,1,5,0,1,0,3,3,3,1,wolfstain
43,0,0,0,0,0,0,5,2,0,5,4,1,6,4,2,3,1,6,6,5,6,6,6,6,1,4,4,4,4,1,3,4,5,4,1,ccvacad
44,3,5,3,4,4,4,6,6,5,5,4,5,1,5,6,6,4,6,6,2,5,4,5,5,6,4,6,5,5,4,5,5,6,5,4,Chranium
45,5,5,6,4,5,5,6,5,5,5,5,4,5,4,5,5,6,4,5,4,5,5,5,4,3,4,5,5,1,2,1,1,4,4,3,cap182
46,3,4,4,5,3,4,5,4,4,5,5,4,3,5,4,5,4,4,4,5,4,4,5,5,5,5,5,5,4,4,4,5,5,4,3,helmeraac
47,1,3,3,2,2,3,2,4,2,3,2,3,6,5,5,2,3,3,1,2,2,3,2,0,1,3,0,4,0,5,1,4,6,5,3,bdvegat
48,5,5,6,3,6,5,5,5,5,5,2,5,5,5,2,6,2,5,6,6,6,6,6,0,3,5,4,5,1,1,1,2,3,5,2,lizzyt10h
49,0,5,5,5,5,5,5,5,5,6,5,6,1,5,5,5,6,6,5,5,5,4,6,4,4,3,3,3,4,4,4,4,5,5,3,Moimolcp
50,6,6,0,6,6,6,3,6,6,6,4,6,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,0,2,0,3,5,5,2,fevargasmo
51,1,4,5,5,5,4,5,5,5,5,5,4,6,4,3,3,4,4,3,5,3,4,3,5,3,5,4,5,4,3,4,3,4,4,2,ligibrial
52,4,6,6,4,6,5,6,6,6,6,2,6,1,5,6,6,6,6,4,4,4,5,6,5,4,6,6,6,4,4,5,5,6,5,4,leguzman
53,3,5,6,4,4,5,6,4,5,5,5,6,3,5,6,4,6,5,4,4,5,4,5,5,4,5,6,6,4,3,3,3,6,5,3,wapiravaguens
54,2,5,5,4,4,5,5,5,5,3,6,5,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,6,5,3,capinillab
55,6,4,6,1,3,6,5,3,3,6,5,6,6,0,5,5,5,5,3,5,5,1,5,1,5,4,1,4,0,1,0,4,0,0,1,jcrubioa
56,2,5,5,0,3,5,6,5,4,5,3,3,4,4,5,5,5,4,5,3,5,5,5,2,0,5,0,5,0,0,0,0,5,5,2,davidrh195
57,0,0,0,0,0,0,0,0,0,0,0,0,6,2,5,3,5,4,5,2,2,5,5,1,4,3,1,5,0,4,1,4,5,6,2,oacastillol
58,5,3,5,3,3,4,4,4,4,4,3,3,6,5,5,5,5,5,3,3,3,3,4,6,4,6,6,6,3,3,4,4,6,6,0,leavendanoro
59,3,4,4,1,4,4,4,3,3,2,0,2,5,1,4,2,2,3,3,4,2,1,3,0,0,3,0,4,0,0,0,0,4,3,1,Zeugmax
60,0,2,3,2,2,4,5,5,4,5,1,1,3,3,4,4,4,4,5,5,5,5,5,3,3,4,3,4,1,4,0,4,4,5,2,sagilm
61,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,DavidQP
