,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Student
148,3,5,5,4,5,5,5,4,5,4,3,4,4,5,4,4,5,3,3,3,4,4,4,4,4,6,4,6,1,5,3,5,6,6,2,jdmonroyg
149,4,5,4,4,4,5,5,5,4,5,3,3,3,5,5,5,4,5,5,5,5,5,5,5,3,5,3,6,2,2,1,3,4,4,3,maikellPardoA
150,5,6,6,4,6,6,6,6,6,6,3,5,3,4,6,4,6,5,4,6,4,3,5,2,1,5,1,5,0,3,3,0,5,6,2,li2266
151,4,4,5,3,4,3,5,4,3,5,2,4,4,3,5,4,5,5,3,5,4,4,3,3,2,4,2,3,1,1,2,3,4,3,1,raulramirezp
152,3,4,5,3,5,4,5,5,5,4,2,5,6,4,4,5,5,5,4,5,4,4,5,4,3,5,3,6,3,3,3,4,5,5,2,afceballosr
153,4,3,5,4,4,4,5,3,3,5,2,4,5,5,5,5,5,5,3,3,4,3,5,1,0,3,0,3,0,0,0,0,2,2,0,juanescai
154,4,5,6,4,6,4,5,6,6,4,4,4,5,4,4,5,5,5,5,3,5,5,3,4,4,3,5,6,4,3,4,4,6,6,2,maikellPardo
155,4,5,3,5,2,6,6,4,5,6,5,4,6,6,5,5,4,4,4,5,4,6,4,4,5,5,6,6,4,5,5,6,6,5,2,mdbelloc
156,4,6,4,5,5,5,6,5,5,6,6,6,5,3,5,5,5,5,5,5,5,5,6,3,3,4,4,4,2,3,2,3,4,4,3,JhonEmmanuelTorres
157,3,4,0,1,3,1,4,5,5,5,5,0,6,2,4,3,4,3,3,3,3,3,3,2,1,3,2,5,1,3,4,4,5,4,2,gabi04
158,4,3,3,3,3,3,4,3,1,3,1,2,6,5,3,5,4,5,4,5,3,3,5,5,1,5,5,5,2,1,0,2,5,5,2,Christian7sr
159,3,4,3,3,3,3,5,4,4,3,3,4,2,4,4,4,4,3,4,3,4,4,4,4,3,5,4,5,3,4,4,4,3,3,2,jucjimenezmo
160,3,4,4,3,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,3,5,4,5,5,3,4,3,5,1,1,1,1,5,5,2,ofnanezn
161,0,3,6,3,4,3,6,6,6,6,3,3,0,3,6,5,6,5,5,5,6,4,5,5,4,4,5,6,2,2,3,4,5,2,2,DglyP
162,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,kastellanos
163,5,5,6,6,5,5,6,5,6,5,6,6,0,5,5,5,5,5,3,5,5,5,4,6,6,6,6,5,5,4,5,5,5,5,2,
164,3,5,5,3,5,5,6,5,5,5,4,6,3,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,3,3,3,4,4,2,
165,0,3,4,3,0,5,5,3,3,4,4,5,5,5,3,4,4,4,4,3,4,5,3,3,3,4,3,4,3,4,3,2,5,5,1,
166,0,0,3,0,0,0,2,0,1,4,0,3,6,3,3,4,3,4,3,4,5,3,5,2,0,1,1,4,0,0,0,2,4,3,2,
167,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,
