Student,,,Total Score,,
xdanielsb,,,260,,
juasmartinezbel,,,251.67,,
Yelis3,,,231.67,,
idrojasf,,,207.5,,
Davsatu313,,,207.5,,
fabianr23,,,205,,
kmendezp96,,,185.83,,
debeltranc,,,162.5,,
ykchautai,,,161.67,,
begarzonf,,,157.5,,
luealfonsoru,,,154.17,,
leguzman,,,153.33,,
jhriverasa,,,142.92,,
ligibrial,,,133.33,,
luegilca,,,129.17,,
Gantiva,,,115.83,,
joaortizro,,,107.5,,
Dandarprox,,,105.42,,
JuanitoAli,,,100,,
jhonsd1996,,,100,,
mdbelloc,,,91.67,,
diegocruz10,,,90.83,,
cesarochoa2006,,,86.67,,
jusherrerama,,,82.5,,
jjmuesesq,,,82.5,,
Phoenixest,,,74.17,,
lsfinite,,,62.5,,
JulianaNino,,,54.17,,
oserasoa,,,54.17,,
sagilm,,,50,,
crarojasca,,,45,,
kancas,,,37.5,,
jucjimenezmo,,,12.5,,
bdvegat,,,0,,
ccvacad,,,0,,
HashNick,,,0,,
CSebasGomez,,,0,,
raulramirezp,,,0,,
tres-iqus,,,0,,
jhcardenasa,,,0,,
davidrh195,,,0,,
