Student,,,Total Score,,
bsgarciac,,,313.33,,
jdsuarezj,,,276.67,,
capinillab,,,251.67,,
mnguzmanc,,,245,,
camilo654,,,243.33,,
camilo13152,,,243.33,,
Judgarciani,,,242.5,,
jmcuestasb,,,220.83,,
sacastroc,,,220,,
JoseMolano,,,216.67,,
UNhcrodriguezl,,,215.83,,
lfvalderrama,,,207.5,,
fffeelipe,,,192.92,,
cdcordobaa,,,190.83,,
hsmartineza,,,176.25,,
pcberriop,,,165.83,,
DglyP,,,162.5,,
CristianLozano,,,147.5,,
jjrodriguezn,,,131.67,,
katherinsb,,,128.33,,
leavendanoro,,,125,,
Moimolcp,,,120.83,,
juandavidro,,,111.67,,
pipemax85,,,103.33,,
Januguerab,,,99.17,,
NicolasZon,,,87.5,,
gabi04,,,74.17,,
CamiloRueda,,,70,,
juanescai,,,50,,
cap182,,,49.17,,
maikellPardoA,,,25,,
annipi,,,0,,
jdsolanos,,,0,,
jcneivaa,,,0,,
fmbernalb,,,0,,
MogGy94,,,0,,
annumumozme,,,0,,
yocuervoc,,,0,,
odprietoh,,,0,,
