Student,,,Total Score,,
juandavidro,,,300.83,,
JoseMolano,,,195,,
jdsuarezj,,,162.5,,
cap182,,,148.33,,
capinillab,,,115.83,,
juanescai,,,112.5,,
bsgarciac,,,107.5,,
fffeelipe,,,99.17,,
CristianLozano,,,99.17,,
pipemax85,,,95,,
UNhcrodriguezl,,,90.83,,
cdcordobaa,,,90.83,,
mnguzmanc,,,87.5,,
maikellPardoA,,,87.5,,
pcberriop,,,77.5,,
sacastroc,,,75,,
lfvalderrama,,,75,,
camilo654,,,74.17,,
jdsolanos,,,62.5,,
jmcuestasb,,,50,,
annumumozme,,,37.5,,
leavendanoro,,,37.5,,
camilo13152,,,29.17,,
Moimolcp,,,25,,
odprietoh,,,25,,
MogGy94,,,12.5,,
NicolasZon,,,12.5,,
annipi,,,0,,
katherinsb,,,0,,
jjrodriguezn,,,0,,
DglyP,,,0,,
jcneivaa,,,0,,
fmbernalb,,,0,,
Judgarciani,,,0,,
hsmartineza,,,0,,
yocuervoc,,,0,,
CamiloRueda,,,0,,
Januguerab,,,0,,
gabi04,,,0,,
