Student,,,Total Score,,
oeroaq,,,350,,
jonatan360,,,343.33,,
jesusfchavarro,,,333.33,,
daandradec,,,318.75,,
diegoaguevarar,,,312.5,,
miaborjaac,,,301.67,,
djguzmanc,,,292.29,,
dsbarrerag,,,285,,
jsviveroj,,,280.83,,
falperezgo,,,277.5,,
jiapulidoar,,,277.5,,
gcantem,,,264.17,,
aldiazve,,,260,,
fevargasmo,,,248.33,,
jsnarvaezb,,,244.17,,
dasalgadob,,,225,,
jcrubioa,,,215.83,,
wolfstain,,,203.33,,
Semoralesga,,,178.33,,
anfmorenoso,,,178.33,,
bdcajicam,,,174.17,,
ivdgonzalezco,,,165,,
jufcontrerasco,,,161.67,,
gasierram,,,160.83,,
joahernandezca,,,132.5,,
Christian7sr,,,124.17,,
jmhurtadoc,,,116.67,,
stevenbustos,,,115.83,,
dfhincapiem,,,107.5,,
crigar,,,107.5,,
adamantwharf,,,95,,
nabautistal,,,90.83,,
helmeraac,,,86.67,,
maikellPardo,,,75,,
JairVillalba,,,62.5,,
gsuarezc04,,,50,,
gfalbarracinr,,,50,,
andfsanchezlem,,,45,,
ItsNavi,,,0,,
Zeugmax,,,0,,
kastellanos,,,0,,
