Student,,,Total Score,,
gcantem,,,329.17,,
jonatan360,,,285.83,,
djguzmanc,,,280.83,,
falperezgo,,,256.67,,
jesusfchavarro,,,248.33,,
oeroaq,,,230.83,,
dsbarrerag,,,225.83,,
jiapulidoar,,,219.17,,
gasierram,,,195,,
jsnarvaezb,,,174.17,,
fevargasmo,,,165,,
jmhurtadoc,,,162.5,,
joahernandezca,,,150,,
daandradec,,,137.5,,
jcrubioa,,,136.67,,
stevenbustos,,,132.5,,
miaborjaac,,,120,,
aldiazve,,,120,,
jsviveroj,,,103.33,,
dasalgadob,,,100,,
anfmorenoso,,,97.5,,
jufcontrerasco,,,91.67,,
maikellPardo,,,87.5,,
diegoaguevarar,,,87.5,,
adamantwharf,,,82.5,,
wolfstain,,,74.17,,
Christian7sr,,,74.17,,
andfsanchezlem,,,70,,
helmeraac,,,70,,
crigar,,,70,,
Semoralesga,,,65.83,,
JairVillalba,,,62.5,,
gfalbarracinr,,,62.5,,
nabautistal,,,57.5,,
bdcajicam,,,25,,
dfhincapiem,,,0,,
ItsNavi,,,0,,
gsuarezc04,,,0,,
Zeugmax,,,0,,
kastellanos,,,0,,
ivdgonzalezco,,,0,,
