Student,,,Total Score,,
fabianr23,,,330,,
juasmartinezbel,,,296.67,,
JuanitoAli,,,284.17,,
joaortizro,,,268.33,,
cesarochoa2006,,,255.83,,
leguzman,,,244.17,,
kancas,,,243.33,,
Davsatu313,,,236.67,,
jhriverasa,,,224.17,,
raulramirezp,,,219.17,,
Yelis3,,,211.67,,
kmendezp96,,,210.83,,
jjmuesesq,,,186.67,,
idrojasf,,,168.33,,
jusherrerama,,,161.67,,
luealfonsoru,,,137.5,,
Dandarprox,,,135.83,,
Gantiva,,,133.33,,
diegocruz10,,,128.33,,
mdbelloc,,,125,,
ykchautai,,,120,,
davidrh195,,,120,,
luegilca,,,112.5,,
Phoenixest,,,111.67,,
HashNick,,,108.33,,
ligibrial,,,108.33,,
begarzonf,,,107.5,,
lsfinite,,,100,,
jucjimenezmo,,,99.17,,
oserasoa,,,95.83,,
bdvegat,,,95,,
JulianaNino,,,91.67,,
xdanielsb,,,87.5,,
jhonsd1996,,,75,,
debeltranc,,,75,,
sagilm,,,70.83,,
crarojasca,,,57.5,,
ccvacad,,,12.5,,
CSebasGomez,,,12.5,,
tres-iqus,,,12.5,,
jhcardenasa,,,12.5,,
