Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
jesusfchavarro,,,Bogota-Hack-1-2017,,,jesusfchavarro,,,345.83,,,97.67,,,3rd Phase,,
falperezgo,,,Bogota-Hack-1-2017,,,falperezgo,,,338.33,,,95.35,,,3rd Phase,,
jonatan360,,,Bogota-Hack-1-2017,,,jonatan360,,,332.92,,,93.02,,,3rd Phase,,
dsbarrerag,,,Bogota-Hack-1-2017,,,dsbarrerag,,,325,,,88.37,,,3rd Phase,,
diegoaguevarar,,,Bogota-Hack-1-2017,,,diegoaguevarar,,,325,,,88.37,,,3rd Phase,,
oeroaq,,,Bogota-Hack-1-2017,,,oeroaq,,,320.83,,,86.05,,,3rd Phase,,
fevargasmo,,,Bogota-Hack-1-2017,,,fevargasmo,,,313.33,,,83.72,,,3rd Phase,,
djguzmanc,,,Bogota-Hack-1-2017,,,djguzmanc,,,305,,,81.4,,,3rd Phase,,
miaborjaac,,,Bogota-Hack-1-2017,,,miaborjaac,,,300.83,,,79.07,,,3rd Phase,,
jsviveroj,,,Bogota-Hack-1-2017,,,jsviveroj,,,293.33,,,76.74,,,3rd Phase,,
jiapulidoar,,,Bogota-Hack-1-2017,,,jiapulidoar,,,281.67,,,74.42,,,3rd Phase,,
daandradec,,,Bogota-Hack-1-2017,,,daandradec,,,240.83,,,72.09,,,3rd Phase,,
aldiazve,,,Bogota-Hack-1-2017,,,aldiazve,,,229.58,,,69.77,,,3rd Phase,,
jsnarvaezb,,,Bogota-Hack-1-2017,,,jsnarvaezb,,,228.33,,,67.44,,,3rd Phase,,
gcantem,,,Bogota-Hack-1-2017,,,gcantem,,,226.67,,,65.12,,,3rd Phase,,
jcrubioa,,,Bogota-Hack-1-2017,,,jcrubioa,,,205.42,,,62.79,,,3rd Phase,,
wolfstain,,,Bogota-Hack-1-2017,,,wolfstain,,,195,,,60.47,,,3rd Phase,,
Semoralesga,,,Bogota-Hack-1-2017,,,Semoralesga,,,178.33,,,58.14,,,3rd Phase,,
bdcajicam,,,Bogota-Hack-1-2017,,,bdcajicam,,,157.5,,,55.81,,,3rd Phase,,
gasierram,,,Bogota-Hack-1-2017,,,gasierram,,,132.5,,,53.49,,,3rd Phase,,
jufcontrerasco,,,Bogota-Hack-1-2017,,,jufcontrerasco,,,128.33,,,51.16,,,3rd Phase,,
ivdgonzalezco,,,Bogota-Hack-1-2017,,,ivdgonzalezco,,,124.17,,,46.51,,,3rd Phase,,
Christian7sr,,,Bogota-Hack-1-2017,,,Christian7sr,,,124.17,,,46.51,,,3rd Phase,,
jmhurtadoc,,,Bogota-Hack-1-2017,,,jmhurtadoc,,,120.83,,,44.19,,,3rd Phase,,
anfmorenoso,,,Bogota-Hack-1-2017,,,anfmorenoso,,,115.83,,,41.86,,,3rd Phase,,
joahernandezca,,,Bogota-Hack-1-2017,,,joahernandezca,,,108.33,,,39.53,,,3rd Phase,,
dfhincapiem,,,Bogota-Hack-1-2017,,,dfhincapiem,,,107.5,,,37.21,,,3rd Phase,,
stevenbustos,,,Bogota-Hack-1-2017,,,stevenbustos,,,103.33,,,34.88,,,3rd Phase,,
adamantwharf,,,Bogota-Hack-1-2017,,,adamantwharf,,,95,,,32.56,,,3rd Phase,,
nabautistal,,,Bogota-Hack-1-2017,,,nabautistal,,,86.67,,,30.23,,,3rd Phase,,
crigar,,,Bogota-Hack-1-2017,,,crigar,,,82.5,,,27.91,,,3rd Phase,,
gfalbarracinr,,,Bogota-Hack-1-2017,,,gfalbarracinr,,,75,,,25.58,,,3rd Phase,,
JairVillalba,,,Bogota-Hack-1-2017,,,JairVillalba,,,62.5,,,23.26,,,3rd Phase,,
maikellPardo,,,Bogota-Hack-1-2017,,,maikellPardo,,,58.33,,,20.93,,,3rd Phase,,
helmeraac,,,Bogota-Hack-1-2017,,,helmeraac,,,54.17,,,18.6,,,3rd Phase,,
dasalgadob,,,Bogota-Hack-1-2017,,,dasalgadob,,,50,,,13.95,,,3rd Phase,,
gsuarezc04,,,Bogota-Hack-1-2017,,,gsuarezc04,,,50,,,13.95,,,3rd Phase,,
andfsanchezlem,,,Bogota-Hack-1-2017,,,andfsanchezlem,,,45,,,11.63,,,3rd Phase,,
ItsNavi,,,Bogota-Hack-1-2017,,,ItsNavi,,,0,,,0,,,3rd Phase,,
Zeugmax,,,Bogota-Hack-1-2017,,,Zeugmax,,,0,,,0,,,3rd Phase,,
kastellanos,,,Bogota-Hack-1-2017,,,kastellanos,,,0,,,0,,,3rd Phase,,
