Student,,,Total Score,,
NicolasPrr,,,360.83,,
jscastelblancoh,,,358.33,,
juligarji,,,355,,
lacardenasv,,,350,,
jmalvarezd,,,348.75,,
dduartec,,,345.83,,
lgmoralesa,,,345.83,,
lemartinp,,,329.17,,
wapiravaguens,,,327.5,,
jumcorredorro,,,325,,
jorge52an,,,310,,
adriel62,,,301.67,,
kgbayala528,,,298.75,,
DavidQP,,,284.17,,
juclopezso,,,278.75,,
afceballosr,,,270.83,,
lizzyt10h,,,255.42,,
oacastillol,,,235,,
dagofonseca,,,231.67,,
AFelipeGA,,,221.25,,
davidh17,,,209.58,,
sarizag,,,209.58,,
ncampuzano,,,203.33,,
capinzor,,,203.33,,
ofnanezn,,,198.33,,
cccristanchoc,,,197.08,,
smarquezo,,,185.83,,
ronaldsg20,,,178.33,,
macuestap,,,177.5,,
afforeroc,,,161.67,,
DianaNavarrete,,,145,,
srmedinac,,,128.33,,
nfmorenog,,,127.5,,
spenas,,,115.83,,
mballeng91,,,112.5,,
Chranium,,,95,,
wilson911013,,,75,,
jdmonroyg,,,75,,
feartheGru,,,0,,
Danielsv9207,,,0,,
JhonEmmanuelTorres,,,0,,
