Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
bsgarciac,,,Bogota-Hack-0-2017,,,bsgarciac,,,107.5,,,76.47,,,1st Phase,,
camilo13152,,,Bogota-Hack-0-2017,,,camilo13152,,,29.17,,,43.14,,,1st Phase,,
camilo654,,,Bogota-Hack-0-2017,,,camilo654,,,74.17,,,54.9,,,1st Phase,,
cap182,,,Bogota-Hack-0-2017,,,cap182,,,148.33,,,84.31,,,1st Phase,,
capinillab,,,Bogota-Hack-0-2017,,,capinillab,,,115.83,,,80.39,,,1st Phase,,
cdcordobaa,,,Bogota-Hack-0-2017,,,cdcordobaa,,,90.83,,,66.67,,,1st Phase,,
CristianLozano,,,Bogota-Hack-0-2017,,,CristianLozano,,,99.17,,,72.55,,,1st Phase,,
fffeelipe,,,Bogota-Hack-0-2017,,,fffeelipe,,,99.17,,,72.55,,,1st Phase,,
jdsuarezj,,,Bogota-Hack-0-2017,,,jdsuarezj,,,162.5,,,88.24,,,1st Phase,,
jmcuestasb,,,Bogota-Hack-0-2017,,,jmcuestasb,,,50,,,49.02,,,1st Phase,,
JoseMolano,,,Bogota-Hack-0-2017,,,JoseMolano,,,195,,,94.12,,,1st Phase,,
juandavidro,,,Bogota-Hack-0-2017,,,juandavidro,,,300.83,,,98.04,,,1st Phase,,
juanescai,,,Bogota-Hack-0-2017,,,juanescai,,,112.5,,,78.43,,,1st Phase,,
leavendanoro,,,Bogota-Hack-0-2017,,,leavendanoro,,,37.5,,,45.1,,,1st Phase,,
lfvalderrama,,,Bogota-Hack-0-2017,,,lfvalderrama,,,75,,,56.86,,,1st Phase,,
maikellPardoA,,,Bogota-Hack-0-2017,,,maikellPardoA,,,87.5,,,62.75,,,1st Phase,,
mnguzmanc,,,Bogota-Hack-0-2017,,,mnguzmanc,,,87.5,,,62.75,,,1st Phase,,
Moimolcp,,,Bogota-Hack-0-2017,,,Moimolcp,,,25,,,39.22,,,1st Phase,,
NicolasZon,,,Bogota-Hack-0-2017,,,NicolasZon,,,12.5,,,33.33,,,1st Phase,,
pcberriop,,,Bogota-Hack-0-2017,,,pcberriop,,,77.5,,,60.78,,,1st Phase,,
pipemax85,,,Bogota-Hack-0-2017,,,pipemax85,,,95,,,70.59,,,1st Phase,,
sacastroc,,,Bogota-Hack-0-2017,,,sacastroc,,,75,,,56.86,,,1st Phase,,
UNhcrodriguezl,,,Bogota-Hack-0-2017,,,UNhcrodriguezl,,,90.83,,,66.67,,,1st Phase,,
