Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
adriel62,,,Bogota-Hack-3-2017,,,adriel62,,,210.83,,,66.67,,,4th Phase,,
afceballosr,,,Bogota-Hack-3-2017,,,afceballosr,,,265,,,80.95,,,4th Phase,,
AFelipeGA,,,Bogota-Hack-3-2017,,,AFelipeGA,,,152.5,,,57.14,,,4th Phase,,
afforeroc,,,Bogota-Hack-3-2017,,,afforeroc,,,99.17,,,21.43,,,4th Phase,,
capinzor,,,Bogota-Hack-3-2017,,,capinzor,,,195,,,64.29,,,4th Phase,,
cccristanchoc,,,Bogota-Hack-3-2017,,,cccristanchoc,,,115.83,,,28.57,,,4th Phase,,
Chranium,,,Bogota-Hack-3-2017,,,Chranium,,,95,,,19.05,,,4th Phase,,
dagofonseca,,,Bogota-Hack-3-2017,,,dagofonseca,,,265,,,80.95,,,4th Phase,,
davidh17,,,Bogota-Hack-3-2017,,,davidh17,,,75,,,11.9,,,4th Phase,,
DavidQP,,,Bogota-Hack-3-2017,,,DavidQP,,,271.67,,,85.71,,,4th Phase,,
dduartec,,,Bogota-Hack-3-2017,,,dduartec,,,87.5,,,16.67,,,4th Phase,,
DianaNavarrete,,,Bogota-Hack-3-2017,,,DianaNavarrete,,,115.83,,,28.57,,,4th Phase,,
jmalvarezd,,,Bogota-Hack-3-2017,,,jmalvarezd,,,218.33,,,71.43,,,4th Phase,,
jorge52an,,,Bogota-Hack-3-2017,,,jorge52an,,,243.33,,,73.81,,,4th Phase,,
jscastelblancoh,,,Bogota-Hack-3-2017,,,jscastelblancoh,,,316.67,,,92.86,,,4th Phase,,
juclopezso,,,Bogota-Hack-3-2017,,,juclopezso,,,151.67,,,54.76,,,4th Phase,,
juligarji,,,Bogota-Hack-3-2017,,,juligarji,,,358.33,,,97.62,,,4th Phase,,
jumcorredorro,,,Bogota-Hack-3-2017,,,jumcorredorro,,,305,,,90.48,,,4th Phase,,
kgbayala528,,,Bogota-Hack-3-2017,,,kgbayala528,,,243.33,,,73.81,,,4th Phase,,
lacardenasv,,,Bogota-Hack-3-2017,,,lacardenasv,,,260,,,78.57,,,4th Phase,,
lemartinp,,,Bogota-Hack-3-2017,,,lemartinp,,,300.83,,,88.1,,,4th Phase,,
lgmoralesa,,,Bogota-Hack-3-2017,,,lgmoralesa,,,337.5,,,95.24,,,4th Phase,,
lizzyt10h,,,Bogota-Hack-3-2017,,,lizzyt10h,,,145.83,,,50,,,4th Phase,,
macuestap,,,Bogota-Hack-3-2017,,,macuestap,,,149.17,,,52.38,,,4th Phase,,
ncampuzano,,,Bogota-Hack-3-2017,,,ncampuzano,,,145,,,47.62,,,4th Phase,,
nfmorenog,,,Bogota-Hack-3-2017,,,nfmorenog,,,120.83,,,38.1,,,4th Phase,,
NicolasPrr,,,Bogota-Hack-3-2017,,,NicolasPrr,,,120.83,,,38.1,,,4th Phase,,
oacastillol,,,Bogota-Hack-3-2017,,,oacastillol,,,120.83,,,38.1,,,4th Phase,,
ofnanezn,,,Bogota-Hack-3-2017,,,ofnanezn,,,128.33,,,45.24,,,4th Phase,,
ronaldsg20,,,Bogota-Hack-3-2017,,,ronaldsg20,,,165.83,,,59.52,,,4th Phase,,
sarizag,,,Bogota-Hack-3-2017,,,sarizag,,,190.83,,,61.9,,,4th Phase,,
smarquezo,,,Bogota-Hack-3-2017,,,smarquezo,,,111.67,,,23.81,,,4th Phase,,
spenas,,,Bogota-Hack-3-2017,,,spenas,,,115.83,,,28.57,,,4th Phase,,
srmedinac,,,Bogota-Hack-3-2017,,,srmedinac,,,115.83,,,28.57,,,4th Phase,,
wapiravaguens,,,Bogota-Hack-3-2017,,,wapiravaguens,,,217.5,,,69.05,,,4th Phase,,
wilson911013,,,Bogota-Hack-3-2017,,,wilson911013,,,82.5,,,14.29,,,4th Phase,,
