Student,,,Total Score,,
juligarji,,,358.33,,
lgmoralesa,,,337.5,,
jscastelblancoh,,,316.67,,
jumcorredorro,,,305,,
lemartinp,,,300.83,,
DavidQP,,,271.67,,
dagofonseca,,,265,,
afceballosr,,,265,,
lacardenasv,,,260,,
jorge52an,,,243.33,,
kgbayala528,,,243.33,,
jmalvarezd,,,218.33,,
wapiravaguens,,,217.5,,
adriel62,,,210.83,,
capinzor,,,195,,
sarizag,,,190.83,,
ronaldsg20,,,165.83,,
AFelipeGA,,,152.5,,
juclopezso,,,151.67,,
macuestap,,,149.17,,
lizzyt10h,,,145.83,,
ncampuzano,,,145,,
ofnanezn,,,128.33,,
nfmorenog,,,120.83,,
oacastillol,,,120.83,,
NicolasPrr,,,120.83,,
srmedinac,,,115.83,,
DianaNavarrete,,,115.83,,
spenas,,,115.83,,
cccristanchoc,,,115.83,,
mballeng91,,,112.5,,
smarquezo,,,111.67,,
afforeroc,,,99.17,,
Chranium,,,95,,
dduartec,,,87.5,,
wilson911013,,,82.5,,
davidh17,,,75,,
jdmonroyg,,,0,,
feartheGru,,,0,,
Danielsv9207,,,0,,
JhonEmmanuelTorres,,,0,,
