Student,,,Total Score,,
xdanielsb,,,357.5,,
Gantiva,,,345.83,,
leguzman,,,339.17,,
juasmartinezbel,,,337.5,,
cesarochoa2006,,,326.67,,
fabianr23,,,325.83,,
joaortizro,,,325,,
Davsatu313,,,322.71,,
jhriverasa,,,318.33,,
ccvacad,,,314.17,,
Yelis3,,,309.17,,
kmendezp96,,,304.79,,
Dandarprox,,,275.83,,
raulramirezp,,,272.5,,
JuanitoAli,,,265.83,,
begarzonf,,,227.5,,
JulianaNino,,,224.17,,
ykchautai,,,211.67,,
jucjimenezmo,,,187.5,,
kancas,,,182.5,,
sagilm,,,178.33,,
jhonsd1996,,,174.17,,
idrojasf,,,170,,
luealfonsoru,,,158.33,,
oserasoa,,,154.17,,
HashNick,,,152.5,,
ligibrial,,,145.83,,
mdbelloc,,,137.5,,
diegocruz10,,,128.33,,
debeltranc,,,125,,
lsfinite,,,125,,
jusherrerama,,,120,,
jjmuesesq,,,120,,
bdvegat,,,107.5,,
luegilca,,,100,,
davidrh195,,,95,,
Phoenixest,,,75,,
crarojasca,,,45,,
CSebasGomez,,,0,,
tres-iqus,,,0,,
jhcardenasa,,,0,,
