Student,,,Total Score,,
fabianr23,,,358.33,,
jhriverasa,,,333.33,,
JuanitoAli,,,325,,
juasmartinezbel,,,320.83,,
Davsatu313,,,300.83,,
leguzman,,,290,,
cesarochoa2006,,,283.96,,
joaortizro,,,280,,
Gantiva,,,237.5,,
Yelis3,,,234.17,,
begarzonf,,,215,,
Dandarprox,,,213.33,,
kancas,,,206.67,,
kmendezp96,,,206.67,,
jucjimenezmo,,,203.33,,
ykchautai,,,199.17,,
jhonsd1996,,,157.5,,
idrojasf,,,153.33,,
sagilm,,,150,,
raulramirezp,,,148.33,,
luealfonsoru,,,137.5,,
HashNick,,,131.67,,
mdbelloc,,,129.17,,
JulianaNino,,,124.17,,
luegilca,,,116.67,,
oserasoa,,,115.83,,
ligibrial,,,108.33,,
jusherrerama,,,107.5,,
jjmuesesq,,,107.5,,
davidrh195,,,107.5,,
diegocruz10,,,106.67,,
debeltranc,,,100,,
bdvegat,,,95,,
Phoenixest,,,95,,
xdanielsb,,,75,,
crarojasca,,,45,,
ccvacad,,,0,,
CSebasGomez,,,0,,
tres-iqus,,,0,,
jhcardenasa,,,0,,
lsfinite,,,0,,
