Student,,,Total Score,,
dsbarrerag,,,333.33,,
falperezgo,,,330,,
daandradec,,,313.33,,
jesusfchavarro,,,289.17,,
oeroaq,,,288.33,,
djguzmanc,,,266.25,,
jiapulidoar,,,256.67,,
gcantem,,,251.67,,
jonatan360,,,227.5,,
diegoaguevarar,,,219.17,,
aldiazve,,,210.83,,
jsnarvaezb,,,207.5,,
Semoralesga,,,190.83,,
wolfstain,,,190.83,,
jcrubioa,,,187.5,,
jsviveroj,,,153.33,,
helmeraac,,,150,,
gasierram,,,140.83,,
gsuarezc04,,,133.33,,
fevargasmo,,,129.17,,
dfhincapiem,,,128.33,,
ivdgonzalezco,,,128.33,,
miaborjaac,,,115.83,,
anfmorenoso,,,115.83,,
Christian7sr,,,111.67,,
jufcontrerasco,,,108.33,,
stevenbustos,,,103.33,,
nabautistal,,,99.17,,
adamantwharf,,,95,,
bdcajicam,,,95,,
crigar,,,95,,
jmhurtadoc,,,87.5,,
dasalgadob,,,75,,
joahernandezca,,,75,,
JairVillalba,,,62.5,,
maikellPardo,,,62.5,,
gfalbarracinr,,,62.5,,
andfsanchezlem,,,57.5,,
ItsNavi,,,12.5,,
Zeugmax,,,12.5,,
kastellanos,,,0,,
