Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
begarzonf,,,Bogota-Hack-2-2017,,,begarzonf,,,107.5,,,35.71,,,2nd Phase,,
cesarochoa2006,,,Bogota-Hack-2-2017,,,cesarochoa2006,,,255.83,,,88.1,,,2nd Phase,,
crarojasca,,,Bogota-Hack-2-2017,,,crarojasca,,,57.5,,,11.9,,,2nd Phase,,
Dandarprox,,,Bogota-Hack-2-2017,,,Dandarprox,,,135.83,,,59.52,,,2nd Phase,,
Davsatu313,,,Bogota-Hack-2-2017,,,Davsatu313,,,236.67,,,80.95,,,2nd Phase,,
debeltranc,,,Bogota-Hack-2-2017,,,debeltranc,,,75,,,16.67,,,2nd Phase,,
diegocruz10,,,Bogota-Hack-2-2017,,,diegocruz10,,,128.33,,,54.76,,,2nd Phase,,
fabianr23,,,Bogota-Hack-2-2017,,,fabianr23,,,330,,,97.62,,,2nd Phase,,
Gantiva,,,Bogota-Hack-2-2017,,,Gantiva,,,133.33,,,57.14,,,2nd Phase,,
idrojasf,,,Bogota-Hack-2-2017,,,idrojasf,,,168.33,,,66.67,,,2nd Phase,,
jhonsd1996,,,Bogota-Hack-2-2017,,,jhonsd1996,,,75,,,16.67,,,2nd Phase,,
jhriverasa,,,Bogota-Hack-2-2017,,,jhriverasa,,,224.17,,,78.57,,,2nd Phase,,
jjmuesesq,,,Bogota-Hack-2-2017,,,jjmuesesq,,,186.67,,,69.05,,,2nd Phase,,
jscontrerasp,,,Bogota-Hack-2-2017,,,joaortizro,,,268.33,,,90.48,,,2nd Phase,,
JuanitoAli,,,Bogota-Hack-2-2017,,,JuanitoAli,,,284.17,,,92.86,,,2nd Phase,,
juasmartinezbel,,,Bogota-Hack-2-2017,,,juasmartinezbel,,,296.67,,,95.24,,,2nd Phase,,
jucjimenezmo,,,Bogota-Hack-2-2017,,,jucjimenezmo,,,99.17,,,30.95,,,2nd Phase,,
JulianaNino,,,Bogota-Hack-2-2017,,,JulianaNino,,,91.67,,,23.81,,,2nd Phase,,
jusherrerama,,,Bogota-Hack-2-2017,,,jusherrerama,,,161.67,,,64.29,,,2nd Phase,,
kancas,,,Bogota-Hack-2-2017,,,kancas,,,243.33,,,83.33,,,2nd Phase,,
kmendezp96,,,Bogota-Hack-2-2017,,,kmendezp96,,,210.83,,,71.43,,,2nd Phase,,
leguzman,,,Bogota-Hack-2-2017,,,leguzman,,,244.17,,,85.71,,,2nd Phase,,
ligibrial,,,Bogota-Hack-2-2017,,,ligibrial,,,108.33,,,38.1,,,2nd Phase,,
luealfonsoru,,,Bogota-Hack-2-2017,,,luealfonsoru,,,137.5,,,61.9,,,2nd Phase,,
luegilca,,,Bogota-Hack-2-2017,,,luegilca,,,112.5,,,45.24,,,2nd Phase,,
mdbelloc,,,Bogota-Hack-2-2017,,,mdbelloc,,,125,,,52.38,,,2nd Phase,,
oserasoa,,,Bogota-Hack-2-2017,,,oserasoa,,,95.83,,,28.57,,,2nd Phase,,
Phoenixest,,,Bogota-Hack-2-2017,,,Phoenixest,,,111.67,,,42.86,,,2nd Phase,,
sagilm,,,Bogota-Hack-2-2017,,,sagilm,,,70.83,,,14.29,,,2nd Phase,,
xdanielsb,,,Bogota-Hack-2-2017,,,xdanielsb,,,87.5,,,21.43,,,2nd Phase,,
Yelis3,,,Bogota-Hack-2-2017,,,Yelis3,,,211.67,,,73.81,,,2nd Phase,,
ykchautai,,,Bogota-Hack-2-2017,,,ykchautai,,,120,,,47.62,,,2nd Phase,,
