Student,,,Total Score,,
jmalvarezd,,,329.17,,
wapiravaguens,,,239.17,,
jscastelblancoh,,,201.67,,
lacardenasv,,,186.67,,
jumcorredorro,,,185.83,,
ronaldsg20,,,182.5,,
macuestap,,,168.75,,
juligarji,,,161.67,,
davidh17,,,155.83,,
lizzyt10h,,,154.17,,
lgmoralesa,,,136.67,,
spenas,,,128.33,,
afceballosr,,,120,,
NicolasPrr,,,112.5,,
DavidQP,,,111.67,,
capinzor,,,107.5,,
kgbayala528,,,107.5,,
sarizag,,,107.5,,
nfmorenog,,,104.17,,
adriel62,,,103.33,,
DianaNavarrete,,,100,,
jorge52an,,,99.17,,
smarquezo,,,99.17,,
ncampuzano,,,91.67,,
oacastillol,,,91.67,,
wilson911013,,,78.33,,
cccristanchoc,,,74.17,,
juclopezso,,,70,,
afforeroc,,,65.83,,
lemartinp,,,58.33,,
dagofonseca,,,57.5,,
Danielsv9207,,,50,,
Chranium,,,45,,
dduartec,,,41.67,,
AFelipeGA,,,37.5,,
srmedinac,,,25,,
feartheGru,,,12.5,,
ofnanezn,,,12.5,,
mballeng91,,,0,,
jdmonroyg,,,0,,
JhonEmmanuelTorres,,,0,,
