,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1
0, 2 files changed, 104 insertions(+), 121 deletions(-),adamantwharf,2,104,121,0,0,1
5, 2 files changed, 4 insertions(+), 49 deletions(-),aldiazve,2,4,49,0,0,1
6, 3 files changed, 40 insertions(+), 47 deletions(-),andfsanchezlem,3,40,47,0,0,1
7, 12 files changed, 55 insertions(+), 162 deletions(-),anfmorenoso,12,55,162,0,0,1
10, 3 files changed, 25 insertions(+), 50 deletions(-),bdcajicam,3,25,50,0,0,1
25, 0 files changed,,,Christian7sr,0,0,0,0,0,1
27, 0 files changed,,,crigar,0,0,0,0,0,1
30, 12 files changed, 36 insertions(+), 132 deletions(-),daandradec,12,36,132,0,0,1
34, 5 files changed, 393 insertions(+), 700 deletions(-),dasalgadob,5,393,700,0,0,1
41, 10 files changed, 25 insertions(+), 87 deletions(-),dfhincapiem,10,25,87,0,0,1
44, 2 files changed, 45 insertions(+), 93 deletions(-),diegoaguevarar,2,45,93,0,0,1
46, 0 files changed,,,djguzmanc,0,0,0,0,0,1
48, 5 files changed, 84 insertions(+), 105 deletions(-),dsbarrerag,5,84,105,0,0,1
50, 0 files changed,,,falperezgo,0,0,0,0,0,1
52, 17 files changed, 86 insertions(+), 245 deletions(-),fevargasmo,17,86,245,0,0,1
57, 5 files changed, 6 insertions(+), 23 deletions(-),gasierram,5,6,23,0,0,1
58, 7 files changed, 36 insertions(+), 30 deletions(-),gcantem,7,36,30,0,0,1
59, 0 files changed,,,gfalbarracinr,0,0,0,0,0,1
60, 2 files changed, 18 insertions(+), 23 deletions(-),gsuarezc04,2,18,23,0,0,1
62, 6 files changed, 54 insertions(+), 127 deletions(-),helmeraac,6,54,127,0,0,1
65, 1 file changed, 1 insertion(+), 3 deletions(-),ItsNavi,1,1,3,0,0,1
66, 7 files changed, 39 insertions(+), 219 deletions(-),ivdgonzalezco,7,39,219,0,0,1
67, 0 files changed,,,JairVillalba,0,0,0,0,0,1
70, 4 files changed,,,jcrubioa,4,0,0,0,0,1
74, 0 files changed,,,jesusfchavarro,0,0,0,0,0,1
79, 2017-Purdue-UNAL-IronHack-jjmuesesq |only,,,jiapulidoar,2017,0,0,0,0,1
84, 0 files changed,,,jmhurtadoc,0,0,0,0,0,1
85, 1 file changed,,,joahernandezca,1,0,0,0,0,1
87, 2 files changed, 89 insertions(+), 182 deletions(-),jonatan360,2,89,182,0,0,1
92, 2 files changed, 8 insertions(+), 61 deletions(-),jsnarvaezb,2,8,61,0,0,1
93, 2 files changed, 15 insertions(+), 120 deletions(-),jsviveroj,2,15,120,0,0,1
101, 3 files changed, 53 insertions(+), 117 deletions(-),jufcontrerasco,3,53,117,0,0,1
123, 0 files changed,,,maikellPardo,0,0,0,0,0,1
127, 3 files changed, 26 insertions(+), 32 deletions(-),miaborjaac,3,26,32,0,0,1
131, 7 files changed,,,nabautistal,7,0,0,0,0,1
138, 3 files changed, 96 insertions(+), 258 deletions(-),oeroaq,3,96,258,0,0,1
149, 5 files changed, 12 insertions(+), 57 deletions(-),Semoralesga,5,12,57,0,0,1
153, 4 files changed, 113 insertions(+), 73 deletions(-),stevenbustos,4,113,73,0,0,1
159, 7 files changed, 95 insertions(+), 459 deletions(-),wolfstain,7,95,459,0,0,1
164, 0 files changed,,,Zeugmax,0,0,0,0,0,1
