Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
fabianr23,,,Bogota-Hack-2-2017,,,fabianr23,,,358.33,,,97.62,,,4th Phase,,
jhriverasa,,,Bogota-Hack-2-2017,,,jhriverasa,,,333.33,,,95.24,,,4th Phase,,
JuanitoAli,,,Bogota-Hack-2-2017,,,JuanitoAli,,,325,,,92.86,,,4th Phase,,
juasmartinezbel,,,Bogota-Hack-2-2017,,,juasmartinezbel,,,320.83,,,90.48,,,4th Phase,,
Davsatu313,,,Bogota-Hack-2-2017,,,Davsatu313,,,300.83,,,88.1,,,4th Phase,,
leguzman,,,Bogota-Hack-2-2017,,,leguzman,,,290,,,85.71,,,4th Phase,,
cesarochoa2006,,,Bogota-Hack-2-2017,,,cesarochoa2006,,,283.96,,,83.33,,,4th Phase,,
jscontrerasp,,,Bogota-Hack-2-2017,,,joaortizro,,,280,,,80.95,,,4th Phase,,
Gantiva,,,Bogota-Hack-2-2017,,,Gantiva,,,237.5,,,78.57,,,4th Phase,,
Yelis3,,,Bogota-Hack-2-2017,,,Yelis3,,,234.17,,,76.19,,,4th Phase,,
begarzonf,,,Bogota-Hack-2-2017,,,begarzonf,,,215,,,73.81,,,4th Phase,,
Dandarprox,,,Bogota-Hack-2-2017,,,Dandarprox,,,213.33,,,71.43,,,4th Phase,,
kancas,,,Bogota-Hack-2-2017,,,kancas,,,206.67,,,66.67,,,4th Phase,,
kmendezp96,,,Bogota-Hack-2-2017,,,kmendezp96,,,206.67,,,66.67,,,4th Phase,,
jucjimenezmo,,,Bogota-Hack-2-2017,,,jucjimenezmo,,,203.33,,,64.29,,,4th Phase,,
ykchautai,,,Bogota-Hack-2-2017,,,ykchautai,,,199.17,,,61.9,,,4th Phase,,
jhonsd1996,,,Bogota-Hack-2-2017,,,jhonsd1996,,,157.5,,,59.52,,,4th Phase,,
idrojasf,,,Bogota-Hack-2-2017,,,idrojasf,,,153.33,,,57.14,,,4th Phase,,
sagilm,,,Bogota-Hack-2-2017,,,sagilm,,,150,,,54.76,,,4th Phase,,
raulramirezp,,,Bogota-Hack-2-2017,,,raulramirezp,,,148.33,,,52.38,,,4th Phase,,
luealfonsoru,,,Bogota-Hack-2-2017,,,luealfonsoru,,,137.5,,,50,,,4th Phase,,
HashNick,,,Bogota-Hack-2-2017,,,HashNick,,,131.67,,,47.62,,,4th Phase,,
mdbelloc,,,Bogota-Hack-2-2017,,,mdbelloc,,,129.17,,,45.24,,,4th Phase,,
JulianaNino,,,Bogota-Hack-2-2017,,,JulianaNino,,,124.17,,,42.86,,,4th Phase,,
luegilca,,,Bogota-Hack-2-2017,,,luegilca,,,116.67,,,40.48,,,4th Phase,,
oserasoa,,,Bogota-Hack-2-2017,,,oserasoa,,,115.83,,,38.1,,,4th Phase,,
ligibrial,,,Bogota-Hack-2-2017,,,ligibrial,,,108.33,,,35.71,,,4th Phase,,
jusherrerama,,,Bogota-Hack-2-2017,,,jusherrerama,,,107.5,,,28.57,,,4th Phase,,
jjmuesesq,,,Bogota-Hack-2-2017,,,jjmuesesq,,,107.5,,,28.57,,,4th Phase,,
davidrh195,,,Bogota-Hack-2-2017,,,davidrh195,,,107.5,,,28.57,,,4th Phase,,
diegocruz10,,,Bogota-Hack-2-2017,,,diegocruz10,,,106.67,,,26.19,,,4th Phase,,
debeltranc,,,Bogota-Hack-2-2017,,,debeltranc,,,100,,,23.81,,,4th Phase,,
bdvegat,,,Bogota-Hack-2-2017,,,bdvegat,,,95,,,19.05,,,4th Phase,,
Phoenixest,,,Bogota-Hack-2-2017,,,Phoenixest,,,95,,,19.05,,,4th Phase,,
xdanielsb,,,Bogota-Hack-2-2017,,,xdanielsb,,,75,,,16.67,,,4th Phase,,
crarojasca,,,Bogota-Hack-2-2017,,,crarojasca,,,45,,,14.29,,,4th Phase,,
ccvacad,,,Bogota-Hack-2-2017,,,ccvacad,,,0,,,0,,,4th Phase,,
CSebasGomez,,,Bogota-Hack-2-2017,,,CSebasGomez,,,0,,,0,,,4th Phase,,
tres-iqus,,,Bogota-Hack-2-2017,,,tres-iqus,,,0,,,0,,,4th Phase,,
jhcardenasa,,,Bogota-Hack-2-2017,,,jhcardenasa,,,0,,,0,,,4th Phase,,
lsfinite,,,Bogota-Hack-2-2017,,,lsfinite,,,0,,,0,,,4th Phase,,
