Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
adriel62,,,Bogota-Hack-3-2017,,,adriel62,,,103.33,,,50,,,1st Phase,,
afceballosr,,,Bogota-Hack-3-2017,,,afceballosr,,,120,,,66.67,,,1st Phase,,
AFelipeGA,,,Bogota-Hack-3-2017,,,AFelipeGA,,,37.5,,,14.29,,,1st Phase,,
afforeroc,,,Bogota-Hack-3-2017,,,afforeroc,,,65.83,,,28.57,,,1st Phase,,
capinzor,,,Bogota-Hack-3-2017,,,capinzor,,,107.5,,,54.76,,,1st Phase,,
cccristanchoc,,,Bogota-Hack-3-2017,,,cccristanchoc,,,74.17,,,33.33,,,1st Phase,,
Chranium,,,Bogota-Hack-3-2017,,,Chranium,,,45,,,19.05,,,1st Phase,,
dagofonseca,,,Bogota-Hack-3-2017,,,dagofonseca,,,57.5,,,23.81,,,1st Phase,,
davidh17,,,Bogota-Hack-3-2017,,,davidh17,,,155.83,,,76.19,,,1st Phase,,
DavidQP,,,Bogota-Hack-3-2017,,,DavidQP,,,111.67,,,61.9,,,1st Phase,,
dduartec,,,Bogota-Hack-3-2017,,,dduartec,,,41.67,,,16.67,,,1st Phase,,
DianaNavarrete,,,Bogota-Hack-3-2017,,,DianaNavarrete,,,100,,,47.62,,,1st Phase,,
jmalvarezd,,,Bogota-Hack-3-2017,,,jmalvarezd,,,329.17,,,97.62,,,1st Phase,,
jorge52an,,,Bogota-Hack-3-2017,,,jorge52an,,,99.17,,,42.86,,,1st Phase,,
jscastelblancoh,,,Bogota-Hack-3-2017,,,jscastelblancoh,,,201.67,,,92.86,,,1st Phase,,
juclopezso,,,Bogota-Hack-3-2017,,,juclopezso,,,70,,,30.95,,,1st Phase,,
juligarji,,,Bogota-Hack-3-2017,,,juligarji,,,161.67,,,78.57,,,1st Phase,,
jumcorredorro,,,Bogota-Hack-3-2017,,,jumcorredorro,,,185.83,,,85.71,,,1st Phase,,
kgbayala528,,,Bogota-Hack-3-2017,,,kgbayala528,,,107.5,,,54.76,,,1st Phase,,
lacardenasv,,,Bogota-Hack-3-2017,,,lacardenasv,,,186.67,,,88.1,,,1st Phase,,
lemartinp,,,Bogota-Hack-3-2017,,,lemartinp,,,58.33,,,26.19,,,1st Phase,,
lgmoralesa,,,Bogota-Hack-3-2017,,,lgmoralesa,,,136.67,,,71.43,,,1st Phase,,
lizzyt10h,,,Bogota-Hack-3-2017,,,lizzyt10h,,,154.17,,,73.81,,,1st Phase,,
macuestap,,,Bogota-Hack-3-2017,,,macuestap,,,168.75,,,80.95,,,1st Phase,,
ncampuzano,,,Bogota-Hack-3-2017,,,ncampuzano,,,91.67,,,38.1,,,1st Phase,,
nfmorenog,,,Bogota-Hack-3-2017,,,nfmorenog,,,104.17,,,52.38,,,1st Phase,,
NicolasPrr,,,Bogota-Hack-3-2017,,,NicolasPrr,,,112.5,,,64.29,,,1st Phase,,
oacastillol,,,Bogota-Hack-3-2017,,,oacastillol,,,91.67,,,38.1,,,1st Phase,,
ofnanezn,,,Bogota-Hack-3-2017,,,ofnanezn,,,12.5,,,7.14,,,1st Phase,,
ronaldsg20,,,Bogota-Hack-3-2017,,,ronaldsg20,,,182.5,,,83.33,,,1st Phase,,
sarizag,,,Bogota-Hack-3-2017,,,sarizag,,,107.5,,,54.76,,,1st Phase,,
smarquezo,,,Bogota-Hack-3-2017,,,smarquezo,,,99.17,,,42.86,,,1st Phase,,
spenas,,,Bogota-Hack-3-2017,,,spenas,,,128.33,,,69.05,,,1st Phase,,
srmedinac,,,Bogota-Hack-3-2017,,,srmedinac,,,25,,,11.9,,,1st Phase,,
wapiravaguens,,,Bogota-Hack-3-2017,,,wapiravaguens,,,239.17,,,95.24,,,1st Phase,,
wilson911013,,,Bogota-Hack-3-2017,,,wilson911013,,,78.33,,,35.71,,,1st Phase,,
