Student,,,Total Score,,
dduartec,,,333.33,,
jumcorredorro,,,309.17,,
lgmoralesa,,,268.33,,
jscastelblancoh,,,264.17,,
lacardenasv,,,264.17,,
davidh17,,,245.83,,
juligarji,,,242.08,,
adriel62,,,203.33,,
jmalvarezd,,,198.33,,
wapiravaguens,,,192.5,,
dagofonseca,,,190,,
jorge52an,,,187.5,,
ronaldsg20,,,161.67,,
AFelipeGA,,,152.5,,
macuestap,,,145,,
sarizag,,,140.83,,
nfmorenog,,,133.33,,
ofnanezn,,,132.5,,
lemartinp,,,131.67,,
DianaNavarrete,,,128.33,,
ncampuzano,,,124.17,,
kgbayala528,,,123.33,,
capinzor,,,120,,
DavidQP,,,120,,
oacastillol,,,116.67,,
srmedinac,,,115.83,,
spenas,,,115.83,,
juclopezso,,,111.67,,
smarquezo,,,111.67,,
Chranium,,,107.5,,
afforeroc,,,103.33,,
cccristanchoc,,,103.33,,
afceballosr,,,103.33,,
mballeng91,,,100,,
NicolasPrr,,,100,,
wilson911013,,,90.83,,
lizzyt10h,,,75,,
jdmonroyg,,,12.5,,
feartheGru,,,12.5,,
Danielsv9207,,,12.5,,
JhonEmmanuelTorres,,,12.5,,
