Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
dsbarrerag,,,Bogota-Hack-1-2017,,,dsbarrerag,,,333.33,,,97.67,,,2nd Phase,,
falperezgo,,,Bogota-Hack-1-2017,,,falperezgo,,,330,,,95.35,,,2nd Phase,,
daandradec,,,Bogota-Hack-1-2017,,,daandradec,,,313.33,,,93.02,,,2nd Phase,,
jesusfchavarro,,,Bogota-Hack-1-2017,,,jesusfchavarro,,,289.17,,,90.7,,,2nd Phase,,
oeroaq,,,Bogota-Hack-1-2017,,,oeroaq,,,288.33,,,88.37,,,2nd Phase,,
djguzmanc,,,Bogota-Hack-1-2017,,,djguzmanc,,,266.25,,,86.05,,,2nd Phase,,
jiapulidoar,,,Bogota-Hack-1-2017,,,jiapulidoar,,,256.67,,,83.72,,,2nd Phase,,
gcantem,,,Bogota-Hack-1-2017,,,gcantem,,,251.67,,,81.4,,,2nd Phase,,
jonatan360,,,Bogota-Hack-1-2017,,,jonatan360,,,227.5,,,79.07,,,2nd Phase,,
diegoaguevarar,,,Bogota-Hack-1-2017,,,diegoaguevarar,,,219.17,,,76.74,,,2nd Phase,,
aldiazve,,,Bogota-Hack-1-2017,,,aldiazve,,,210.83,,,74.42,,,2nd Phase,,
jsnarvaezb,,,Bogota-Hack-1-2017,,,jsnarvaezb,,,207.5,,,72.09,,,2nd Phase,,
Semoralesga,,,Bogota-Hack-1-2017,,,Semoralesga,,,190.83,,,67.44,,,2nd Phase,,
wolfstain,,,Bogota-Hack-1-2017,,,wolfstain,,,190.83,,,67.44,,,2nd Phase,,
jcrubioa,,,Bogota-Hack-1-2017,,,jcrubioa,,,187.5,,,65.12,,,2nd Phase,,
jsviveroj,,,Bogota-Hack-1-2017,,,jsviveroj,,,153.33,,,62.79,,,2nd Phase,,
helmeraac,,,Bogota-Hack-1-2017,,,helmeraac,,,150,,,60.47,,,2nd Phase,,
gasierram,,,Bogota-Hack-1-2017,,,gasierram,,,140.83,,,58.14,,,2nd Phase,,
gsuarezc04,,,Bogota-Hack-1-2017,,,gsuarezc04,,,133.33,,,55.81,,,2nd Phase,,
fevargasmo,,,Bogota-Hack-1-2017,,,fevargasmo,,,129.17,,,53.49,,,2nd Phase,,
dfhincapiem,,,Bogota-Hack-1-2017,,,dfhincapiem,,,128.33,,,48.84,,,2nd Phase,,
ivdgonzalezco,,,Bogota-Hack-1-2017,,,ivdgonzalezco,,,128.33,,,48.84,,,2nd Phase,,
miaborjaac,,,Bogota-Hack-1-2017,,,miaborjaac,,,115.83,,,44.19,,,2nd Phase,,
anfmorenoso,,,Bogota-Hack-1-2017,,,anfmorenoso,,,115.83,,,44.19,,,2nd Phase,,
Christian7sr,,,Bogota-Hack-1-2017,,,Christian7sr,,,111.67,,,41.86,,,2nd Phase,,
jufcontrerasco,,,Bogota-Hack-1-2017,,,jufcontrerasco,,,108.33,,,39.53,,,2nd Phase,,
stevenbustos,,,Bogota-Hack-1-2017,,,stevenbustos,,,103.33,,,37.21,,,2nd Phase,,
nabautistal,,,Bogota-Hack-1-2017,,,nabautistal,,,99.17,,,34.88,,,2nd Phase,,
adamantwharf,,,Bogota-Hack-1-2017,,,adamantwharf,,,95,,,27.91,,,2nd Phase,,
bdcajicam,,,Bogota-Hack-1-2017,,,bdcajicam,,,95,,,27.91,,,2nd Phase,,
crigar,,,Bogota-Hack-1-2017,,,crigar,,,95,,,27.91,,,2nd Phase,,
jmhurtadoc,,,Bogota-Hack-1-2017,,,jmhurtadoc,,,87.5,,,25.58,,,2nd Phase,,
dasalgadob,,,Bogota-Hack-1-2017,,,dasalgadob,,,75,,,20.93,,,2nd Phase,,
joahernandezca,,,Bogota-Hack-1-2017,,,joahernandezca,,,75,,,20.93,,,2nd Phase,,
JairVillalba,,,Bogota-Hack-1-2017,,,JairVillalba,,,62.5,,,13.95,,,2nd Phase,,
maikellPardo,,,Bogota-Hack-1-2017,,,maikellPardo,,,62.5,,,13.95,,,2nd Phase,,
gfalbarracinr,,,Bogota-Hack-1-2017,,,gfalbarracinr,,,62.5,,,13.95,,,2nd Phase,,
andfsanchezlem,,,Bogota-Hack-1-2017,,,andfsanchezlem,,,57.5,,,11.63,,,2nd Phase,,
ItsNavi,,,Bogota-Hack-1-2017,,,ItsNavi,,,12.5,,,6.98,,,2nd Phase,,
Zeugmax,,,Bogota-Hack-1-2017,,,Zeugmax,,,12.5,,,6.98,,,2nd Phase,,
kastellanos,,,Bogota-Hack-1-2017,,,kastellanos,,,0,,,0,,,2nd Phase,,
