username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase5,Wed Nov 22 08:30:39 2017,1,3,"Required Weather API, New York City Farmers Markets, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"materialize,animate,d3,jquery,",0.027722772,97.22772277,10,100,77.78%,"1,1,1,1,1,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",8,44.44444444,92.59%,"2.0,2.0,2.0,1.0,0.0,1.0,",13,56.52173913,92.59%,15,3.333333333,88.89%,"3.0,1.0,1.0,;2.0,1.0,1.0,;3.0,1.0,2.0,;",38,313.6045344,92.59%,10,2.222222222,85.19%,10,2.222222222,92.59%,0,0,0.00%,0,0,0.00%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, Neighborhood Tabulation Areas, Required Weather API, New York City Museums, Housing New York Units by Building, ",1,1,1,0,1,1,1,1,"bootstrap,three,react,d3,jquery,",0.02962963,97.03703704,9,90,51.85%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,7,1.555555556,74.07%,"2.0,0.0,0.0,;0.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",19,214.6795491,48.15%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%
matson3,honors0,IH-Project-2017-matson3_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,vue,",0.002256609,99.77433914,10,100,96.30%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.39130435,44.44%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",17,235.2236145,70.37%,3,0.666666667,29.63%,5,1.111111111,74.07%,5,1.111111111,77.78%,0,0,0.00%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,",0.100775194,89.92248062,9,90,40.74%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",15,206.6761038,37.04%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"d3,jquery,",0.004118993,99.58810069,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043,59.26%,6,1.333333333,66.67%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",21,244.3996949,81.48%,6,1.333333333,62.96%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%
shivans,honors0,IH-Project-2017-shivans_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,12,2.666666667,88.89%,6,1.333333333,77.78%,0,0,0.00%,0,0,0.00%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"polyfill,bootstrap,jquery,font-awesome,d3,foundation,ember,animate,",0.005158438,99.48415623,9,90,70.37%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,62.96%,"2.0,0.0,1.0,1.0,0.0,0.0,",5,21.73913043,59.26%,1,0.222222222,25.93%,"1.0,0.0,0.0,;",15,233.1846393,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
hihms,honors0,IH-Project-2017-hihms_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.012729844,98.72701556,5,50,18.52%,"0,0,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,85.19%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652,77.78%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",14,201.5675953,29.63%,6,1.333333333,62.96%,3,0.666666667,44.44%,6,1.333333333,81.48%,7,1.555555556,96.30%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Open.ny.gov API Catalog, Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,react,d3,jquery,",0.018181818,98.18181818,9,90,55.56%,"1,1,1,1,0,1,1,1,1,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,6,1.333333333,66.67%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",15,189.5151515,18.52%,3,0.666666667,29.63%,0,0,0.00%,0,0,0.00%,0,0,0.00%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,",0.016791045,98.32089552,8,80,33.33%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,3,0.666666667,29.63%,"3.0,0.0,0.0,;",14,205.0745187,33.33%,3,0.666666667,29.63%,3,0.666666667,44.44%,3,0.666666667,66.67%,0,0,0.00%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
ko68,honors0,IH-Project-2017-ko68_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Leading Causes of Death, Zillow Home Value Searching API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.005102041,99.48979592,10,100,85.19%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.39130435,44.44%,11,2.444444444,85.19%,"3.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;",25,236.7168491,74.07%,7,1.555555556,74.07%,7,1.555555556,81.48%,6,1.333333333,81.48%,3,0.666666667,88.89%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase5,Wed Nov 22 08:30:39 2017,1,8,"Air Quality, New York Safety, New York State Career Centers, New York neighborhood, New York City Museums, School Safety Report, New York City Farmers Markets, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.02310231,97.68976898,10,100,81.48%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,16,3.555555556,92.59%,"2.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;",29,227.3322811,55.56%,16,3.555555556,92.59%,0,0,0.00%,0,0,0.00%,0,0,0.00%
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"d3,bootstrap,jquery,",0.016111708,98.38882922,9,90,59.26%,"1,1,1,1,0,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",4,22.22222222,62.96%,"1.0,1.0,1.0,1.0,0.0,0.0,",9,39.13043478,85.19%,5,1.111111111,62.96%,"3.0,1.0,1.0,;",23,267.7608099,85.19%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase5,Wed Nov 22 08:30:39 2017,1,6,"New York City Art Galleries, Fire Department Directory for New York State, New York City Museums, Bank-Owned ATM Locations in New York State, Required Weather API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.006122449,99.3877551,10,100,96.30%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,24,5.333333333,96.30%,"1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;2.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",39,248.1993493,85.19%,11,2.444444444,92.59%,3,0.666666667,85.19%,3,0.666666667,81.48%,3,0.666666667,96.30%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase5,Wed Nov 22 08:30:39 2017,0,3,"NYCHA Development Data Book, NYC City Hall Library Catalog, New York City Museums, ",1,0,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.014925373,98.50746269,5,50,59.26%,"0,1,0,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,66.67%,"0.0,0.0,2.0,0.0,1.0,0.0,",4,17.39130435,66.67%,7,1.555555556,81.48%,"3.0,1.0,1.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",16,184.8456269,55.56%,6,1.333333333,81.48%,1,0.222222222,74.07%,0,0,0.00%,0,0,0.00%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,0,0,0,0,0,0,,0,100,1,10,0.00%,"0,0,0,0,0,0,0,0,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,1,110,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase5,Wed Nov 22 08:30:39 2017,0,2,"New York City Museums, Zillow Home Value Searching API, ",0,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,",0.037099494,96.29005059,5,50,44.44%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,10,2.222222222,85.19%,"1.0,1.0,2.0,;3.0,1.0,2.0,;",20,191.9905337,66.67%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.008241758,99.17582418,8,80,85.19%,"1,1,1,1,1,0,0,1,1,",2,40,92.59%,"1.0,0.0,1.0,0.0,0.0,",6,33.33333333,88.89%,"2.0,1.0,1.0,1.0,1.0,0.0,",8,34.7826087,92.59%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",19,249.4077082,88.89%,0,0,0.00%,1,0.222222222,74.07%,0,0,0.00%,0,0,0.00%
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,21,4.666666667,96.30%,0,0,0.00%,0,0,0.00%
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.008042464,99.19575358,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",5,100,96.30%,"1.0,1.0,1.0,1.0,1.0,",8,44.44444444,96.30%,"1.0,0.0,1.0,2.0,2.0,2.0,",13,56.52173913,96.30%,5,1.111111111,77.78%,"3.0,1.0,1.0,;",28,313.350343,96.30%,3,0.666666667,74.07%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,1,1,0,1,1,1,0,,0.043859649,95.61403509,6,60,66.67%,"0,0,1,1,0,1,1,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,9,181.7009916,51.85%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,",0.013636364,98.63636364,5,50,62.96%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,3,0.666666667,66.67%,"1.0,1.0,1.0,;",13,192.7812912,74.07%,3,0.666666667,74.07%,0,0,0.00%,0,0,0.00%,0,0,0.00%
olimita,unal0,IH-Project-2017-olimita_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Museums, New York Safety, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.016981132,98.30188679,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,88.89%,"2.0,0.0,2.0,1.0,1.0,0.0,",7,30.43478261,88.89%,14,3.111111111,88.89%,"3.0,0.0,0.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",31,262.2825631,92.59%,10,2.222222222,88.89%,8,1.777777778,88.89%,3,0.666666667,81.48%,0,0,0.00%
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,d3,jquery,",0.018957346,98.1042654,7,70,81.48%,"0,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,10,194.1912219,77.78%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase5,Wed Nov 22 08:30:39 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, New York City Museums, ",0,1,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.016423358,98.35766423,5,50,51.85%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,15,3.333333333,92.59%,"1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",25,195.1692584,81.48%,15,3.333333333,96.30%,12,2.666666667,92.59%,0,0,0.00%,0,0,0.00%
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,6,1.333333333,81.48%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,0,,0.011494253,98.85057471,6,60,74.07%,"1,1,1,1,0,0,0,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",12,185.6041979,59.26%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,",0.030716724,96.92832765,5,50,48.15%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555556,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652174,44.44%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",8,164.5418542,44.44%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"font-awesome,bootstrap,jquery,",0.015564202,98.44357977,5,50,55.56%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043,70.37%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",11,192.1440629,70.37%,1,0.222222222,70.37%,1,0.222222222,74.07%,1,0.222222222,77.78%,0,0,0.00%
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.043478261,95.65217391,7,70,77.78%,"0,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,51.85%,0,0,0.00%,,10,191.7391304,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",1,1,1,0,0,0,1,1,"d3,bootstrap,",0.019607843,98.03921569,6,60,70.37%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555556,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652174,44.44%,1,0.222222222,55.56%,"1.0,0.0,0.0,;",9,175.6527423,48.15%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,8,1.777777778,74.07%,8,1.777777778,77.78%,0,0,0.00%,0,0,0.00%
JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.038997215,96.10027855,8,80,85.19%,"1,1,1,1,1,0,0,1,1,",1,20,59.26%,"1.0,0.0,0.0,0.0,0.0,",7,38.88888889,96.30%,"3.0,0.0,3.0,1.0,0.0,0.0,",8,34.7826087,92.59%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",19,246.3321626,88.89%,3,0.666666667,66.67%,3,0.666666667,62.96%,0,0,0.00%,0,0,0.00%
