username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,",0.01048218,98.95178197,6,60,51.85%,"0,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,70.37%,0,0,0.00%,,12,211.125695,62.96%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, New York City Population By Boroughs, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.001017294,99.8982706,8,80,74.07%,"1,0,1,1,0,1,1,1,1,",8,160,96.30%,"1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,",24,133.3333333,96.30%,"3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,",32,139.1304348,96.30%,24,5.333333333,85.19%,"1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",64,463.4924735,96.30%,33,7.333333333,96.30%,0,0,0.00%,0,0,0.00%,0,0,0.00%
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase5,Wed Nov 22 08:30:40 2017,1,2,"Required Weather API, new york address points, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,",0.035123967,96.48760331,8,80,66.67%,"1,1,1,1,1,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,77.78%,"3.0,0.0,3.0,0.0,0.0,0.0,",7,30.43478261,77.78%,6,1.333333333,70.37%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",21,238.6905019,77.78%,0,0,0.00%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,4,0.888888889,77.78%,0,0,0.00%,0,0,0.00%
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, new york address points, Zillow Home Value Searching API, Fire Department Directory for New York State, New York State Career Centers, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,font-awesome,jquery,",0.009375,99.0625,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777778,70.37%,"1.0,0.0,2.0,1.0,1.0,0.0,",6,26.08695652,70.37%,34,7.555555556,96.30%,"1.0,1.0,2.0,;3.0,0.0,0.0,;3.0,2.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;3.0,2.0,1.0,;",50,258.7919686,81.48%,30,6.666666667,92.59%,24,5.333333333,96.30%,10,2.222222222,92.59%,4,0.888888889,96.30%
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,0.00%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,0.00%,0,0,0.00%,0,0,0.00%,4,0.888888889,85.19%,0,0,0.00%
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,0,,0.036697248,96.33027523,5,50,44.44%,"0,1,1,1,0,0,0,1,0,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,59.26%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,59.26%,0,0,0.00%,,8,172.4172318,48.15%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.003649635,99.6350365,7,70,62.96%,"1,1,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",6,33.33333333,77.78%,"2.0,0.0,2.0,1.0,0.0,1.0,",7,30.43478261,77.78%,3,0.666666667,59.26%,"3.0,0.0,0.0,;",17,231.1712684,74.07%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%
