Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
adriel62,,,Bogota-Hack-3-2017,,,adriel62,,,190.83,,,69.05,,,3rd Phase,,
afceballosr,,,Bogota-Hack-3-2017,,,afceballosr,,,103.33,,,19.05,,,3rd Phase,,
AFelipeGA,,,Bogota-Hack-3-2017,,,AFelipeGA,,,152.5,,,61.9,,,3rd Phase,,
afforeroc,,,Bogota-Hack-3-2017,,,afforeroc,,,103.33,,,19.05,,,3rd Phase,,
capinzor,,,Bogota-Hack-3-2017,,,capinzor,,,207.5,,,76.19,,,3rd Phase,,
cccristanchoc,,,Bogota-Hack-3-2017,,,cccristanchoc,,,103.33,,,19.05,,,3rd Phase,,
Chranium,,,Bogota-Hack-3-2017,,,Chranium,,,95,,,14.29,,,3rd Phase,,
dagofonseca,,,Bogota-Hack-3-2017,,,dagofonseca,,,227.5,,,80.95,,,3rd Phase,,
davidh17,,,Bogota-Hack-3-2017,,,davidh17,,,220.83,,,78.57,,,3rd Phase,,
DavidQP,,,Bogota-Hack-3-2017,,,DavidQP,,,124.17,,,42.86,,,3rd Phase,,
dduartec,,,Bogota-Hack-3-2017,,,dduartec,,,305,,,92.86,,,3rd Phase,,
DianaNavarrete,,,Bogota-Hack-3-2017,,,DianaNavarrete,,,147.5,,,57.14,,,3rd Phase,,
jmalvarezd,,,Bogota-Hack-3-2017,,,jmalvarezd,,,275,,,90.48,,,3rd Phase,,
jorge52an,,,Bogota-Hack-3-2017,,,jorge52an,,,162.5,,,66.67,,,3rd Phase,,
jscastelblancoh,,,Bogota-Hack-3-2017,,,jscastelblancoh,,,230.83,,,83.33,,,3rd Phase,,
juclopezso,,,Bogota-Hack-3-2017,,,juclopezso,,,111.67,,,28.57,,,3rd Phase,,
juligarji,,,Bogota-Hack-3-2017,,,juligarji,,,203.33,,,73.81,,,3rd Phase,,
jumcorredorro,,,Bogota-Hack-3-2017,,,jumcorredorro,,,330,,,97.62,,,3rd Phase,,
kgbayala528,,,Bogota-Hack-3-2017,,,kgbayala528,,,251.67,,,85.71,,,3rd Phase,,
lacardenasv,,,Bogota-Hack-3-2017,,,lacardenasv,,,264.17,,,88.1,,,3rd Phase,,
lemartinp,,,Bogota-Hack-3-2017,,,lemartinp,,,136.67,,,50,,,3rd Phase,,
lgmoralesa,,,Bogota-Hack-3-2017,,,lgmoralesa,,,310,,,95.24,,,3rd Phase,,
lizzyt10h,,,Bogota-Hack-3-2017,,,lizzyt10h,,,145.83,,,54.76,,,3rd Phase,,
macuestap,,,Bogota-Hack-3-2017,,,macuestap,,,145,,,52.38,,,3rd Phase,,
ncampuzano,,,Bogota-Hack-3-2017,,,ncampuzano,,,116.67,,,38.1,,,3rd Phase,,
nfmorenog,,,Bogota-Hack-3-2017,,,nfmorenog,,,133.33,,,47.62,,,3rd Phase,,
NicolasPrr,,,Bogota-Hack-3-2017,,,NicolasPrr,,,108.33,,,26.19,,,3rd Phase,,
oacastillol,,,Bogota-Hack-3-2017,,,oacastillol,,,120.83,,,40.48,,,3rd Phase,,
ofnanezn,,,Bogota-Hack-3-2017,,,ofnanezn,,,148.33,,,59.52,,,3rd Phase,,
ronaldsg20,,,Bogota-Hack-3-2017,,,ronaldsg20,,,157.5,,,64.29,,,3rd Phase,,
sarizag,,,Bogota-Hack-3-2017,,,sarizag,,,128.33,,,45.24,,,3rd Phase,,
smarquezo,,,Bogota-Hack-3-2017,,,smarquezo,,,111.67,,,28.57,,,3rd Phase,,
spenas,,,Bogota-Hack-3-2017,,,spenas,,,115.83,,,33.33,,,3rd Phase,,
srmedinac,,,Bogota-Hack-3-2017,,,srmedinac,,,115.83,,,33.33,,,3rd Phase,,
wapiravaguens,,,Bogota-Hack-3-2017,,,wapiravaguens,,,192.5,,,71.43,,,3rd Phase,,
wilson911013,,,Bogota-Hack-3-2017,,,wilson911013,,,90.83,,,11.9,,,3rd Phase,,
