Student,,,Total Score,,
jesusfchavarro,,,345.83,,
falperezgo,,,338.33,,
jonatan360,,,332.92,,
dsbarrerag,,,325,,
diegoaguevarar,,,325,,
oeroaq,,,320.83,,
fevargasmo,,,313.33,,
djguzmanc,,,305,,
miaborjaac,,,300.83,,
jsviveroj,,,293.33,,
jiapulidoar,,,281.67,,
daandradec,,,240.83,,
aldiazve,,,229.58,,
jsnarvaezb,,,228.33,,
gcantem,,,226.67,,
jcrubioa,,,205.42,,
wolfstain,,,195,,
Semoralesga,,,178.33,,
bdcajicam,,,157.5,,
gasierram,,,132.5,,
jufcontrerasco,,,128.33,,
ivdgonzalezco,,,124.17,,
Christian7sr,,,124.17,,
jmhurtadoc,,,120.83,,
anfmorenoso,,,115.83,,
joahernandezca,,,108.33,,
dfhincapiem,,,107.5,,
stevenbustos,,,103.33,,
adamantwharf,,,95,,
nabautistal,,,86.67,,
crigar,,,82.5,,
gfalbarracinr,,,75,,
JairVillalba,,,62.5,,
maikellPardo,,,58.33,,
helmeraac,,,54.17,,
dasalgadob,,,50,,
gsuarezc04,,,50,,
andfsanchezlem,,,45,,
ItsNavi,,,0,,
Zeugmax,,,0,,
kastellanos,,,0,,
