Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
adriel62,,,Bogota-Hack-3-2017,,,adriel62,,,301.67,,,71.43,,,5th Phase,,
afceballosr,,,Bogota-Hack-3-2017,,,afceballosr,,,270.83,,,61.9,,,5th Phase,,
AFelipeGA,,,Bogota-Hack-3-2017,,,AFelipeGA,,,221.25,,,52.38,,,5th Phase,,
afforeroc,,,Bogota-Hack-3-2017,,,afforeroc,,,161.67,,,28.57,,,5th Phase,,
capinzor,,,Bogota-Hack-3-2017,,,capinzor,,,203.33,,,42.86,,,5th Phase,,
cccristanchoc,,,Bogota-Hack-3-2017,,,cccristanchoc,,,197.08,,,38.1,,,5th Phase,,
Chranium,,,Bogota-Hack-3-2017,,,Chranium,,,95,,,14.29,,,5th Phase,,
dagofonseca,,,Bogota-Hack-3-2017,,,dagofonseca,,,231.67,,,54.76,,,5th Phase,,
davidh17,,,Bogota-Hack-3-2017,,,davidh17,,,209.58,,,47.62,,,5th Phase,,
DavidQP,,,Bogota-Hack-3-2017,,,DavidQP,,,284.17,,,66.67,,,5th Phase,,
dduartec,,,Bogota-Hack-3-2017,,,dduartec,,,345.83,,,83.33,,,5th Phase,,
DianaNavarrete,,,Bogota-Hack-3-2017,,,DianaNavarrete,,,145,,,26.19,,,5th Phase,,
jmalvarezd,,,Bogota-Hack-3-2017,,,jmalvarezd,,,348.75,,,88.1,,,5th Phase,,
jorge52an,,,Bogota-Hack-3-2017,,,jorge52an,,,310,,,73.81,,,5th Phase,,
jscastelblancoh,,,Bogota-Hack-3-2017,,,jscastelblancoh,,,358.33,,,95.24,,,5th Phase,,
juclopezso,,,Bogota-Hack-3-2017,,,juclopezso,,,278.75,,,64.29,,,5th Phase,,
juligarji,,,Bogota-Hack-3-2017,,,juligarji,,,355,,,92.86,,,5th Phase,,
jumcorredorro,,,Bogota-Hack-3-2017,,,jumcorredorro,,,325,,,76.19,,,5th Phase,,
kgbayala528,,,Bogota-Hack-3-2017,,,kgbayala528,,,298.75,,,69.05,,,5th Phase,,
lacardenasv,,,Bogota-Hack-3-2017,,,lacardenasv,,,350,,,90.48,,,5th Phase,,
lemartinp,,,Bogota-Hack-3-2017,,,lemartinp,,,329.17,,,80.95,,,5th Phase,,
lgmoralesa,,,Bogota-Hack-3-2017,,,lgmoralesa,,,345.83,,,83.33,,,5th Phase,,
lizzyt10h,,,Bogota-Hack-3-2017,,,lizzyt10h,,,255.42,,,59.52,,,5th Phase,,
macuestap,,,Bogota-Hack-3-2017,,,macuestap,,,177.5,,,30.95,,,5th Phase,,
ncampuzano,,,Bogota-Hack-3-2017,,,ncampuzano,,,203.33,,,42.86,,,5th Phase,,
nfmorenog,,,Bogota-Hack-3-2017,,,nfmorenog,,,127.5,,,21.43,,,5th Phase,,
NicolasPrr,,,Bogota-Hack-3-2017,,,NicolasPrr,,,360.83,,,97.62,,,5th Phase,,
oacastillol,,,Bogota-Hack-3-2017,,,oacastillol,,,235,,,57.14,,,5th Phase,,
ofnanezn,,,Bogota-Hack-3-2017,,,ofnanezn,,,198.33,,,40.48,,,5th Phase,,
ronaldsg20,,,Bogota-Hack-3-2017,,,ronaldsg20,,,178.33,,,33.33,,,5th Phase,,
sarizag,,,Bogota-Hack-3-2017,,,sarizag,,,209.58,,,47.62,,,5th Phase,,
smarquezo,,,Bogota-Hack-3-2017,,,smarquezo,,,185.83,,,35.71,,,5th Phase,,
spenas,,,Bogota-Hack-3-2017,,,spenas,,,115.83,,,19.05,,,5th Phase,,
srmedinac,,,Bogota-Hack-3-2017,,,srmedinac,,,128.33,,,23.81,,,5th Phase,,
wapiravaguens,,,Bogota-Hack-3-2017,,,wapiravaguens,,,327.5,,,78.57,,,5th Phase,,
wilson911013,,,Bogota-Hack-3-2017,,,wilson911013,,,75,,,9.52,,,5th Phase,,
