change,addition,delete,username
 2 files changed, 104 insertions(+), 121 deletions(-),adamantwharf
 3 files changed, 67 insertions(+), 41 deletions(-),adriel62
 0 files changed,,,afceballosr
 0 files changed,,,AFelipeGA
 3 files changed, 14 insertions(+), 111 deletions(-),afforeroc
 2 files changed, 4 insertions(+), 49 deletions(-),aldiazve
 3 files changed, 40 insertions(+), 47 deletions(-),andfsanchezlem
 12 files changed, 55 insertions(+), 162 deletions(-),anfmorenoso
 0 files changed,,,anmmunozme
 4 files changed, 39 insertions(+), 26 deletions(-),annipi
 3 files changed, 25 insertions(+), 50 deletions(-),bdcajicam
 2 files changed, 3 insertions(+), 4 deletions(-),bdvegat
 8 files changed,,,begarzonf
 6 files changed, 47 insertions(+), 74 deletions(-),bsgarciac
 3 files changed, 28 insertions(+), 50 deletions(-),camilo654
 0 files changed,,,camilo13152
 0 files changed,,,CamiloRueda
 4 files changed, 82 insertions(+), 167 deletions(-),cap182
 4 files changed, 7 insertions(+), 59 deletions(-),capinillab
 2 files changed, 16 insertions(+), 15 deletions(-),capinzor
 5 files changed, 2 insertions(+), 38 deletions(-),cccristanchoc
 1 file changed, 1 insertion(+), 1 deletion(-),ccvacad
 2 files changed, 19 insertions(+), 54 deletions(-),cdcordobaa
 0 files changed,,,cesarochoa2006
 1 file changed, 5 insertions(+), 5 deletions(-),Chranium
 0 files changed,,,Christian7sr
 0 files changed,,,crarojasca
 0 files changed,,,crigar
 0 files changed,,,CristianLozano
 2 files changed, 61 insertions(+), 68 deletions(-),CSebasGomez
 12 files changed, 36 insertions(+), 132 deletions(-),daandradec
 1 file changed, 11 insertions(+), 16 deletions(-),dagofonseca
 0 files changed,,,Dandarprox
 0 files changed,,,Danielsv9207
 5 files changed, 393 insertions(+), 700 deletions(-),dasalgadob
 3 files changed, 55 insertions(+), 54 deletions(-),davidh17
 2 files changed, 28 insertions(+), 44 deletions(-),DavidQP
 2 files changed, 2 insertions(+), 26 deletions(-),davidrh195
 3 files changed, 7 insertions(+), 7 deletions(-),Davsatu313
 2 files changed, 21 insertions(+), 23 deletions(-),dduartec
 0 files changed,,,debeltranc
 10 files changed, 25 insertions(+), 87 deletions(-),dfhincapiem
 0 files changed,,,DglyP
 9 files changed,,,DianaNavarrete
 2 files changed, 45 insertions(+), 93 deletions(-),diegoaguevarar
 3 files changed, 106 insertions(+), 938 deletions(-),diegocruz10
 0 files changed,,,djguzmanc
 2 files changed, 54 insertions(+), 33 deletions(-),djsanabriac
 5 files changed, 84 insertions(+), 105 deletions(-),dsbarrerag
 6 files changed, 141 insertions(+), 96 deletions(-),fabianr23
 0 files changed,,,falperezgo
 2 files changed, 6 insertions(+), 234 deletions(-),feartheGru
 17 files changed, 86 insertions(+), 245 deletions(-),fevargasmo
 0 files changed,,,fffeelipe
 2 files changed,,,fmbernalb
 2 files changed, 25 insertions(+), 97 deletions(-),gabi04
 2 files changed, 5 insertions(+), 57 deletions(-),Gantiva
 5 files changed, 6 insertions(+), 23 deletions(-),gasierram
 7 files changed, 36 insertions(+), 30 deletions(-),gcantem
 0 files changed,,,gfalbarracinr
 2 files changed, 18 insertions(+), 23 deletions(-),gsuarezc04
 2 files changed, 7 insertions(+), 10 deletions(-),HashNick
 6 files changed, 54 insertions(+), 127 deletions(-),helmeraac
 1 file changed, 11 insertions(+), 9 deletions(-),hsmartineza
 0 files changed,,,idrojasf
 1 file changed, 1 insertion(+), 3 deletions(-),ItsNavi
 7 files changed, 39 insertions(+), 219 deletions(-),ivdgonzalezco
 0 files changed,,,JairVillalba
 0 files changed,,,janoguerab
 0 files changed,,,jcneivaa
 4 files changed,,,jcrubioa
 0 files changed,,,jdmonroyg
 10 files changed, 74 insertions(+), 116 deletions(-),jdsolanos
 4 files changed, 328 insertions(+), 253 deletions(-),jdsuarezj
 0 files changed,,,jesusfchavarro
 0 files changed,,,jhcardenasa
 0 files changed,,,JhonEmmanuelTorres
 8 files changed, 6 insertions(+), 32 deletions(-),jhonsd1996
 2 files changed, 24 insertions(+), 93 deletions(-),jhriverasa
 2017-Purdue-UNAL-IronHack-jjmuesesq |only,,,jiapulidoar
 10 files changed,,,jjmuesesq
 5 files changed, 59 insertions(+), 49 deletions(-),jjrodriguezn
 3 files changed, 16 insertions(+), 34 deletions(-),jmalvarezd
 1 file changed, 5 insertions(+), 34 deletions(-),jmcuestasb
 0 files changed,,,jmhurtadoc
 1 file changed,,,joahernandezca
 1 file changed, 68 insertions(+), 69 deletions(-),joaortizro
 2 files changed, 89 insertions(+), 182 deletions(-),jonatan360
 1 file changed, 18 insertions(+), 88 deletions(-),jorge52an
 5 files changed, 27 insertions(+), 4 deletions(-),JoseMolano
 2 files changed, 57 insertions(+), 238 deletions(-),jscastelblancoh
 4 files changed, 51 insertions(+), 46 deletions(-),jscontrerasp
 2 files changed, 8 insertions(+), 61 deletions(-),jsnarvaezb
 2 files changed, 15 insertions(+), 120 deletions(-),jsviveroj
 2 files changed, 314 insertions(+), 62 deletions(-),juandavidro
 3 files changed,,,juanescai
 8 files changed, 181 insertions(+), 147 deletions(-),JuanitoAli
 1 file changed, 1 insertion(+), 13 deletions(-),juasmartinezbel
 0 files changed,,,jucjimenezmo
 1 file changed, 25 insertions(+), 300 deletions(-),juclopezso
 3 files changed, 13 insertions(+), 24 deletions(-),Judgarciani
 3 files changed, 53 insertions(+), 117 deletions(-),jufcontrerasco
 3 files changed, 63 insertions(+), 122 deletions(-),JulianaNino
 4 files changed, 162 insertions(+), 290 deletions(-),juligarji
 1 file changed, 29 insertions(+), 35 deletions(-),jumcorredorro
 0 files changed,,,jusherrerama
 0 files changed,,,kancas
 6 files changed,,,katherinsb
 2 files changed, 8 insertions(+), 88 deletions(-),kgbayala528
 2 files changed, 101 insertions(+), 144 deletions(-),kmendezp96
 5 files changed, 30 insertions(+), 108 deletions(-),lacardenasv
 3 files changed, 52 insertions(+), 27 deletions(-),leavendanoro
 7 files changed, 86 insertions(+), 749 deletions(-),leguzman
 4 files changed, 26 insertions(+), 248 deletions(-),lemartinp
 6 files changed, 5 insertions(+), 7 deletions(-),lfvalderrama
 2 files changed, 88 insertions(+), 89 deletions(-),lgmoralesa
 0 files changed,,,li2266
 6 files changed, 2 insertions(+), 9 deletions(-),ligibrial
 6 files changed, 17 insertions(+), 18 deletions(-),lizzyt10h
 3 files changed, 16 insertions(+), 37 deletions(-),lsfinite
 1 file changed, 2 insertions(+), 13 deletions(-),luealfonsoru
 0 files changed,,,luegilca
 2 files changed, 9 insertions(+), 13 deletions(-),macuestap
 0 files changed,,,maikellPardo
 1 file changed,,,maikellPardoA
 4 files changed, 4 insertions(+), 3 deletions(-),mballeng91
 0 files changed,,,mdbelloc
 3 files changed, 26 insertions(+), 32 deletions(-),miaborjaac
 2 files changed, 51 insertions(+), 144 deletions(-),mnguzmanc
 0 files changed,,,MogGy94
 2 files changed, 41 insertions(+), 105 deletions(-),Moimolcp
 7 files changed,,,nabautistal
 15 files changed, 191 insertions(+), 263 deletions(-),ncampuzano
 2 files changed, 5 insertions(+), 6 deletions(-),nfmorenog
 5 files changed, 41 insertions(+), 49 deletions(-),NicolasPrr
 0 files changed,,,NicolasZon
 3 files changed, 3 insertions(+), 79 deletions(-),oacastillol
 0 files changed,,,odprietoh
 3 files changed, 96 insertions(+), 258 deletions(-),oeroaq
 2 files changed, 14 insertions(+), 6 deletions(-),ofnanezn
 2 files changed, 9 insertions(+), 27 deletions(-),oserasoa
 2 files changed, 1 insertion(+), 1 deletion(-),pcberriop
