,email_name,additions,group3_additions,commits_count
0,afguerreroa,2,2,1
1,afguerreroa,23533,23535,2
2,afguerreroa,0,23535,3
3,afguerreroa,24,23559,4
4,afguerreroa,636,24195,5
5,afguerreroa,2,24197,6
6,afguerreroa,798,24995,7
10,mamedellinr,3,3,1
11,mamedellinr,24,27,2
12,mamedellinr,0,27,3
13,mamedellinr,18,45,4
14,mamedellinr,0,45,5
15,mamedellinr,27,72,6
16,mamedellinr,1,73,7
17,mamedellinr,1,74,8
18,mamedellinr,0,74,9
19,mamedellinr,1,75,10
38,juda9323,248,248,1
39,juda9323,238,486,2
40,juda9323,118,604,3
41,juda9323,188,792,4
42,juda9323,10143,10935,5
81,dcnavarreter,65,65,1
82,dcnavarreter,65,130,2
83,dcnavarreter,26,156,3
214,niparrara,336,336,1
215,niparrara,32,368,2
216,niparrara,40908,41276,3
217,niparrara,512,41788,4
218,niparrara,654,42442,5
219,niparrara,412,42854,6
220,niparrara,29,42883,7
269,adorados,7,7,1
270,adorados,25,32,2
271,adorados,8,40,3
272,adorados,0,40,4
273,adorados,311,351,5
274,adorados,0,351,6
275,adorados,116,467,7
276,adorados,1,468,8
277,adorados,0,468,9
278,adorados,87,555,10
279,adorados,5,560,11
280,adorados,0,560,12
281,adorados,1,561,13
282,adorados,26,587,14
283,adorados,46802,47389,15
284,adorados,734,48123,16
285,adorados,119,48242,17
286,adorados,88,48330,18
287,adorados,4,48334,19
288,adorados,130,48464,20
289,adorados,13,48477,21
290,adorados,2,48479,22
291,adorados,60,48539,23
292,adorados,1,48540,24
293,adorados,185,48725,25
294,adorados,6,48731,26
295,adorados,29,48760,27
296,afceballosr,89,89,1
297,afceballosr,212,301,2
298,afceballosr,46,347,3
299,afceballosr,22,369,4
300,afceballosr,170,539,5
301,afceballosr,160,699,6
302,afforeroc,139,139,1
390,capinzonr,0,0,1
391,capinzonr,688,688,2
392,capinzonr,45,733,3
393,capinzonr,5,738,4
394,capinzonr,38,776,5
395,capinzonr,57,833,6
396,capinzonr,9892,10725,7
397,capinzonr,336,11061,8
398,capinzonr,19,11080,9
399,capinzonr,10218,21298,10
400,cccristanchoc,122,122,1
401,cccristanchoc,116,238,2
402,cccristanchoc,53,291,3
403,cccristanchoc,351,642,4
404,cccristanchoc,10164,10806,5
405,cccristanchoc,40,10846,6
471,daafonsecara,117,117,1
472,daafonsecara,3,120,2
473,daafonsecara,28,148,3
474,daafonsecara,52,200,4
475,daafonsecara,1345,1545,5
476,daafonsecara,22,1567,6
477,daafonsecara,101,1668,7
491,dduartec,9461,9461,1
492,dduartec,7,9468,2
493,dduartec,901,10369,3
494,dduartec,347,10716,4
495,dduartec,122,10838,5
496,dduartec,2,10840,6
497,dduartec,9,10849,7
498,dduartec,2,10851,8
499,dduartec,2,10853,9
500,dduartec,38,10891,10
711,jdmonroyg,40,40,1
712,jdmonroyg,69,109,2
713,jdmonroyg,0,109,3
714,jdmonroyg,17,126,4
715,jdmonroyg,50,176,5
716,jdmonroyg,38,214,6
717,jdmonroyg,7,221,7
718,jdmonroyg,2,223,8
719,jdmonroyg,15,238,9
720,jdmonroyg,0,238,10
828,jmalvarezd,23,23,1
829,jmalvarezd,38,61,2
830,jmalvarezd,1,62,3
831,jmalvarezd,11,73,4
832,jmalvarezd,148,221,5
833,jmalvarezd,140,361,6
834,jmalvarezd,13,374,7
835,jmalvarezd,83,457,8
836,jmalvarezd,62,519,9
837,jmalvarezd,56,575,10
838,jmalvarezd,21,596,11
890,jorgesolavila,80,80,1
891,jorgesolavila,10,90,2
892,jorgesolavila,12,102,3
893,jorgesolavila,32,134,4
894,jorgesolavila,53,187,5
895,jorgesolavila,25,212,6
896,jorgesolavila,62,274,7
897,jorgesolavila,7,281,8
898,jorgesolavila,11,292,9
899,jorgesolavila,7,299,10
900,jorgesolavila,1,300,11
901,jorgesolavila,33,333,12
902,jorgesolavila,29,362,13
903,jorgesolavila,3,365,14
904,jorgesolavila,8,373,15
905,jorgesolavila,321,694,16
906,jorgesolavila,101,795,17
907,jorgesolavila,40,835,18
908,jorgesolavila,79,914,19
909,jorgesolavila,14,928,20
910,jorgesolavila,2,930,21
911,jorgesolavila,4,934,22
912,jorgesolavila,11,945,23
913,jscastelblancoh,3,3,1
914,jscastelblancoh,29,32,2
915,jscastelblancoh,0,32,3
916,jscastelblancoh,17,49,4
917,jscastelblancoh,5,54,5
918,jscastelblancoh,7,61,6
919,jscastelblancoh,18,79,7
920,jscastelblancoh,47,126,8
921,jscastelblancoh,0,126,9
922,jscastelblancoh,0,126,10
923,jscastelblancoh,107,233,11
924,jscastelblancoh,32,265,12
925,jscastelblancoh,0,265,13
926,jscastelblancoh,0,265,14
927,jscastelblancoh,377,642,15
928,jscastelblancoh,0,642,16
929,jscastelblancoh,211,853,17
930,jscastelblancoh,104,957,18
931,jscastelblancoh,2,959,19
932,jscastelblancoh,13,972,20
933,jscastelblancoh,1,973,21
934,jscastelblancoh,1,974,22
935,jscastelblancoh,4,978,23
936,jscastelblancoh,61,1039,24
937,jscastelblancoh,0,1039,25
938,jscastelblancoh,1,1040,26
939,jscastelblancoh,5,1045,27
940,jscastelblancoh,6,1051,28
941,jscastelblancoh,1,1052,29
942,jscastelblancoh,0,1052,30
1016,juclopezso,125,125,1
1017,juclopezso,171,296,2
1018,juclopezso,1372,1668,3
1019,juclopezso,14997,16665,4
1038,jgarzonj,44,44,1
1039,jgarzonj,112,156,2
1040,jgarzonj,1,157,3
1041,jgarzonj,3,160,4
1042,jgarzonj,34,194,5
1043,jgarzonj,0,194,6
1044,jgarzonj,649,843,7
1045,jgarzonj,142,985,8
1046,jgarzonj,576,1561,9
1047,jgarzonj,12265,13826,10
1048,jgarzonj,0,13826,11
1049,jgarzonj,0,13826,12
1050,jgarzonj,16,13842,13
1051,jgarzonj,37,13879,14
1052,jgarzonj,255,14134,15
1053,jgarzonj,256,14390,16
1054,jgarzonj,20114,34504,17
1055,jgarzonj,608,35112,18
1056,jgarzonj,124,35236,19
1057,jgarzonj,70,35306,20
1058,jgarzonj,1,35307,21
1059,jgarzonj,192,35499,22
1060,jgarzonj,273,35772,23
1061,jgarzonj,38,35810,24
1062,jgarzonj,129,35939,25
1063,jgarzonj,749,36688,26
1064,jumcorredorro,578,578,1
1065,jumcorredorro,266,844,2
1066,jumcorredorro,1,845,3
1067,jumcorredorro,291,1136,4
1068,jumcorredorro,469,1605,5
1069,jumcorredorro,33,1638,6
1070,jumcorredorro,316,1954,7
1071,jumcorredorro,7,1961,8
1072,jumcorredorro,7,1968,9
1073,jumcorredorro,35,2003,10
1074,jumcorredorro,245,2248,11
1085,saayalac,88,88,1
1086,saayalac,67,155,2
1087,saayalac,12,167,3
1088,saayalac,25876,26043,4
1097,lacardenasv,1,1,1
1098,lacardenasv,1,2,2
1099,lacardenasv,298,300,3
1100,lacardenasv,29,329,4
1101,lacardenasv,52,381,5
1102,lacardenasv,65,446,6
1103,lacardenasv,53,499,7
1104,lacardenasv,24,523,8
1105,lacardenasv,1,524,9
1106,lacardenasv,29,553,10
1107,lacardenasv,82,635,11
1108,lacardenasv,8,643,12
1109,lacardenasv,26,669,13
1110,lacardenasv,137,806,14
