,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2
11, 3 files changed, 25 insertions(+), 50 deletions(-),bdvegat,3,25,50,0,1
12, 7 files changed, 3 insertions(+), 4 deletions(-),begarzonf,7,3,4,0,1
21, 5 files changed, 2 insertions(+), 38 deletions(-),ccvacad,5,2,38,0,1
23, 2 files changed, 19 insertions(+), 54 deletions(-),cesarochoa2006,2,19,54,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 0 files changed,,,CSebasGomez,0,0,0,0,1
32, 1 file changed, 11 insertions(+), 16 deletions(-),Dandarprox,1,11,16,0,1
37, 3 files changed, 146 insertions(+), 275 deletions(-),davidrh195,3,146,275,0,1
38, 2 files changed, 4 insertions(+), 31 deletions(-),Davsatu313,2,4,31,0,1
40, 0 files changed,,,debeltranc,0,0,0,0,1
45, 3 files changed, 2 insertions(+),,diegocruz10,3,2,0,0,1
49, 6 files changed, 84 insertions(+), 113 deletions(-),fabianr23,6,84,113,0,1
56, 3 files changed, 22 insertions(+), 105 deletions(-),Gantiva,3,22,105,0,1
61, 0 files changed,,,HashNick,0,0,0,0,1
64, 2 files changed, 12 insertions(+), 15 deletions(-),idrojasf,2,12,15,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 1 file changed,,,jhonsd1996,1,0,0,0,1
78, 5 files changed, 73 insertions(+), 158 deletions(-),jhriverasa,5,73,158,0,1
80, 11 files changed,,,jjmuesesq,11,0,0,0,1
91, 5 files changed, 29 insertions(+), 9 deletions(-),jscontrerasp,5,29,9,0,1
96, 8 files changed, 121 insertions(+), 172 deletions(-),JuanitoAli,8,121,172,0,1
97, 1 file changed, 4 insertions(+), 21 deletions(-),juasmartinezbel,1,4,21,0,1
98, 1 file changed,,,jucjimenezmo,1,0,0,0,1
102, 3 files changed, 4 insertions(+), 55 deletions(-),JulianaNino,3,4,55,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 2 files changed, 14 insertions(+), 15 deletions(-),kancas,2,14,15,0,1
109, 2 files changed, 72 insertions(+), 157 deletions(-),kmendezp96,2,72,157,0,1
112, 8 files changed, 93 insertions(+), 967 deletions(-),leguzman,8,93,967,0,1
117, 6 files changed, 1 insertion(+), 10 deletions(-),ligibrial,6,1,10,0,1
119, 6 files changed, 15 insertions(+), 44 deletions(-),lsfinite,6,15,44,0,1
120, 2 files changed, 38 insertions(+), 60 deletions(-),luealfonsoru,2,38,60,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 2 files changed, 10 insertions(+), 28 deletions(-),oserasoa,2,10,28,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 7 files changed, 23 insertions(+), 24 deletions(-),raulramirezp,7,23,24,0,1
147, 6 files changed, 19 insertions(+), 129 deletions(-),sagilm,6,19,129,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 11 files changed, 12 insertions(+), 58 deletions(-),xdanielsb,11,12,58,0,1
161, 9 files changed, 6 insertions(+), 23 deletions(-),Yelis3,9,6,23,0,1
162, 4 files changed, 25 insertions(+), 196 deletions(-),ykchautai,4,25,196,0,1
