,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2
11, 2 files changed, 3 insertions(+), 4 deletions(-),bdvegat,2,3,4,0,1
12, 8 files changed,,,begarzonf,8,0,0,0,1
21, 1 file changed, 1 insertion(+), 1 deletion(-),ccvacad,1,1,1,0,1
23, 0 files changed,,,cesarochoa2006,0,0,0,0,1
26, 0 files changed,,,crarojasca,0,0,0,0,1
29, 2 files changed, 61 insertions(+), 68 deletions(-),CSebasGomez,2,61,68,0,1
32, 0 files changed,,,Dandarprox,0,0,0,0,1
37, 2 files changed, 2 insertions(+), 26 deletions(-),davidrh195,2,2,26,0,1
38, 3 files changed, 7 insertions(+), 7 deletions(-),Davsatu313,3,7,7,0,1
40, 0 files changed,,,debeltranc,0,0,0,0,1
45, 3 files changed, 106 insertions(+), 938 deletions(-),diegocruz10,3,106,938,0,1
49, 6 files changed, 141 insertions(+), 96 deletions(-),fabianr23,6,141,96,0,1
56, 2 files changed, 5 insertions(+), 57 deletions(-),Gantiva,2,5,57,0,1
61, 2 files changed, 7 insertions(+), 10 deletions(-),HashNick,2,7,10,0,1
64, 0 files changed,,,idrojasf,0,0,0,0,1
75, 0 files changed,,,jhcardenasa,0,0,0,0,1
77, 8 files changed, 6 insertions(+), 32 deletions(-),jhonsd1996,8,6,32,0,1
78, 2 files changed, 24 insertions(+), 93 deletions(-),jhriverasa,2,24,93,0,1
80, 10 files changed,,,jjmuesesq,10,0,0,0,1
91, 4 files changed, 51 insertions(+), 46 deletions(-),jscontrerasp,4,51,46,0,1
96, 8 files changed, 181 insertions(+), 147 deletions(-),JuanitoAli,8,181,147,0,1
97, 1 file changed, 1 insertion(+), 13 deletions(-),juasmartinezbel,1,1,13,0,1
98, 0 files changed,,,jucjimenezmo,0,0,0,0,1
102, 3 files changed, 63 insertions(+), 122 deletions(-),JulianaNino,3,63,122,0,1
105, 0 files changed,,,jusherrerama,0,0,0,0,1
106, 0 files changed,,,kancas,0,0,0,0,1
109, 2 files changed, 101 insertions(+), 144 deletions(-),kmendezp96,2,101,144,0,1
112, 7 files changed, 86 insertions(+), 749 deletions(-),leguzman,7,86,749,0,1
117, 6 files changed, 2 insertions(+), 9 deletions(-),ligibrial,6,2,9,0,1
119, 3 files changed, 16 insertions(+), 37 deletions(-),lsfinite,3,16,37,0,1
120, 1 file changed, 2 insertions(+), 13 deletions(-),luealfonsoru,1,2,13,0,1
121, 0 files changed,,,luegilca,0,0,0,0,1
126, 0 files changed,,,mdbelloc,0,0,0,0,1
140, 2 files changed, 9 insertions(+), 27 deletions(-),oserasoa,2,9,27,0,1
142, 0 files changed,,,Phoenixest,0,0,0,0,1
144, 3 files changed, 22 insertions(+), 37 deletions(-),raulramirezp,3,22,37,0,1
147, 5 files changed, 25 insertions(+), 120 deletions(-),sagilm,5,25,120,0,1
154, 0 files changed,,,tres-iqus,0,0,0,0,1
160, 5 files changed, 12 insertions(+), 97 deletions(-),xdanielsb,5,12,97,0,1
161, 8 files changed, 81 insertions(+), 236 deletions(-),Yelis3,8,81,236,0,1
162, 3 files changed, 17 insertions(+), 140 deletions(-),ykchautai,3,17,140,0,1
