,username_folder_name,count,name
0,2017-Purdue-UNAL-IronHack-Chranium,1,Chranium
1,2017-Purdue-UNAL-IronHack-Christian7sr,1,Christian7sr
2,2017-Purdue-UNAL-IronHack-bsgarciac,14,bsgarciac
3,2017-Purdue-UNAL-IronHack-dsbarrerag,5,dsbarrerag
4,2017-Purdue-UNAL-IronHack-falperezgo,52,falperezgo
5,2017-Purdue-UNAL-IronHack-jiapulidoar,3009,jiapulidoar
6,2017-Purdue-UNAL-IronHack-kgbayala528,4,kgbayala528
7,2017-Purdue-UNAL-IronHack-lfvalderrama,6,lfvalderrama
8,2017-Purdue-UNAL-IronHack-nfmorenog,3,nfmorenog
9,2017-Purdue-UNAL-IronHack-oeroaq,58,oeroaq
10,2017-Purdue-UNAL-IronHack-ronaldsg20,1505,ronaldsg20
11,2017-Purdue-UNAL-IronHack-srmedinac,75,srmedinac
12,2017-Purdue-UNAL-IronHack-wolfstain,55,wolfstain
13,2017-Purdue-UNAL-IronHack-xdanielsb,94,xdanielsb
