,d3-delete-15,d3-add-15,Student
0,0,0,Chranium
1,0,4,Christian7sr
2,0,8,bsgarciac
3,0,6,dsbarrerag
4,0,59,falperezgo
5,0,1017,jiapulidoar
6,0,4,jucjimenezmo
7,0,0,kgbayala528
8,0,1,lfvalderrama
9,0,8,nabautistal
10,0,1,nfmorenog
11,0,58,oeroaq
12,0,0,ronaldsg20
13,0,59,srmedinac
14,0,50,wolfstain
15,1,27,xdanielsb
