username_folder_name,left_only,right_only,both
2017-Purdue-UNAL-IronHack-Chranium,0,0,1
2017-Purdue-UNAL-IronHack-Christian7sr,0,1,0
2017-Purdue-UNAL-IronHack-bsgarciac,0,6,8
2017-Purdue-UNAL-IronHack-dsbarrerag,0,0,5
2017-Purdue-UNAL-IronHack-falperezgo,0,0,104
2017-Purdue-UNAL-IronHack-jiapulidoar,0,0,464462
2017-Purdue-UNAL-IronHack-kgbayala528,0,0,4
2017-Purdue-UNAL-IronHack-lfvalderrama,0,1,5
2017-Purdue-UNAL-IronHack-nfmorenog,0,0,3
2017-Purdue-UNAL-IronHack-oeroaq,0,38,47
2017-Purdue-UNAL-IronHack-ronaldsg20,0,0,119525
2017-Purdue-UNAL-IronHack-srmedinac,0,0,257
2017-Purdue-UNAL-IronHack-wolfstain,0,45,10
2017-Purdue-UNAL-IronHack-xdanielsb,1,6,281
