,components,username_folder_name,js_loc_in_each_js
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-nfmorenog,846.0
1,d3-fetch___.json,2017-Purdue-UNAL-IronHack-nfmorenog,846.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-lfvalderrama,1855.0
1,d3-fetch___.json,2017-Purdue-UNAL-IronHack-lfvalderrama,1855.0
2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-lfvalderrama,1855.0
0,d3-array_Transformations_.zip,2017-Purdue-UNAL-IronHack-xdanielsb,2905.0
1,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-xdanielsb,2905.0
2,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-xdanielsb,2905.0
0,d3-fetch___.json,2017-Purdue-UNAL-IronHack-xdanielsb,1247.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,1066.0
0,d3-dispatch___.dispatch,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
1,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
2,d3-fetch___.json,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
3,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
4,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
5,d3-fetch___.text,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
6,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
7,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
8,d3-selection_Namespaces_.namespace,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
9,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
10,d3-selection_Handling_.mouse,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
11,d3-array_Transformations_.merge,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
12,d3-timer___.timer,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
13,d3-selection_Selecting_.window,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
14,d3-timer___.timeout,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
15,d3-transition___.active,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
16,d3-timer___.now,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
17,d3-array_Transformations_.cross,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
18,d3-selection_Modifying_.create,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
19,d3-zoom___.zoom,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
20,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
21,d3-selection_Selecting_.selector,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
22,d3-timer___.interval,2017-Purdue-UNAL-IronHack-xdanielsb,97163.0
0,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
1,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
3,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
4,d3-timer___.timeout,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
5,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
6,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
7,d3-transition___.transition,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
8,d3-transition___.active,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
9,d3-selection_Selecting_.selector,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
10,d3-selection_Modifying_.create,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
11,d3-timer___.interval,2017-Purdue-UNAL-IronHack-xdanielsb,37045.0
0,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
1,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
2,d3-selection_Selecting_.select,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
3,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
4,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
5,d3-timer___.now,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
6,d3-selection_Selecting_.selector,2017-Purdue-UNAL-IronHack-xdanielsb,12446.0
0,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
1,d3-array_Statistics_.max,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
2,d3-timer___.timer,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
3,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
4,d3-selection_Handling_.mouse,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
5,d3-format___.format,2017-Purdue-UNAL-IronHack-xdanielsb,8122.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,5124.0
1,d3-fetch___.text,2017-Purdue-UNAL-IronHack-oeroaq,5124.0
2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,5124.0
3,d3-drag___.drag,2017-Purdue-UNAL-IronHack-oeroaq,5124.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-oeroaq,3967.0
1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-oeroaq,3967.0
0,d3-fetch___.json,2017-Purdue-UNAL-IronHack-oeroaq,1030.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-Chranium,352.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-srmedinac,7476.0
1,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-srmedinac,7476.0
2,d3-fetch___.json,2017-Purdue-UNAL-IronHack-srmedinac,7476.0
3,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-srmedinac,7476.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-kgbayala528,2894.0
1,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-kgbayala528,2894.0
2,d3-fetch___.text,2017-Purdue-UNAL-IronHack-kgbayala528,2894.0
0,d3-path___.path,2017-Purdue-UNAL-IronHack-kgbayala528,10990.0
0,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-wolfstain,1880.0
1,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-wolfstain,1880.0
0,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-bsgarciac,478.0
0,d3-selection_Local_.local,2017-Purdue-UNAL-IronHack-jiapulidoar,2764.0
1,d3-collection_Maps_.map,2017-Purdue-UNAL-IronHack-jiapulidoar,2764.0
2,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-jiapulidoar,2764.0
3,d3-fetch___.text,2017-Purdue-UNAL-IronHack-jiapulidoar,2764.0
0,d3-dispatch___.dispatch,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
1,d3-array_Statistics_.min,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
2,d3-fetch___.json,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
3,d3-selection_Selecting_.style,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
4,d3-selection_Handling_.event,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
5,d3-fetch___.text,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
6,d3-collection_Sets_.set,2017-Purdue-UNAL-IronHack-jiapulidoar,267686.0
