Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
xdanielsb,,,Bogota-Hack-2-2017,,,xdanielsb,,,260,,,97.62,,,1st Phase,,
juasmartinezbel,,,Bogota-Hack-2-2017,,,juasmartinezbel,,,251.67,,,95.24,,,1st Phase,,
Yelis3,,,Bogota-Hack-2-2017,,,Yelis3,,,231.67,,,92.86,,,1st Phase,,
idrojasf,,,Bogota-Hack-2-2017,,,idrojasf,,,207.5,,,88.1,,,1st Phase,,
Davsatu313,,,Bogota-Hack-2-2017,,,Davsatu313,,,207.5,,,88.1,,,1st Phase,,
fabianr23,,,Bogota-Hack-2-2017,,,fabianr23,,,205,,,85.71,,,1st Phase,,
kmendezp96,,,Bogota-Hack-2-2017,,,kmendezp96,,,185.83,,,80.95,,,1st Phase,,
debeltranc,,,Bogota-Hack-2-2017,,,debeltranc,,,162.5,,,78.57,,,1st Phase,,
ykchautai,,,Bogota-Hack-2-2017,,,ykchautai,,,161.67,,,76.19,,,1st Phase,,
begarzonf,,,Bogota-Hack-2-2017,,,begarzonf,,,157.5,,,73.81,,,1st Phase,,
luealfonsoru,,,Bogota-Hack-2-2017,,,luealfonsoru,,,154.17,,,71.43,,,1st Phase,,
leguzman,,,Bogota-Hack-2-2017,,,leguzman,,,153.33,,,69.05,,,1st Phase,,
jhriverasa,,,Bogota-Hack-2-2017,,,jhriverasa,,,142.92,,,66.67,,,1st Phase,,
ligibrial,,,Bogota-Hack-2-2017,,,ligibrial,,,133.33,,,64.29,,,1st Phase,,
luegilca,,,Bogota-Hack-2-2017,,,luegilca,,,129.17,,,61.9,,,1st Phase,,
Gantiva,,,Bogota-Hack-2-2017,,,Gantiva,,,115.83,,,59.52,,,1st Phase,,
jscontrerasp,,,Bogota-Hack-2-2017,,,joaortizro,,,107.5,,,57.14,,,1st Phase,,
Dandarprox,,,Bogota-Hack-2-2017,,,Dandarprox,,,105.42,,,54.76,,,1st Phase,,
JuanitoAli,,,Bogota-Hack-2-2017,,,JuanitoAli,,,100,,,50,,,1st Phase,,
jhonsd1996,,,Bogota-Hack-2-2017,,,jhonsd1996,,,100,,,50,,,1st Phase,,
mdbelloc,,,Bogota-Hack-2-2017,,,mdbelloc,,,91.67,,,47.62,,,1st Phase,,
diegocruz10,,,Bogota-Hack-2-2017,,,diegocruz10,,,90.83,,,45.24,,,1st Phase,,
cesarochoa2006,,,Bogota-Hack-2-2017,,,cesarochoa2006,,,86.67,,,42.86,,,1st Phase,,
jusherrerama,,,Bogota-Hack-2-2017,,,jusherrerama,,,82.5,,,38.1,,,1st Phase,,
jjmuesesq,,,Bogota-Hack-2-2017,,,jjmuesesq,,,82.5,,,38.1,,,1st Phase,,
Phoenixest,,,Bogota-Hack-2-2017,,,Phoenixest,,,74.17,,,35.71,,,1st Phase,,
lsfinite,,,Bogota-Hack-2-2017,,,lsfinite,,,62.5,,,33.33,,,1st Phase,,
JulianaNino,,,Bogota-Hack-2-2017,,,JulianaNino,,,54.17,,,28.57,,,1st Phase,,
oserasoa,,,Bogota-Hack-2-2017,,,oserasoa,,,54.17,,,28.57,,,1st Phase,,
sagilm,,,Bogota-Hack-2-2017,,,sagilm,,,50,,,26.19,,,1st Phase,,
crarojasca,,,Bogota-Hack-2-2017,,,crarojasca,,,45,,,23.81,,,1st Phase,,
kancas,,,Bogota-Hack-2-2017,,,kancas,,,37.5,,,21.43,,,1st Phase,,
jucjimenezmo,,,Bogota-Hack-2-2017,,,jucjimenezmo,,,12.5,,,19.05,,,1st Phase,,
bdvegat,,,Bogota-Hack-2-2017,,,bdvegat,,,0,,,0,,,1st Phase,,
ccvacad,,,Bogota-Hack-2-2017,,,ccvacad,,,0,,,0,,,1st Phase,,
HashNick,,,Bogota-Hack-2-2017,,,HashNick,,,0,,,0,,,1st Phase,,
CSebasGomez,,,Bogota-Hack-2-2017,,,CSebasGomez,,,0,,,0,,,1st Phase,,
raulramirezp,,,Bogota-Hack-2-2017,,,raulramirezp,,,0,,,0,,,1st Phase,,
tres-iqus,,,Bogota-Hack-2-2017,,,tres-iqus,,,0,,,0,,,1st Phase,,
jhcardenasa,,,Bogota-Hack-2-2017,,,jhcardenasa,,,0,,,0,,,1st Phase,,
davidrh195,,,Bogota-Hack-2-2017,,,davidrh195,,,0,,,0,,,1st Phase,,
