Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
gcantem,,,Bogota-Hack-1-2017,,,gcantem,,,329.17,,,97.67,,,1st Phase,,
jonatan360,,,Bogota-Hack-1-2017,,,jonatan360,,,285.83,,,95.35,,,1st Phase,,
djguzmanc,,,Bogota-Hack-1-2017,,,djguzmanc,,,280.83,,,93.02,,,1st Phase,,
falperezgo,,,Bogota-Hack-1-2017,,,falperezgo,,,256.67,,,90.7,,,1st Phase,,
jesusfchavarro,,,Bogota-Hack-1-2017,,,jesusfchavarro,,,248.33,,,88.37,,,1st Phase,,
oeroaq,,,Bogota-Hack-1-2017,,,oeroaq,,,230.83,,,86.05,,,1st Phase,,
dsbarrerag,,,Bogota-Hack-1-2017,,,dsbarrerag,,,225.83,,,83.72,,,1st Phase,,
jiapulidoar,,,Bogota-Hack-1-2017,,,jiapulidoar,,,219.17,,,81.4,,,1st Phase,,
gasierram,,,Bogota-Hack-1-2017,,,gasierram,,,195,,,76.74,,,1st Phase,,
jsnarvaezb,,,Bogota-Hack-1-2017,,,jsnarvaezb,,,174.17,,,74.42,,,1st Phase,,
fevargasmo,,,Bogota-Hack-1-2017,,,fevargasmo,,,165,,,72.09,,,1st Phase,,
jmhurtadoc,,,Bogota-Hack-1-2017,,,jmhurtadoc,,,162.5,,,69.77,,,1st Phase,,
joahernandezca,,,Bogota-Hack-1-2017,,,joahernandezca,,,150,,,67.44,,,1st Phase,,
daandradec,,,Bogota-Hack-1-2017,,,daandradec,,,137.5,,,65.12,,,1st Phase,,
jcrubioa,,,Bogota-Hack-1-2017,,,jcrubioa,,,136.67,,,62.79,,,1st Phase,,
stevenbustos,,,Bogota-Hack-1-2017,,,stevenbustos,,,132.5,,,60.47,,,1st Phase,,
miaborjaac,,,Bogota-Hack-1-2017,,,miaborjaac,,,120,,,55.81,,,1st Phase,,
aldiazve,,,Bogota-Hack-1-2017,,,aldiazve,,,120,,,55.81,,,1st Phase,,
jsviveroj,,,Bogota-Hack-1-2017,,,jsviveroj,,,103.33,,,51.16,,,1st Phase,,
dasalgadob,,,Bogota-Hack-1-2017,,,dasalgadob,,,100,,,48.84,,,1st Phase,,
anfmorenoso,,,Bogota-Hack-1-2017,,,anfmorenoso,,,97.5,,,46.51,,,1st Phase,,
jufcontrerasco,,,Bogota-Hack-1-2017,,,jufcontrerasco,,,91.67,,,44.19,,,1st Phase,,
maikellPardo,,,Bogota-Hack-1-2017,,,maikellPardo,,,87.5,,,39.53,,,1st Phase,,
diegoaguevarar,,,Bogota-Hack-1-2017,,,diegoaguevarar,,,87.5,,,39.53,,,1st Phase,,
adamantwharf,,,Bogota-Hack-1-2017,,,adamantwharf,,,82.5,,,37.21,,,1st Phase,,
wolfstain,,,Bogota-Hack-1-2017,,,wolfstain,,,74.17,,,32.56,,,1st Phase,,
Christian7sr,,,Bogota-Hack-1-2017,,,Christian7sr,,,74.17,,,32.56,,,1st Phase,,
andfsanchezlem,,,Bogota-Hack-1-2017,,,andfsanchezlem,,,70,,,25.58,,,1st Phase,,
helmeraac,,,Bogota-Hack-1-2017,,,helmeraac,,,70,,,25.58,,,1st Phase,,
crigar,,,Bogota-Hack-1-2017,,,crigar,,,70,,,25.58,,,1st Phase,,
Semoralesga,,,Bogota-Hack-1-2017,,,Semoralesga,,,65.83,,,23.26,,,1st Phase,,
JairVillalba,,,Bogota-Hack-1-2017,,,JairVillalba,,,62.5,,,18.6,,,1st Phase,,
gfalbarracinr,,,Bogota-Hack-1-2017,,,gfalbarracinr,,,62.5,,,18.6,,,1st Phase,,
nabautistal,,,Bogota-Hack-1-2017,,,nabautistal,,,57.5,,,16.28,,,1st Phase,,
bdcajicam,,,Bogota-Hack-1-2017,,,bdcajicam,,,25,,,13.95,,,1st Phase,,
dfhincapiem,,,Bogota-Hack-1-2017,,,dfhincapiem,,,0,,,0,,,1st Phase,,
ItsNavi,,,Bogota-Hack-1-2017,,,ItsNavi,,,0,,,0,,,1st Phase,,
gsuarezc04,,,Bogota-Hack-1-2017,,,gsuarezc04,,,0,,,0,,,1st Phase,,
Zeugmax,,,Bogota-Hack-1-2017,,,Zeugmax,,,0,,,0,,,1st Phase,,
kastellanos,,,Bogota-Hack-1-2017,,,kastellanos,,,0,,,0,,,1st Phase,,
ivdgonzalezco,,,Bogota-Hack-1-2017,,,ivdgonzalezco,,,0,,,0,,,1st Phase,,
