name,hackid,percentile_score,lines,number of being top 25%,summed percentile score,addition of lines
Anvido,unal2,"[96.3, 96.3, 92.59, 88.89, 92.59]","[249, 410, 514, 703, 1046]",5,466.67,1046
pahigueraf,unal2,"[92.59, 85.19, 96.3, 92.59, 85.19]","[279, 403, 1029, 1174, 1600]",5,451.86,1600
trickyjuggler,unal2,"[81.48, 88.89, 88.89, 85.19, 88.89]","[80, 282, 428, 529, 882]",5,433.34,882
csalfonsol,unal2,"[77.78, 92.59, 74.07, 59.26, 81.48]","[66, 139, 228, 291, 460]",3,385.18,460
casc3798,unal2,"[85.19, 70.37, 77.78, 70.37, 74.07]","[155, 202, 290, 293, 511]",2,377.78,511
anferoar96,unal2,"[66.67, 77.78, 85.19, 77.78, 66.67]","[37, 104, 195, 195, 233]",3,374.09,233
jsalcinar,unal2,"[74.07, 55.56, 81.48, 74.07, 62.96]","[92, 306, 404, 450, 471]",1,348.14,471
diefrodriguezcha,unal2,"[88.89, 48.15, 0.0, 96.3, 96.3]","[99, 233, 30, 769, 983]",3,329.64,983
federgolo,unal2,"[51.85, 62.96, 66.67, 62.96, 59.26]","[111, 219, 227, 417, 609]",0,303.7,609
serbatero,unal2,"[62.96, 51.85, 62.96, 66.67, 55.56]","[154, 206, 179, 277, 477]",0,300,477
FredyRosero,unal2,"[55.56, 59.26, 0.0, 81.48, 70.37]","[52, 228, 30, 460, 548]",1,266.67,548
Jufcardenasmo,unal2,"[44.44, 44.44, 51.85, 55.56, 48.15]","[58, 85, 73, 222, 353]",0,244.44,353
adcorredorm,unal2,"[40.74, 66.67, 0.0, 0.0, 77.78]","[30, 348, 30, 30, 484]",1,185.19,484
RafaelCruz15,unal2,"[70.37, 81.48, 0.0, 0.0, 0.0]","[87, 153, 30, 30, 30]",1,151.85,153
jdgaitanf,unal2,"[33.33, 40.74, 70.37, 0.0, 0.0]","[30, 183, 234, 30, 30]",0,144.44,234
dahrojasca,unal2,"[48.15, 0.0, 48.15, 0.0, 44.44]","[32, 30, 83, 30, 109]",0,140.74,109
jannMorenoJ,unal2,"[59.26, 74.07, 0.0, 0.0, 0.0]","[71, 146, 30, 30, 30]",0,133.33,146
StevenEsmar,unal2,"[0.0, 0.0, 55.56, 0.0, 51.85]","[30, 30, 68, 30, 82]",0,107.41,82
bsdiaza,unal2,"[0.0, 0.0, 59.26, 0.0, 0.0]","[30, 30, 260, 30, 30]",0,59.26,260
GabrielUnal,unal2,"[0.0, 0.0, 0.0, 51.85, 0.0]","[30, 30, 30, 190, 30]",0,51.85,190
dcastanedar,unal2,"[33.33, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,33.33,30
tres-xxx,unal2,"[29.63, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,29.63,30
DSFarfanF,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
DaveValencia,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
gimg1859,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
jssanchezo,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
buendiagon,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
,,,,,,
updated,,,,,,
Anvido,unal2,"[96.3, 96.3, 92.59, 85.19, 92.59]","[249, 410, 514, 703, 1046]",5,462.97,1046
pahigueraf,unal2,"[92.59, 85.19, 96.3, 88.89, 81.48]","[279, 403, 1029, 1174, 1600]",5,444.45,1600
trickyjuggler,unal2,"[70.37, 88.89, 88.89, 77.78, 88.89]","[80, 282, 428, 529, 882]",4,414.82,882
csalfonsol,unal2,"[81.48, 92.59, 74.07, 59.26, 85.19]","[66, 139, 228, 291, 460]",3,392.59,460
anferoar96,unal2,"[62.96, 74.07, 85.19, 81.48, 66.67]","[37, 104, 195, 195, 233]",2,370.37,233
casc3798,unal2,"[85.19, 66.67, 77.78, 66.67, 70.37]","[155, 202, 290, 293, 511]",2,366.68,511
jsalcinar,unal2,"[77.78, 55.56, 81.48, 70.37, 59.26]","[92, 306, 404, 450, 471]",2,344.45,471
diefrodriguezcha,unal2,"[88.89, 48.15, 0.0, 96.3, 96.3]","[99, 233, 30, 769, 983]",3,329.64,983
serbatero,unal2,"[66.67, 51.85, 59.26, 74.07, 62.96]","[154, 206, 179, 277, 477]",0,314.81,477
federgolo,unal2,"[59.26, 62.96, 70.37, 62.96, 55.56]","[111, 219, 227, 417, 609]",0,311.11,609
FredyRosero,unal2,"[51.85, 77.78, 0.0, 92.59, 74.07]","[52, 228, 30, 460, 548]",2,296.29,548
Jufcardenasmo,unal2,"[44.44, 40.74, 51.85, 51.85, 44.44]","[58, 85, 73, 222, 353]",0,233.32,353
adcorredorm,unal2,"[48.15, 59.26, 0.0, 0.0, 77.78]","[30, 348, 30, 30, 484]",1,185.19,484
RafaelCruz15,unal2,"[74.07, 81.48, 0.0, 0.0, 0.0]","[87, 153, 30, 30, 30]",1,155.55,153
jdgaitanf,unal2,"[33.33, 44.44, 66.67, 0.0, 0.0]","[30, 183, 234, 30, 30]",0,144.44,234
dahrojasca,unal2,"[40.74, 0.0, 48.15, 0.0, 48.15]","[32, 30, 83, 30, 109]",0,137.04,109
jannMorenoJ,unal2,"[55.56, 70.37, 0.0, 0.0, 0.0]","[71, 146, 30, 30, 30]",0,125.93,146
StevenEsmar,unal2,"[0.0, 0.0, 62.96, 0.0, 51.85]","[30, 30, 68, 30, 82]",0,114.81,82
bsdiaza,unal2,"[0.0, 0.0, 55.56, 0.0, 0.0]","[30, 30, 260, 30, 30]",0,55.56,260
GabrielUnal,unal2,"[0.0, 0.0, 0.0, 55.56, 0.0]","[30, 30, 30, 190, 30]",0,55.56,190
dcastanedar,unal2,"[33.33, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,33.33,30
buendiagon,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
DaveValencia,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
DSFarfanF,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
jssanchezo,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
gimg1859,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
tres-xxx,unal2,"[0.0, 0.0, 0.0, 0.0, 0.0]","[30, 30, 30, 30, 30]",0,0,30
