Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
dduartec,,,Bogota-Hack-3-2017,,,dduartec,,,333.33,,,97.62,,,2nd Phase,,
jumcorredorro,,,Bogota-Hack-3-2017,,,jumcorredorro,,,309.17,,,95.24,,,2nd Phase,,
lgmoralesa,,,Bogota-Hack-3-2017,,,lgmoralesa,,,268.33,,,92.86,,,2nd Phase,,
jscastelblancoh,,,Bogota-Hack-3-2017,,,jscastelblancoh,,,264.17,,,88.1,,,2nd Phase,,
lacardenasv,,,Bogota-Hack-3-2017,,,lacardenasv,,,264.17,,,88.1,,,2nd Phase,,
davidh17,,,Bogota-Hack-3-2017,,,davidh17,,,245.83,,,85.71,,,2nd Phase,,
juligarji,,,Bogota-Hack-3-2017,,,juligarji,,,242.08,,,83.33,,,2nd Phase,,
adriel62,,,Bogota-Hack-3-2017,,,adriel62,,,203.33,,,80.95,,,2nd Phase,,
jmalvarezd,,,Bogota-Hack-3-2017,,,jmalvarezd,,,198.33,,,78.57,,,2nd Phase,,
wapiravaguens,,,Bogota-Hack-3-2017,,,wapiravaguens,,,192.5,,,76.19,,,2nd Phase,,
dagofonseca,,,Bogota-Hack-3-2017,,,dagofonseca,,,190,,,73.81,,,2nd Phase,,
jorge52an,,,Bogota-Hack-3-2017,,,jorge52an,,,187.5,,,71.43,,,2nd Phase,,
ronaldsg20,,,Bogota-Hack-3-2017,,,ronaldsg20,,,161.67,,,69.05,,,2nd Phase,,
AFelipeGA,,,Bogota-Hack-3-2017,,,AFelipeGA,,,152.5,,,66.67,,,2nd Phase,,
macuestap,,,Bogota-Hack-3-2017,,,macuestap,,,145,,,64.29,,,2nd Phase,,
sarizag,,,Bogota-Hack-3-2017,,,sarizag,,,140.83,,,61.9,,,2nd Phase,,
nfmorenog,,,Bogota-Hack-3-2017,,,nfmorenog,,,133.33,,,59.52,,,2nd Phase,,
ofnanezn,,,Bogota-Hack-3-2017,,,ofnanezn,,,132.5,,,57.14,,,2nd Phase,,
lemartinp,,,Bogota-Hack-3-2017,,,lemartinp,,,131.67,,,54.76,,,2nd Phase,,
DianaNavarrete,,,Bogota-Hack-3-2017,,,DianaNavarrete,,,128.33,,,52.38,,,2nd Phase,,
ncampuzano,,,Bogota-Hack-3-2017,,,ncampuzano,,,124.17,,,50,,,2nd Phase,,
kgbayala528,,,Bogota-Hack-3-2017,,,kgbayala528,,,123.33,,,47.62,,,2nd Phase,,
capinzor,,,Bogota-Hack-3-2017,,,capinzor,,,120,,,42.86,,,2nd Phase,,
DavidQP,,,Bogota-Hack-3-2017,,,DavidQP,,,120,,,42.86,,,2nd Phase,,
oacastillol,,,Bogota-Hack-3-2017,,,oacastillol,,,116.67,,,40.48,,,2nd Phase,,
srmedinac,,,Bogota-Hack-3-2017,,,srmedinac,,,115.83,,,35.71,,,2nd Phase,,
spenas,,,Bogota-Hack-3-2017,,,spenas,,,115.83,,,35.71,,,2nd Phase,,
juclopezso,,,Bogota-Hack-3-2017,,,juclopezso,,,111.67,,,30.95,,,2nd Phase,,
smarquezo,,,Bogota-Hack-3-2017,,,smarquezo,,,111.67,,,30.95,,,2nd Phase,,
Chranium,,,Bogota-Hack-3-2017,,,Chranium,,,107.5,,,28.57,,,2nd Phase,,
afforeroc,,,Bogota-Hack-3-2017,,,afforeroc,,,103.33,,,21.43,,,2nd Phase,,
cccristanchoc,,,Bogota-Hack-3-2017,,,cccristanchoc,,,103.33,,,21.43,,,2nd Phase,,
afceballosr,,,Bogota-Hack-3-2017,,,afceballosr,,,103.33,,,21.43,,,2nd Phase,,
mballeng91,,,Bogota-Hack-3-2017,,,mballeng91,,,100,,,16.67,,,2nd Phase,,
NicolasPrr,,,Bogota-Hack-3-2017,,,NicolasPrr,,,100,,,16.67,,,2nd Phase,,
wilson911013,,,Bogota-Hack-3-2017,,,wilson911013,,,90.83,,,14.29,,,2nd Phase,,
lizzyt10h,,,Bogota-Hack-3-2017,,,lizzyt10h,,,75,,,11.9,,,2nd Phase,,
jdmonroyg,,,Bogota-Hack-3-2017,,,jdmonroyg,,,12.5,,,2.38,,,2nd Phase,,
feartheGru,,,Bogota-Hack-3-2017,,,feartheGru,,,12.5,,,2.38,,,2nd Phase,,
Danielsv9207,,,Bogota-Hack-3-2017,,,Danielsv9207,,,12.5,,,2.38,,,2nd Phase,,
JhonEmmanuelTorres,,,Bogota-Hack-3-2017,,,JhonEmmanuelTorres,,,12.5,,,2.38,,,2nd Phase,,
Alex,,,Bogota-Hack-3-2017,,,Alex,,,0,,,0,,,2nd Phase,,
