name,hackid,percentile_score,lines,number of being top 25%,summed percentile score,addition of lines
Orloffyeah,unal0,"[92.59, 92.59, 85.19, 96.3, 96.3]","[386, 478, 958, 6169, 6217]",5,462.97,6217
olimita,unal0,"[81.48, 96.3, 96.3, 88.89, 92.59]","[138, 343, 415, 468, 530]",5,455.56,530
Nigogu,unal0,"[96.3, 88.89, 88.89, 92.59, 88.89]","[145, 299, 305, 472, 490]",5,455.56,490
criscapunal,unal0,"[85.19, 70.37, 77.78, 70.37, 85.19]","[61, 61, 271, 312, 364]",3,388.9,364
Acreed21,unal0,"[29.63, 77.78, 74.07, 85.19, 77.78]","[30, 117, 117, 117, 115]",3,344.45,117
LauraMolina,unal0,"[77.78, 66.67, 59.26, 74.07, 62.96]","[188, 257, 257, 257, 257]",1,340.74,257
yaochoal,unal0,"[88.89, 85.19, 70.37, 3.7, 81.48]","[115, 217, 156, 30, 211]",3,329.63,217
Joacampora,unal0,"[70.37, 3.7, 81.48, 77.78, 74.07]","[152, 30, 448, 504, 548]",2,307.4,548
nviverosb,unal0,"[66.67, 81.48, 66.67, 81.48, 3.7]","[96, 253, 244, 389, 30]",2,300,389
daapinzonch,unal0,"[74.07, 3.7, 62.96, 62.96, 51.85]","[55, 30, 97, 175, 134]",0,255.54,175
DiegoAraque1207,unal0,"[55.56, 3.7, 55.56, 55.56, 66.67]","[89, 30, 142, 258, 220]",0,237.05,258
frnkbs,unal0,"[62.96, 3.7, 48.15, 59.26, 48.15]","[66, 30, 80, 80, 153]",0,222.22,153
Alekzu,unal0,"[7.41, 3.7, 44.44, 51.85, 70.37]","[30, 30, 47, 74, 87]",0,177.77,87
dieguischa,unal0,"[59.26, 3.7, 92.59, 3.7, 3.7]","[30, 30, 849, 30, 30]",1,162.95,849
anythinglord,unal0,"[48.15, 74.07, 3.7, 3.7, 3.7]","[125, 280, 30, 30, 30]",0,133.32,280
Ozai98,unal0,"[51.85, 3.7, 51.85, 3.7, 3.7]","[83, 30, 101, 30, 30]",0,114.8,101
JorgeTorresC,unal0,"[33.33, 3.7, 3.7, 3.7, 59.26]","[84, 30, 30, 30, 593]",0,103.69,593
biherrerap,unal0,"[44.44, 3.7, 3.7, 3.7, 44.44]","[181, 30, 30, 30, 293]",0,99.98,293
Gavnic,unal0,"[37.04, 3.7, 40.74, 3.7, 3.7]","[30, 30, 60, 30, 30]",0,88.88,60
Jfcastroh,unal0,"[7.41, 3.7, 3.7, 66.67, 3.7]","[30, 30, 30, 122, 30]",0,85.18,122
SergioLopez40,unal0,"[7.41, 3.7, 3.7, 3.7, 55.56]","[30, 30, 30, 30, 114]",0,74.07,114
Camiioo,unal0,"[37.04, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,51.84,30
vvargasd,unal0,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
Sariilan,unal0,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
bfprietoc,unal0,"[7.41, 3.7, 3.7, 3.7, 3.7]","[30, 30, 30, 30, 30]",0,22.21,30
Daryhez,unal0,"[3.7, 3.7, 3.7, 3.7, 3.7]","[70, 30, 30, 30, 30]",0,18.5,70
fewilchesc,unal0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",0,0,0
,,,,,,
updated,,,,,,
Orloffyeah,unal0,"[92.59, 92.59, 85.19, 96.3, 96.3]","[386, 478, 958, 6169, 6217]",5,462.97,6217
olimita,unal0,"[85.19, 96.3, 96.3, 88.89, 92.59]","[138, 343, 415, 468, 530]",5,459.27,530
Nigogu,unal0,"[96.3, 88.89, 88.89, 92.59, 85.19]","[145, 299, 305, 472, 490]",5,451.86,490
criscapunal,unal0,"[81.48, 66.67, 77.78, 66.67, 88.89]","[61, 61, 271, 312, 364]",3,381.49,364
LauraMolina,unal0,"[77.78, 77.78, 59.26, 74.07, 70.37]","[188, 257, 257, 257, 257]",2,359.26,257
Acreed21,unal0,"[29.63, 81.48, 74.07, 81.48, 62.96]","[30, 117, 117, 117, 115]",2,329.62,117
Joacampora,unal0,"[74.07, 3.7, 81.48, 85.19, 81.48]","[152, 30, 448, 504, 548]",3,325.92,548
yaochoal,unal0,"[88.89, 70.37, 70.37, 3.7, 77.78]","[115, 217, 156, 30, 211]",2,311.11,217
nviverosb,unal0,"[62.96, 85.19, 66.67, 77.78, 3.7]","[96, 253, 244, 389, 30]",2,296.3,389
daapinzonch,unal0,"[70.37, 3.7, 62.96, 70.37, 55.56]","[55, 30, 97, 175, 134]",0,262.96,175
DiegoAraque1207,unal0,"[44.44, 3.7, 51.85, 62.96, 74.07]","[89, 30, 142, 258, 220]",0,237.02,258
frnkbs,unal0,"[59.26, 3.7, 44.44, 51.85, 48.15]","[66, 30, 80, 80, 153]",0,207.4,153
Alekzu,unal0,"[7.41, 3.7, 40.74, 59.26, 59.26]","[30, 30, 47, 74, 87]",0,170.37,87
dieguischa,unal0,"[66.67, 3.7, 92.59, 3.7, 3.7]","[30, 30, 849, 30, 30]",1,170.36,849
anythinglord,unal0,"[48.15, 74.07, 3.7, 3.7, 3.7]","[125, 280, 30, 30, 30]",0,133.32,280
Gavnic,unal0,"[51.85, 3.7, 55.56, 3.7, 3.7]","[30, 30, 60, 30, 30]",0,118.51,60
JorgeTorresC,unal0,"[33.33, 3.7, 3.7, 3.7, 66.67]","[84, 30, 30, 30, 593]",0,111.1,593
Ozai98,unal0,"[40.74, 3.7, 48.15, 3.7, 3.7]","[83, 30, 101, 30, 30]",0,99.99,101
biherrerap,unal0,"[37.04, 3.7, 3.7, 3.7, 44.44]","[181, 30, 30, 30, 293]",0,92.58,293
