Project,,,Hack,,,Student,,,Total Score,,,The % of participants whose total score below your score,,,Phase,,
capinillab,,,Bogota-Hack-0-2017,,,capinillab,,,247.5,,,98.04,,,2nd Phase,,
bsgarciac,,,Bogota-Hack-0-2017,,,bsgarciac,,,231.67,,,96.08,,,2nd Phase,,
mnguzmanc,,,Bogota-Hack-0-2017,,,mnguzmanc,,,220,,,94.12,,,2nd Phase,,
sacastroc,,,Bogota-Hack-0-2017,,,sacastroc,,,203.33,,,92.16,,,2nd Phase,,
camilo654,,,Bogota-Hack-0-2017,,,camilo654,,,195,,,90.2,,,2nd Phase,,
UNhcrodriguezl,,,Bogota-Hack-0-2017,,,UNhcrodriguezl,,,190.83,,,86.27,,,2nd Phase,,
cdcordobaa,,,Bogota-Hack-0-2017,,,cdcordobaa,,,190.83,,,86.27,,,2nd Phase,,
fffeelipe,,,Bogota-Hack-0-2017,,,fffeelipe,,,172.5,,,84.31,,,2nd Phase,,
pcberriop,,,Bogota-Hack-0-2017,,,pcberriop,,,165.83,,,82.35,,,2nd Phase,,
JoseMolano,,,Bogota-Hack-0-2017,,,JoseMolano,,,145.83,,,80.39,,,2nd Phase,,
lfvalderrama,,,Bogota-Hack-0-2017,,,lfvalderrama,,,141.67,,,78.43,,,2nd Phase,,
jmcuestasb,,,Bogota-Hack-0-2017,,,jmcuestasb,,,140.83,,,76.47,,,2nd Phase,,
juandavidro,,,Bogota-Hack-0-2017,,,juandavidro,,,128.33,,,74.51,,,2nd Phase,,
jdsuarezj,,,Bogota-Hack-0-2017,,,jdsuarezj,,,125,,,72.55,,,2nd Phase,,
DglyP,,,Bogota-Hack-0-2017,,,DglyP,,,123.33,,,70.59,,,2nd Phase,,
Moimolcp,,,Bogota-Hack-0-2017,,,Moimolcp,,,120.83,,,68.63,,,2nd Phase,,
leavendanoro,,,Bogota-Hack-0-2017,,,leavendanoro,,,112.5,,,66.67,,,2nd Phase,,
jjrodriguezn,,,Bogota-Hack-0-2017,,,jjrodriguezn,,,111.67,,,64.71,,,2nd Phase,,
annumunozme,,,Bogota-Hack-0-2017,,,annumumozme,,,103.33,,,56.86,,,2nd Phase,,
CristianLozano,,,Bogota-Hack-0-2017,,,CristianLozano,,,103.33,,,56.86,,,2nd Phase,,
pipemax85,,,Bogota-Hack-0-2017,,,pipemax85,,,103.33,,,56.86,,,2nd Phase,,
camilo13152,,,Bogota-Hack-0-2017,,,camilo13152,,,103.33,,,56.86,,,2nd Phase,,
NicolasZon,,,Bogota-Hack-0-2017,,,NicolasZon,,,100,,,54.9,,,2nd Phase,,
maikellPardoA,,,Bogota-Hack-0-2017,,,maikellPardoA,,,87.5,,,52.94,,,2nd Phase,,
Judgarciani,,,Bogota-Hack-0-2017,,,Judgarciani,,,86.67,,,47.06,,,2nd Phase,,
hsmartineza,,,Bogota-Hack-0-2017,,,hsmartineza,,,86.67,,,47.06,,,2nd Phase,,
Janoguerab,,,Bogota-Hack-0-2017,,,Januguerab,,,86.67,,,47.06,,,2nd Phase,,
CamiloRueda,,,Bogota-Hack-0-2017,,,CamiloRueda,,,62.5,,,33.33,,,2nd Phase,,
juanescai,,,Bogota-Hack-0-2017,,,juanescai,,,62.5,,,33.33,,,2nd Phase,,
odprietoh,,,Bogota-Hack-0-2017,,,odprietoh,,,62.5,,,33.33,,,2nd Phase,,
gabi04,,,Bogota-Hack-0-2017,,,gabi04,,,62.5,,,33.33,,,2nd Phase,,
cap182,,,Bogota-Hack-0-2017,,,cap182,,,33.33,,,25.49,,,2nd Phase,,
annipi,,,Bogota-Hack-0-2017,,,annipi,,,12.5,,,9.8,,,2nd Phase,,
katherinsb,,,Bogota-Hack-0-2017,,,katherinsb,,,12.5,,,9.8,,,2nd Phase,,
jdsolanos,,,Bogota-Hack-0-2017,,,jdsolanos,,,12.5,,,9.8,,,2nd Phase,,
jcneivaa,,,Bogota-Hack-0-2017,,,jcneivaa,,,12.5,,,9.8,,,2nd Phase,,
fmbernalb,,,Bogota-Hack-0-2017,,,fmbernalb,,,12.5,,,9.8,,,2nd Phase,,
MogGy94,,,Bogota-Hack-0-2017,,,MogGy94,,,12.5,,,9.8,,,2nd Phase,,
yocuervoc,,,Bogota-Hack-0-2017,,,yocuervoc,,,12.5,,,9.8,,,2nd Phase,,
