,fall2016-goldironhack-mingchucong,fall2016-goldironhack-zhe1994,fall2016-goldironhack-zhan1046,fall2016-goldironhack-zhan2709,fall2016-goldironhack-mlung,fall2016-goldironhack-mingranli,fall2016-goldironhack-corpsefact,fall2016-goldironhack-yifeitai,fall2016-goldironhack-andrewjst,fall2016-goldironhack-yexin,fall2016-goldironhack-ravengao,fall2016-goldironhack-zhao719,fall2016-goldironhack-tang227,fall2016-goldironhack-jwbalazs,fall2016-goldironhack-owen9211,fall2016-goldironhack-lindunhe,fall2016-goldironhack-vtung,fall2016-goldironhack-peng115,fall2016-goldironhack-ditton,fall2016-goldironhack-bfellur,fall2016-goldironhack-ssandeep,fall2016-goldironhack-yunhan,fall2016-goldironhack-gillism,fall2016-goldironhack-michaelredding,fall2016-goldironhack-gardne16,fall2016-goldironhack-hutchin5,fall2016-goldironhack-steven91,fall2016-goldironhack-beichhor,fall2016-goldironhack-wenjiewu,fall2016-goldironhack-aorme,fall2016-goldironhack-marti763
fall2016-goldironhack-mingchucong,1,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-zhe1994,1.0,1,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-zhan1046,1.0,1.0,1,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-zhan2709,1.0,1.0,1.0,1,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-mlung,1.0,1.0,1.0,1.0,1,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-mingranli,0.4,0.4,0.4,0.4,0.4,1,0.034482758620689655,0.4,0.010638297872340425,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
fall2016-goldironhack-corpsefact,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.034482758620689655,1,0.08620689655172414,0.24242424242424243,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.034482758620689655,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414
fall2016-goldironhack-yifeitai,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-andrewjst,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.010638297872340425,0.24242424242424243,0.026595744680851064,1,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.010638297872340425,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064
fall2016-goldironhack-yexin,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-ravengao,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-zhao719,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-tang227,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-jwbalazs,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-owen9211,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-lindunhe,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-vtung,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-peng115,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-ditton,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-bfellur,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-ssandeep,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-yunhan,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-gillism,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-michaelredding,0.4,0.4,0.4,0.4,0.4,1.0,0.034482758620689655,0.4,0.010638297872340425,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4
fall2016-goldironhack-gardne16,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1,1.0,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-hutchin5,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1,1.0,1.0,1.0,1.0,1.0
fall2016-goldironhack-steven91,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1,1.0,1.0,1.0,1.0
fall2016-goldironhack-beichhor,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1,1.0,1.0,1.0
fall2016-goldironhack-wenjiewu,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1,1.0,1.0
fall2016-goldironhack-aorme,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1,1.0
fall2016-goldironhack-marti763,1.0,1.0,1.0,1.0,1.0,0.4,0.08620689655172414,1.0,0.026595744680851064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1
