,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,0.15593220338983052,0.09121621621621621,0.0,0.0,0.0,0.35135135135135137,0.0,0.09830508474576272,0.0,0.47466216216216217,0.7308781869688386,0.425,0.0,0.032844243792325055
fall2016-blackironhack-kathy789,0.15282392026578073,0.09302325581395349,0.0,0.0,0.0,0.3488372093023256,0.0,0.09634551495016612,0.0,0.4847972972972973,0.7331460674157303,0.43034055727554177,0.0,0.033404807583794154
fall2016-blackironhack-thesoupgirl,0.22058823529411764,0.1323529411764706,0.0,0.0,0.0,0.47368421052631576,0.0,0.14285714285714285,0.0,0.33276450511945393,0.5823170731707317,0.5423728813559322,0.0,0.022806819464830076
fall2016-blackironhack-pptx,0.22058823529411764,0.1323529411764706,0.0,0.0,0.0,0.47368421052631576,0.0,0.14285714285714285,0.0,0.33276450511945393,0.5823170731707317,0.5423728813559322,0.0,0.022806819464830076
fall2016-blackironhack-analyst1001,0.20454545454545456,0.12272727272727273,0.0,0.0,0.0,0.44,0.0,0.1324200913242009,0.0,0.3531409168081494,0.6163141993957704,0.5079365079365079,0.0,0.024266365688487584
fall2016-blackironhack-chriscoraggio,0.04251386321626617,0.024930747922437674,0.0,0.0,0.0,0.09704251386321626,0.0,0.026802218114602587,0.0,0.47424511545293074,0.25268817204301075,0.13619744058500913,0.0,0.11939626041901329
fall2016-blackironhack-nathanamorin,0.025597269624573378,0.015358361774744027,0.0,0.0,0.0,0.05615428247305729,0.0,0.016505406943653957,0.0,0.2148803329864724,0.1510272071071627,0.08977272727272727,0.0,0.18514796203238415
fall2016-blackironhack-cg505,0.4329896907216495,0.2872340425531915,0.0,0.0,0.0,0.7368421052631579,0.0,0.3118279569892473,0.0,0.15689655172413794,0.278125,0.5029585798816568,0.0,0.010387264310714689
fall2016-blackironhack-rkp7,0.22058823529411764,0.1323529411764706,0.0,0.0,0.0,0.47368421052631576,0.0,0.14285714285714285,0.0,0.33276450511945393,0.5823170731707317,0.5423728813559322,0.0,0.022806819464830076
fall2016-blackironhack-lennax,0.10574712643678161,0.06192660550458716,0.0,0.0,0.0,0.23006833712984054,0.0,0.06666666666666667,0.0,0.6855241264559068,0.5110663983903421,0.2928416485900217,0.0,0.04722723174030658
fall2016-blackironhack-emmyzhang,0.11450381679389313,0.06870229007633588,0.0,0.0,0.0,0.2582278481012658,0.0,0.07397959183673469,0.0,0.6059602649006622,0.620137299771167,0.34549878345498786,0.0,0.044027997290584785
fall2016-blackironhack-danzheng,0.03183791606367583,0.01955104996379435,0.0,0.0,0.0,0.07142857142857142,0.0,0.021014492753623187,0.0,0.1182181610508281,0.11505588428665352,0.1150506512301013,0.0,0.1497248118611704
fall2016-blackironhack-drewatk,0.18672199170124482,0.11203319502074689,0.0,0.0,0.0,0.4024390243902439,0.0,0.12083333333333333,0.0,0.36333333333333334,0.6352941176470588,0.46886446886446886,0.0,0.026868367577331225
fall2016-blackironhack-sauravn,0.0030957668752944344,0.0018843798371357427,0.0,0.0,0.0,0.007066424389259035,0.0,0.0019516791170334478,0.0,0.038339947534808634,0.020854355869492094,0.01083518406353052,0.0,0.5823713885367319
