,fall2016-blackironhack-saul97,fall2016-blackironhack-kathy789,fall2016-blackironhack-thesoupgirl,fall2016-blackironhack-pptx,fall2016-blackironhack-analyst1001,fall2016-blackironhack-chriscoraggio,fall2016-blackironhack-nathanamorin,fall2016-blackironhack-cg505,fall2016-blackironhack-rkp7,fall2016-blackironhack-lennax,fall2016-blackironhack-emmyzhang,fall2016-blackironhack-danzheng,fall2016-blackironhack-drewatk,fall2016-blackironhack-sauravn
fall2016-blackironhack-saul97,0.04717948717948718,0.028717948717948718,0.0,0.0,0.0,0.1076923076923077,0.0,0.029743589743589743,0.0,0.5928205128205128,0.3241025641025641,0.16512820512820514,0.0,0.10369031160268
fall2016-blackironhack-kathy789,0.046890927624872576,0.02854230377166157,0.0,0.0,0.0,0.10703363914373089,0.0,0.029561671763506627,0.0,0.5891946992864424,0.3221202854230377,0.16411824668705402,0.0,0.10432840582792725
fall2016-blackironhack-thesoupgirl,0.052095130237825596,0.031710079275198186,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.6508474576271186,0.3563348416289593,0.1823329558323896,0.0,0.09390620014888865
fall2016-blackironhack-pptx,0.052095130237825596,0.031710079275198186,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.6508474576271186,0.3563348416289593,0.1823329558323896,0.0,0.09390620014888865
fall2016-blackironhack-analyst1001,0.04930332261521972,0.030010718113612004,0.0,0.0,0.0,0.11254019292604502,0.0,0.031082529474812434,0.0,0.6195069667738478,0.3386923901393355,0.17256162915326903,0.0,0.09922365202594917
fall2016-blackironhack-chriscoraggio,0.026106696935300794,0.015891032917139614,0.0,0.0,0.0,0.05959137343927355,0.0,0.016458569807037457,0.0,0.3280363223609535,0.1793416572077185,0.09137343927355278,0.0,0.18688210906771552
fall2016-blackironhack-nathanamorin,0.00237272399030278,0.0014442667767060402,0.0,0.0,0.0,0.00541600041264765,0.0,0.00149584773301697,0.0,0.029813792747717543,0.01629958219425388,0.008304533966059732,0.0,0.4745953698012702
fall2016-blackironhack-cg505,0.4631578947368421,0.3010752688172043,0.0,0.0,0.0,0.7522123893805309,0.0,0.3118279569892473,0.0,0.16089965397923875,0.29430379746835444,0.5487804878048781,0.0,0.009890460491332553
fall2016-blackironhack-rkp7,0.052095130237825596,0.031710079275198186,0.0,0.0,0.0,0.11891279728199321,0.0,0.03284258210645526,0.0,0.6508474576271186,0.3563348416289593,0.1823329558323896,0.0,0.09390620014888865
fall2016-blackironhack-lennax,0.10574712643678161,0.06436781609195402,0.0,0.0,0.0,0.2328767123287671,0.0,0.06666666666666667,0.0,0.7198641765704584,0.5944798301486199,0.3607305936073059,0.0,0.04537243651046648
fall2016-blackironhack-emmyzhang,0.04291044776119403,0.026119402985074626,0.0,0.0,0.0,0.09794776119402986,0.0,0.027052238805970148,0.0,0.539179104477612,0.2947761194029851,0.1501865671641791,0.0,0.11400616824417739
fall2016-blackironhack-danzheng,0.03258508327299059,0.01955104996379435,0.0,0.0,0.0,0.07220216606498195,0.0,0.021014492753623187,0.0,0.17456508698260348,0.18518518518518517,0.11666666666666667,0.0,0.14676167180687014
fall2016-blackironhack-drewatk,0.05,0.030434782608695653,0.0,0.0,0.0,0.11413043478260869,0.0,0.03152173913043478,0.0,0.6264929424538545,0.34347826086956523,0.175,0.0,0.09784111453791343
fall2016-blackironhack-sauravn,0.0016366029814636922,0.0009961931191518128,0.0,0.0,0.0,0.0037357241968192976,0.0,0.0010317714448358061,0.0,0.020564272245348132,0.011242750916141886,0.005728110435122923,0.0,0.33170021656548443
