Student,add-loc-15,delete-loc-15,change-files-15
annipi,0,0,0
bsgarciac,0,0,8
camilo654,55,77,5
camilo13152,0,0,21
CamiloRueda,0,0,7
cap182,0,0,0
capinillab,23,196,5
cdcordobaa,3,41,1
CristianLozano,0,0,1
DglyP,47,156,8
fffeelipe,92,249,18
fmbernalb,0,0,0
gabi04,0,0,8
hsmartineza,36,158,7
janoguerab,0,0,1
jcneivaa,0,0,0
jdsolanos,0,0,0
jdsuarezj,36,85,11
jjrodriguezn,0,0,9
jmcuestasb,7,0,7
JoseMolano,19,56,7
juandavidro,292,35,2
juanescai,0,0,4
Judgarciani,13,24,4
katherinsb,0,0,6
leavendanoro,17,38,4
lfvalderrama,8,11,6
maikellPardoA,0,0,1
mnguzmanc,43,144,3
MogGy94,0,0,0
Moimolcp,41,105,2
NicolasZon,3,7,2
odprietoh,0,0,0
pcberriop,4,2,2
pipemax85,31,58,2
sacastroc,8,15,7
UNhcrodriguezl,0,0,2
yocuervoc,0,0,0
adamantwharf,0,0,0
aldiazve,10,229,6
andfsanchezlem,4,50,1
anfmorenoso,2,27,6
bdcajicam,39,26,4
Christian7sr,1,37,1
crigar,0,0,0
daandradec,11,62,2
dasalgadob,0,0,0
dfhincapiem,0,0,2
diegoaguevarar,0,0,9
djguzmanc,100,1008,3
dsbarrerag,71,43,4
falperezgo,111,151,7
fevargasmo,6,307,3
gasierram,8,62,2
gcantem,7,27,5
gfalbarracinr,48,40,7
gsuarezc04,0,0,4
helmeraac,7,12,2
ItsNavi,0,0,0
ivdgonzalezco,1,5,1
JairVillalba,21,114,7
jcrubioa,1,4,1
jesusfchavarro,180,374,5
jiapulidoar,22,142,8
jmhurtadoc,0,0,0
joahernandezca,2,25,3
jonatan360,88,206,2
jsnarvaezb,98,133,6
jsviveroj,17,147,3
jufcontrerasco,14,24,5
maikellPardo,0,0,0
miaborjaac,34,29,5
nabautistal,0,0,8
oeroaq,31,304,3
Semoralesga,8,66,2
stevenbustos,2,72,6
wolfstain,46,459,6
Zeugmax,0,0,0
bdvegat,25,50,3
begarzonf,3,4,7
ccvacad,2,38,5
cesarochoa2006,19,54,2
crarojasca,0,0,0
CSebasGomez,0,0,0
Dandarprox,11,16,1
davidrh195,146,275,3
Davsatu313,4,31,2
debeltranc,0,0,0
diegocruz10,2,0,3
fabianr23,84,113,6
Gantiva,22,105,3
HashNick,0,0,0
idrojasf,12,15,2
jhcardenasa,0,0,0
jhonsd1996,0,0,1
jhriverasa,73,158,5
jjmuesesq,0,0,11
jscontrerasp,29,9,5
JuanitoAli,121,172,8
juasmartinezbel,4,21,1
jucjimenezmo,0,0,1
JulianaNino,4,55,3
jusherrerama,0,0,0
kancas,14,15,2
kmendezp96,72,157,2
leguzman,93,967,8
ligibrial,1,10,6
lsfinite,15,44,6
luealfonsoru,38,60,2
luegilca,0,0,0
mdbelloc,0,0,0
oserasoa,10,28,2
Phoenixest,0,0,0
raulramirezp,23,24,7
sagilm,19,129,6
tres-iqus,0,0,0
xdanielsb,12,58,11
Yelis3,6,23,9
ykchautai,25,196,4
adriel62,78,117,2
afceballosr,11,22,4
AFelipeGA,25,203,20
afforeroc,0,0,0
capinzor,7,59,4
cccristanchoc,99,182,3
Chranium,0,0,0
dagofonseca,31,141,12
Danielsv9207,0,0,0
davidh17,91,296,6
DavidQP,8,10,3
dduartec,7,7,4
DianaNavarrete,54,65,1
feartheGru,0,0,0
jdmonroyg,7,96,3
JhonEmmanuelTorres,0,0,0
jmalvarezd,62,110,3
jorge52an,13,101,1
jscastelblancoh,43,240,3
juclopezso,0,0,0
juligarji,56,295,4
jumcorredorro,29,35,1
kgbayala528,41,151,2
lacardenasv,41,111,6
lemartinp,14,303,4
lgmoralesa,100,97,5
lizzyt10h,22,21,5
macuestap,0,0,5
mballeng91,4,3,4
ncampuzano,43,273,10
nfmorenog,5,17,2
NicolasPrr,41,49,5
oacastillol,14,124,4
ofnanezn,22,7,2
ronaldsg20,27,70,8
sarizag,23,100,3
smarquezo,27,610,1
spenas,83,59,5
srmedinac,48,228,6
wapiravaguens,33,77,2
wilson911013,0,0,3
