,Group,variable,value
139,3.0,user-requirement-phase5,40.0
140,3.0,user-requirement-phase5,100.0
141,3.0,user-requirement-phase5,60.0
142,3.0,user-requirement-phase5,20.0
143,3.0,user-requirement-phase5,80.0
144,3.0,user-requirement-phase5,20.0
145,3.0,user-requirement-phase5,40.0
146,3.0,user-requirement-phase5,40.0
147,3.0,user-requirement-phase5,20.0
148,3.0,user-requirement-phase5,80.0
149,3.0,user-requirement-phase5,100.0
150,3.0,user-requirement-phase5,20.0
151,3.0,user-requirement-phase5,20.0
152,3.0,user-requirement-phase5,80.0
153,3.0,user-requirement-phase5,20.0
154,3.0,user-requirement-phase5,20.0
155,3.0,user-requirement-phase5,20.0
156,3.0,user-requirement-phase5,80.0
157,3.0,user-requirement-phase5,80.0
158,3.0,user-requirement-phase5,20.0
159,3.0,user-requirement-phase5,100.0
160,3.0,user-requirement-phase5,100.0
161,3.0,user-requirement-phase5,0.0
162,3.0,user-requirement-phase5,0.0
163,3.0,user-requirement-phase5,0.0
164,0.0,user-requirement-phase5,0.0
165,0.0,user-requirement-phase5,0.0
166,0.0,user-requirement-phase5,0.0
167,0.0,user-requirement-phase5,0.0
168,0.0,infovis-phase5,29.17
169,0.0,infovis-phase5,75.0
170,0.0,infovis-phase5,54.17
171,0.0,infovis-phase5,37.5
172,0.0,infovis-phase5,58.33
173,0.0,infovis-phase5,25.0
174,0.0,infovis-phase5,29.17
175,0.0,infovis-phase5,37.5
176,0.0,infovis-phase5,58.33
177,0.0,infovis-phase5,50.0
178,0.0,infovis-phase5,37.5
179,0.0,infovis-phase5,33.33
180,0.0,infovis-phase5,62.5
181,0.0,infovis-phase5,29.17
182,0.0,infovis-phase5,25.0
183,0.0,infovis-phase5,66.67
184,0.0,infovis-phase5,37.5
185,0.0,infovis-phase5,25.0
186,0.0,infovis-phase5,29.17
187,0.0,infovis-phase5,33.33
188,0.0,infovis-phase5,50.0
189,0.0,infovis-phase5,33.33
190,0.0,infovis-phase5,58.33
191,0.0,infovis-phase5,33.33
192,0.0,infovis-phase5,50.0
193,0.0,infovis-phase5,66.67
194,0.0,infovis-phase5,33.33
195,0.0,infovis-phase5,54.17
196,0.0,infovis-phase5,29.17
197,0.0,infovis-phase5,66.67
198,0.0,infovis-phase5,70.83
199,0.0,infovis-phase5,29.17
200,0.0,infovis-phase5,0.0
201,0.0,infovis-phase5,0.0
202,0.0,infovis-phase5,0.0
203,0.0,infovis-phase5,0.0
204,0.0,infovis-phase5,0.0
205,0.0,infovis-phase5,0.0
206,0.0,infovis-phase5,0.0
207,1.0,infovis-phase5,62.5
208,1.0,infovis-phase5,25.0
209,1.0,infovis-phase5,29.17
210,1.0,infovis-phase5,25.0
211,1.0,infovis-phase5,25.0
212,1.0,infovis-phase5,25.0
213,1.0,infovis-phase5,25.0
214,1.0,infovis-phase5,45.83
215,1.0,infovis-phase5,79.17
216,1.0,infovis-phase5,25.0
217,1.0,infovis-phase5,87.5
218,1.0,infovis-phase5,70.83
219,1.0,infovis-phase5,33.33
220,1.0,infovis-phase5,75.0
221,1.0,infovis-phase5,62.5
222,1.0,infovis-phase5,62.5
223,1.0,infovis-phase5,33.33
224,1.0,infovis-phase5,79.17
225,1.0,infovis-phase5,70.83
226,1.0,infovis-phase5,33.33
227,1.0,infovis-phase5,70.83
228,1.0,infovis-phase5,50.0
229,1.0,infovis-phase5,37.5
230,1.0,infovis-phase5,29.17
231,1.0,infovis-phase5,54.17
232,1.0,infovis-phase5,25.0
233,1.0,infovis-phase5,54.17
234,1.0,infovis-phase5,62.5
235,1.0,infovis-phase5,50.0
236,1.0,infovis-phase5,33.33
237,1.0,infovis-phase5,37.5
238,1.0,infovis-phase5,50.0
239,1.0,infovis-phase5,25.0
240,1.0,infovis-phase5,83.33
241,1.0,infovis-phase5,79.17
242,1.0,infovis-phase5,66.67
243,1.0,infovis-phase5,50.0
244,1.0,infovis-phase5,54.17
245,1.0,infovis-phase5,0.0
246,1.0,infovis-phase5,0.0
247,1.0,infovis-phase5,0.0
248,1.0,infovis-phase5,0.0
249,2.0,infovis-phase5,25.0
250,2.0,infovis-phase5,25.0
251,2.0,infovis-phase5,25.0
252,2.0,infovis-phase5,50.0
253,2.0,infovis-phase5,66.67
254,2.0,infovis-phase5,50.0
255,2.0,infovis-phase5,75.0
256,2.0,infovis-phase5,37.5
257,2.0,infovis-phase5,45.83
258,2.0,infovis-phase5,25.0
259,2.0,infovis-phase5,33.33
260,2.0,infovis-phase5,50.0
261,2.0,infovis-phase5,45.83
262,2.0,infovis-phase5,58.33
263,2.0,infovis-phase5,58.33
264,2.0,infovis-phase5,54.17
265,2.0,infovis-phase5,58.33
266,2.0,infovis-phase5,70.83
267,2.0,infovis-phase5,66.67
268,2.0,infovis-phase5,25.0
269,2.0,infovis-phase5,25.0
270,2.0,infovis-phase5,25.0
271,2.0,infovis-phase5,70.83
272,2.0,infovis-phase5,58.33
273,2.0,infovis-phase5,25.0
274,2.0,infovis-phase5,41.67
275,2.0,infovis-phase5,33.33
276,2.0,infovis-phase5,25.0
277,2.0,infovis-phase5,41.67
278,2.0,infovis-phase5,37.5
279,2.0,infovis-phase5,66.67
280,2.0,infovis-phase5,25.0
281,2.0,infovis-phase5,79.17
