,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5
143,3.0,5.0,3.0,5.0,6.0
144,4.0,5.0,4.0,4.0,4.0
145,5.0,5.0,4.0,5.0,5.0
146,6.0,3.0,5.0,3.0,3.0
147,5.0,4.0,4.0,3.0,4.0
148,5.0,4.0,4.0,5.0,3.0
149,5.0,5.0,5.0,4.0,5.0
150,4.0,6.0,4.0,6.0,5.0
151,3.0,5.0,4.0,5.0,5.0
152,4.0,4.0,5.0,5.0,5.0
153,5.0,5.0,5.0,5.0,5.0
154,4.0,4.0,5.0,5.0,5.0
155,6.0,5.0,5.0,4.0,4.0
156,3.0,5.0,5.0,5.0,5.0
157,2.0,4.0,3.0,4.0,3.0
158,5.0,3.0,5.0,4.0,5.0
159,4.0,4.0,4.0,4.0,3.0
160,5.0,5.0,5.0,5.0,5.0
161,3.0,6.0,5.0,6.0,5.0
162,5.0,5.0,5.0,5.0,5.0
163,5.0,5.0,5.0,5.0,5.0
164,5.0,5.0,5.0,5.0,5.0
165,5.0,3.0,4.0,4.0,4.0
166,3.0,3.0,4.0,3.0,4.0
167,3.0,3.0,3.0,3.0,3.0
