,adamantwharf,gasierram,bdcajicam,bottom4,dfhincapiem,helmeraac,dasalgadob,top2,djguzmanc,bottom5,oeroaq,gcantem,Semoralesga,top3,top1,stevenbustos,jufcontrerasco,top4,wolfstain,miaborjaac,ivdgonzalezco,maikellPardo,Christian7sr,jsnarvaezb,gfalbarracinr,aldiazve,top5,fevargasmo,jmhurtadoc,anfmorenoso,nabautistal,crigar,jiapulidoar,jsviveroj,daandradec,jcrubioa,joahernandezca,bottom2,bottom1,JairVillalba
ivdgonzalezco,0.012195121951219513,0.04778156996587031,0.021739130434782608,0.0,0.016260162601626018,0.034482758620689655,0.02,0.027204502814258912,0.027777777777777776,0.021352313167259787,0.02676659528907923,0.04664723032069971,0.00921474358974359,0.0694006309148265,0.009853782581055308,0.012048192771084338,0.01968503937007874,0.024054982817869417,0.049217002237136466,0.09090909090909091,0.0,0.0,0.0,0.027491408934707903,0.04150943396226415,0.024639423076923076,0.049315068493150684,0.0149812734082397,0.042105263157894736,0.015384615384615385,0.012195121951219513,0.0,0.027896995708154508,0.032490974729241874,0.038011695906432746,0.057245080500894455,0.0423728813559322,0.0,0.0,0.026717557251908396
maikellPardo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Christian7sr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357142857142857,0.09090909090909091,0.002051983584131327,0.02142857142857143,0.10714285714285714,0.0196078431372549,0.14285714285714285,0.5,0.0,0.012711864406779662,0.06976744186046512,0.026785714285714284,0.008620689655172414,0.023809523809523808,0.0,0.0,0.11538461538461539
jsnarvaezb,0.05660377358490566,0.37349397590361444,0.3484848484848485,0.0,0.05555555555555555,0.06201550387596899,0.03333333333333333,0.006045340050377834,0.2716049382716049,0.14634146341463414,0.02680965147453083,0.26717557251908397,0.008673026886383347,0.14960629921259844,0.002688172043010753,0.07272727272727272,0.06451612903225806,0.08247422680412371,0.078125,0.05442176870748299,0.027491408934707903,0.0,0.05357142857142857,0.0,0.09090909090909091,0.010013351134846462,0.22435897435897437,0.25396825396825395,0.2,0.18032786885245902,0.05555555555555555,0.0,0.036101083032490974,0.2876712328767123,0.13194444444444445,0.09917355371900827,0.23776223776223776,0.0,0.0,0.2222222222222222
gfalbarracinr,0.1,0.10975609756097561,0.08196721311475409,0.0,0.0967741935483871,0.09615384615384616,0.11428571428571428,0.007142857142857143,0.08108108108108109,0.04411764705882353,0.015027322404371584,0.07518796992481203,0.003923278116826504,0.11818181818181818,0.003048780487804878,0.058823529411764705,0.075,0.09333333333333334,0.045454545454545456,0.1,0.04150943396226415,0.0,0.09090909090909091,0.09090909090909091,0.0,0.008807588075880758,0.06369426751592357,0.1,0.058823529411764705,0.06666666666666667,0.1,0.0,0.03137254901960784,0.14754098360655737,0.07751937984496124,0.03305785123966942,0.06993006993006994,0.0,0.0,0.15217391304347827
aldiazve,0.00205620287868403,0.010638297872340425,0.006056527590847914,0.0,0.002054794520547945,0.011140235910878113,0.0006816632583503749,0.04804434862950416,0.007343124165554072,0.006711409395973154,0.029871977240398292,0.016817593790426907,0.021346469622331693,0.017704918032786884,0.03003284842796809,0.002051983584131327,0.0034083162917518746,0.009352037408149633,0.026235509456985967,0.014294996751137101,0.024639423076923076,0.0,0.002051983584131327,0.010013351134846462,0.008807588075880758,0.0,0.017857142857142856,0.008837525492861998,0.018354430379746836,0.0033967391304347825,0.00205620287868403,0.0,0.016826923076923076,0.008069939475453935,0.015544041450777202,0.03618609994256174,0.017363344051446947,0.0,0.0,0.006109979633401222
top5,0.021897810218978103,0.38461538461538464,0.2357142857142857,0.0,0.021739130434782608,0.06763285024154589,0.06569343065693431,0.016609672691744015,0.13333333333333333,0.0658682634730539,0.058530510585305104,0.8115942028985508,0.02335456475583864,0.12745098039215685,0.013210039630118891,0.02142857142857143,0.0273972602739726,0.07386363636363637,0.08108108108108109,0.08636363636363636,0.049315068493150684,0.0,0.02142857142857143,0.22435897435897437,0.06369426751592357,0.017857142857142856,0.0,0.11724137931034483,0.7607361963190185,0.09929078014184398,0.021897810218978103,0.0,0.03932584269662921,0.1568627450980392,0.11312217194570136,0.33518005540166207,0.8840579710144928,0.0,0.0,0.1111111111111111
fevargasmo,0.12,0.2463768115942029,0.32608695652173914,0.0,0.11538461538461539,0.05825242718446602,0.0,0.005104645227156712,0.2711864406779661,0.17857142857142858,0.02074688796680498,0.14049586776859505,0.007452871547566856,0.14563106796116504,0.0013550135501355014,0.10714285714285714,0.11764705882352941,0.08450704225352113,0.06896551724137931,0.058333333333333334,0.0149812734082397,0.0,0.10714285714285714,0.25396825396825395,0.1,0.008837525492861998,0.11724137931034483,0.0,0.09340659340659341,0.17543859649122806,0.061224489795918366,0.0,0.029197080291970802,0.20270270270270271,0.12056737588652482,0.07356948228882834,0.10967741935483871,0.0,0.0,0.2631578947368421
jmhurtadoc,0.02,0.36129032258064514,0.21568627450980393,0.0,0.019867549668874173,0.058823529411764705,0.06,0.015518913676042677,0.12359550561797752,0.07303370786516854,0.056303549571603426,0.7189542483660131,0.022794428028704093,0.11467889908256881,0.013153567905294311,0.0196078431372549,0.025157232704402517,0.07446808510638298,0.10355029585798817,0.09090909090909091,0.042105263157894736,0.0,0.0196078431372549,0.2,0.058823529411764705,0.018354430379746836,0.7607361963190185,0.09340659340659341,0.0,0.09803921568627451,0.02,0.0,0.04644808743169399,0.15151515151515152,0.10212765957446808,0.32,0.82,0.0,0.0,0.10191082802547771
anfmorenoso,0.10526315789473684,0.234375,0.2,0.0,0.1,0.04081632653061224,0.038461538461538464,0.0010204081632653062,0.1724137931034483,0.11320754716981132,0.015277777777777777,0.10084033613445378,0.004384042086804033,0.09900990099009901,0.0006786562606040041,0.09090909090909091,0.06896551724137931,0.029411764705882353,0.05701754385964912,0.034482758620689655,0.015384615384615385,0.0,0.14285714285714285,0.18032786885245902,0.06666666666666667,0.0033967391304347825,0.09929078014184398,0.17543859649122806,0.09803921568627451,0.0,0.10526315789473684,0.0,0.012096774193548387,0.3181818181818182,0.09482758620689655,0.04011461318051576,0.11904761904761904,0.0,0.0,0.28125
nabautistal,1.0,0.04918032786885246,0.08333333333333333,0.0,0.75,0.03571428571428571,0.0,0.0015432098765432098,0.06,0.07317073170731707,0.004207573632538569,0.02654867256637168,0.0013198416190057193,0.03225806451612903,0.0,0.2857142857142857,0.23076923076923078,0.057692307692307696,0.013452914798206279,0.029411764705882353,0.012195121951219513,0.0,0.5,0.05555555555555555,0.1,0.00205620287868403,0.021897810218978103,0.061224489795918366,0.02,0.10526315789473684,0.0,0.0,0.012658227848101266,0.06818181818181818,0.02654867256637168,0.008595988538681949,0.023622047244094488,0.0,0.0,0.1111111111111111
crigar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
jiapulidoar,0.012875536480686695,0.0425531914893617,0.026717557251908396,0.0,0.01282051282051282,0.02922077922077922,0.01680672268907563,0.01114723641430562,0.02909090909090909,0.022388059701492536,0.01829924650161464,0.03592814371257485,0.013754045307443365,0.03492063492063492,0.009572431397574984,0.008438818565400843,0.012345679012345678,0.03636363636363636,0.03167420814479638,0.050156739811912224,0.027896995708154508,0.0,0.012711864406779662,0.036101083032490974,0.03137254901960784,0.016826923076923076,0.03932584269662921,0.029197080291970802,0.04644808743169399,0.012096774193548387,0.012658227848101266,0.0,0.0,0.028268551236749116,0.046511627906976744,0.04195804195804196,0.04178272980501393,0.0,0.0,0.033962264150943396
jsviveroj,0.075,0.32894736842105265,0.26666666666666666,0.0,0.07317073170731707,0.09734513274336283,0.06521739130434782,0.004556962025316456,0.2857142857142857,0.125,0.025885558583106268,0.17692307692307693,0.00872219799389446,0.17699115044247787,0.0023616734143049934,0.09523809523809523,0.08163265306122448,0.12195121951219512,0.08677685950413223,0.09230769230769231,0.032490974729241874,0.0,0.06976744186046512,0.2876712328767123,0.14754098360655737,0.008069939475453935,0.1568627450980392,0.20270270270270271,0.15151515151515152,0.3181818181818182,0.06818181818181818,0.0,0.028268551236749116,0.0,0.15942028985507245,0.07027027027027027,0.152317880794702,0.0,0.0,0.2542372881355932
daandradec,0.027522935779816515,0.14093959731543623,0.10687022900763359,0.0,0.02727272727272727,0.0782122905027933,0.04424778761061947,0.010832102412604629,0.14388489208633093,0.06382978723404255,0.032663316582914576,0.11557788944723618,0.013185878349638452,0.12849162011173185,0.006622516556291391,0.036036036036036036,0.03389830508474576,0.08053691275167785,0.08852459016393442,0.10471204188481675,0.038011695906432746,0.0,0.026785714285714284,0.13194444444444445,0.07751937984496124,0.015544041450777202,0.11312217194570136,0.12056737588652482,0.10212765957446808,0.09482758620689655,0.02654867256637168,0.0,0.046511627906976744,0.15942028985507245,0.0,0.07929515418502203,0.10743801652892562,0.0,0.0,0.10526315789473684
jcrubioa,0.008695652173913044,0.16,0.09482758620689655,0.0,0.008670520231213872,0.0412621359223301,0.02608695652173913,0.03387533875338753,0.0646900269541779,0.029333333333333333,0.06012024048096192,0.30857142857142855,0.030303030303030304,0.09774436090225563,0.021515434985968196,0.014450867052023121,0.014164305949008499,0.04199475065616798,0.0696798493408663,0.05176470588235294,0.057245080500894455,0.0,0.008620689655172414,0.09917355371900827,0.03305785123966942,0.03618609994256174,0.33518005540166207,0.07356948228882834,0.32,0.04011461318051576,0.008595988538681949,0.0,0.04195804195804196,0.07027027027027027,0.07929515418502203,0.0,0.34097421203438394,0.0,0.0,0.054441260744985676
joahernandezca,0.024390243902439025,0.4375,0.2619047619047619,0.0,0.024193548387096774,0.06701030927835051,0.07317073170731707,0.015225933202357564,0.13071895424836602,0.0718954248366013,0.05422446406052964,0.84375,0.02218430034129693,0.13089005235602094,0.012935323383084577,0.023809523809523808,0.030303030303030304,0.0736196319018405,0.0880503144654088,0.07142857142857142,0.0423728813559322,0.0,0.023809523809523808,0.23776223776223776,0.06993006993006994,0.017363344051446947,0.8840579710144928,0.10967741935483871,0.82,0.11904761904761904,0.023622047244094488,0.0,0.04178272980501393,0.152317880794702,0.10743801652892562,0.34097421203438394,0.0,0.0,0.0,0.12307692307692308
bottom2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
bottom1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
JairVillalba,0.13043478260869565,0.23529411764705882,0.3409090909090909,0.0,0.125,0.0594059405940594,0.06666666666666667,0.004596527068437181,0.25862068965517243,0.10344827586206896,0.020804438280166437,0.13333333333333333,0.007459412022817025,0.1485148514851485,0.0023752969121140144,0.07407407407407407,0.09090909090909091,0.10294117647058823,0.0603448275862069,0.08695652173913043,0.026717557251908396,0.0,0.11538461538461539,0.2222222222222222,0.15217391304347827,0.006109979633401222,0.1111111111111111,0.2631578947368421,0.10191082802547771,0.28125,0.1111111111111111,0.0,0.033962264150943396,0.2542372881355932,0.10526315789473684,0.054441260744985676,0.12307692307692308,0.0,0.0,0.0
