,Student,phase,novelty,group,abs_perform_diff_best,user2,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10
70,NicolasPrr,2,0.7727272727272730,3,233.33000000000000,NicolasPrr,3.0,4.0,3.0,2.0
71,oacastillol,2,0.7748344370860930,3,216.66000000000000,oacastillol,2.0,1.0,5.0,1.0
72,ronaldsg20,2,0.7931034482758620,3,171.66,ronaldsg20,0.0,3.0,5.0,2.0
73,kgbayala528,2,0.8203125,3,210.0,kgbayala528,1.0,5.0,6.0,2.0
74,jumcorredorro,2,0.8205128205128210,3,24.160000000000000,jumcorredorro,1.0,1.0,5.0,2.0
75,jscastelblancoh,2,0.8387096774193550,3,69.16000000000000,jscastelblancoh,0.0,0.0,3.0,2.0
76,dduartec,2,0.8571428571428570,3,0.0,dduartec,1.0,5.0,4.0,1.0
77,srmedinac,2,0.8902439024390240,3,217.5,srmedinac,1.0,2.0,4.0,1.0
78,dagofonseca,2,0.9175627240143370,3,143.33000000000000,dagofonseca,0.0,0.0,2.0,2.0
79,jorge52an,2,0.9653179190751450,3,145.83000000000000,jorge52an,4.0,4.0,5.0,2.0
80,mballeng91,2,0.984375,3,233.33000000000000,mballeng91,2.0,6.0,6.0,2.0
81,juligarji,2,0.9924363057324840,3,91.25000000000000,juligarji,4.0,4.0,5.0,3.0
84,jdmonroyg,3,0.0,3,330.0,jdmonroyg,0.0,1.0,4.0,1.0
86,wapiravaguens,3,0.4,3,137.5,wapiravaguens,0.0,1.0,4.0,2.0
87,AFelipeGA,3,0.4,3,177.5,AFelipeGA,4.0,3.0,5.0,2.0
88,afforeroc,3,0.4285714285714290,3,226.67000000000000,afforeroc,1.0,4.0,3.0,2.0
89,Chranium,3,0.5,3,235.0,Chranium,4.0,5.0,6.0,2.0
90,lizzyt10h,3,0.5,3,184.17,lizzyt10h,2.0,1.0,5.0,2.0
91,DianaNavarrete,3,0.625,3,182.5,DianaNavarrete,0.0,1.0,5.0,2.0
92,ncampuzano,3,0.6526315789473690,3,213.33000000000000,ncampuzano,1.0,3.0,4.0,2.0
93,NicolasPrr,3,0.6570188133140380,3,221.67000000000000,NicolasPrr,3.0,4.0,3.0,2.0
94,macuestap,3,0.6666666666666670,3,185.0,macuestap,0.0,1.0,4.0,1.0
95,lgmoralesa,3,0.6796116504854370,3,20.0,lgmoralesa,2.0,2.0,4.0,3.0
96,sarizag,3,0.6944444444444440,3,201.67,sarizag,4.0,3.0,6.0,2.0
97,lacardenasv,3,0.7,3,65.83000000000000,lacardenasv,1.0,2.0,5.0,4.0
98,smarquezo,3,0.7142857142857140,3,218.33000000000000,smarquezo,0.0,0.0,2.0,0.0
99,jmalvarezd,3,0.7162162162162160,3,55.0,jmalvarezd,3.0,3.0,5.0,2.0
100,lemartinp,3,0.7352941176470590,3,193.33,lemartinp,0.0,0.0,4.0,1.0
101,nfmorenog,3,0.7529411764705880,3,196.67,nfmorenog,0.0,2.0,3.0,1.0
102,spenas,3,0.7538461538461540,3,214.17000000000000,spenas,5.0,4.0,6.0,1.0
103,afceballosr,3,0.7777777777777780,3,226.67000000000000,afceballosr,1.0,3.0,5.0,2.0
104,oacastillol,3,0.7848101265822780,3,209.17000000000000,oacastillol,2.0,1.0,5.0,1.0
105,davidh17,3,0.7850467289719630,3,109.17000000000000,davidh17,3.0,3.0,5.0,3.0
106,cccristanchoc,3,0.8095238095238100,3,226.67000000000000,cccristanchoc,1.0,1.0,4.0,1.0
107,juclopezso,3,0.8103448275862070,3,218.33000000000000,juclopezso,1.0,3.0,3.0,2.0
108,ofnanezn,3,0.813953488372093,3,181.67,ofnanezn,0.0,1.0,6.0,2.0
109,kgbayala528,3,0.8235294117647060,3,78.33000000000000,kgbayala528,1.0,5.0,6.0,2.0
110,srmedinac,3,0.8620689655172410,3,214.17000000000000,srmedinac,1.0,2.0,4.0,1.0
111,DavidQP,3,0.8636363636363640,3,205.83000000000000,DavidQP,2.0,3.0,4.0,3.0
112,dduartec,3,0.8642857142857140,3,25.0,dduartec,1.0,5.0,4.0,1.0
113,ronaldsg20,3,0.8760330578512400,3,172.5,ronaldsg20,0.0,3.0,5.0,2.0
