,bdvegat,jusherrerama,Phoenixest,HashNick,ccvacad,joaortizro,top4,mdbelloc,diegocruz10,bottom5,sagilm,idrojasf,raulramirezp,fabianr23,jhriverasa,jhonsd1996,JuanitoAli,Davsatu313,top5,jjmuesesq,jucjimenezmo,kancas,top2,Dandarprox,debeltranc,ykchautai,ligibrial,davidrh195,JulianaNino,luegilca,Yelis3,begarzonf,kmendezp96,top3,luealfonsoru,oserasoa,lsfinite,top1,bottom1,bottom2,bottom3
jucjimenezmo,0.008583690987124463,0.08,0.04918032786885246,0.08878504672897196,0.15748031496062992,0.09859154929577464,0.15418502202643172,0.5555555555555556,0.5324675324675324,0.0,0.532258064516129,0.012364760432766615,0.05389221556886228,0.06363636363636363,0.050724637681159424,0.04918032786885246,0.0074503311258278145,0.125,0.12385321100917432,0.03614457831325301,0.0,0.23255813953488372,0.15,0.1044776119402985,0.0,0.08974358974358974,0.12345679012345678,0.037037037037037035,0.1125,0.19753086419753085,0.1368421052631579,0.04201680672268908,0.1791044776119403,0.4642857142857143,0.37962962962962965,0.3253012048192771,0.004895960832313341,0.05017921146953405,0.0,0.1095890410958904,0.10843373493975904
kancas,0.007684918347742555,0.12280701754385964,0.06818181818181818,0.08,0.1926605504587156,0.17307692307692307,0.07929515418502203,0.28378378378378377,0.2625,0.0,0.2786885245901639,0.014308426073131956,0.060126582278481014,0.06896551724137931,0.09401709401709402,0.09302325581395349,0.006663890045814244,0.17142857142857143,0.08571428571428572,0.09523809523809523,0.23255813953488372,0.0,0.09411764705882353,0.09565217391304348,0.0,0.18867924528301888,0.21052631578947367,0.06896551724137931,0.15517241379310345,0.29310344827586204,0.07092198581560284,0.041758241758241756,0.1623931623931624,0.23478260869565218,0.19811320754716982,0.3333333333333333,0.0030681120883616284,0.038314176245210725,0.0,0.1568627450980392,0.12903225806451613
top2,0.00861656294877932,0.08955223880597014,0.05660377358490566,0.10294117647058823,0.15833333333333333,0.12903225806451613,0.08085106382978724,0.13043478260869565,0.13402061855670103,0.0,0.12987012987012986,0.004658385093167702,0.05198776758409786,0.08133971291866028,0.096,0.05660377358490566,0.005804311774461028,0.1518987341772152,0.05803571428571429,0.0684931506849315,0.15,0.09411764705882353,0.0,0.16379310344827586,0.0,0.125,0.13043478260869565,0.04411764705882353,0.13432835820895522,0.10526315789473684,0.06872852233676977,0.023305084745762712,0.12403100775193798,0.11851851851851852,0.0967741935483871,0.18292682926829268,0.005320237364436259,0.04477611940298507,0.0,0.0967741935483871,0.16176470588235295
Dandarprox,0.010387157695939566,0.0707070707070707,0.03488372093023256,0.08403361344537816,0.10967741935483871,0.09574468085106383,0.0830188679245283,0.096,0.1,0.0,0.08108108108108109,0.010401188707280832,0.05307262569832402,0.06584362139917696,0.08280254777070063,0.03488372093023256,0.006549324600900532,0.12727272727272726,0.0546875,0.04716981132075472,0.1044776119402985,0.09565217391304348,0.16379310344827586,0.0,0.0,0.06796116504854369,0.11538461538461539,0.02830188679245283,0.11764705882352941,0.07964601769911504,0.054380664652567974,0.023575638506876228,0.08928571428571429,0.09883720930232558,0.09433962264150944,0.13445378151260504,0.005687588868576072,0.04262295081967213,0.0,0.08163265306122448,0.09345794392523364
debeltranc,0.000964785335262904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004178854993731718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0004078303425774878,0.007380073800738007,0.0,0.0,0.0
ykchautai,0.004352030947775629,0.10256410256410256,0.13043478260869565,0.031746031746031744,0.12371134020618557,0.21212121212121213,0.04672897196261682,0.13846153846153847,0.1267605633802817,0.0,0.14,0.0065252854812398045,0.029508196721311476,0.05945945945945946,0.10309278350515463,0.18181818181818182,0.002510460251046025,0.1509433962264151,0.035,0.11627906976744186,0.08974358974358974,0.18867924528301888,0.125,0.06796116504854369,0.0,0.0,0.13114754098360656,0.06896551724137931,0.09836065573770492,0.10294117647058823,0.03424657534246575,0.014989293361884369,0.046153846153846156,0.109375,0.06722689075630252,0.1,0.002248109544246883,0.03435114503816794,0.0,0.11320754716981132,0.22807017543859648
ligibrial,0.006766553890768487,0.16666666666666666,0.10344827586206896,0.05789473684210526,0.09523809523809523,0.24324324324324326,0.06481481481481481,0.1267605633802817,0.11688311688311688,0.0,0.125,0.008090614886731391,0.05263157894736842,0.08021390374331551,0.13,0.10344827586206896,0.00502092050209205,0.15517241379310345,0.065,0.125,0.12345679012345678,0.21052631578947367,0.13043478260869565,0.11538461538461539,0.0,0.13114754098360656,0.0,0.09375,0.20967741935483872,0.136986301369863,0.04377104377104377,0.03655913978494624,0.09923664122137404,0.11940298507462686,0.17391304347826086,0.1566265060240964,0.00593897194347737,0.052830188679245285,0.0,0.19642857142857142,0.13043478260869565
davidrh195,0.0033832769453842437,0.07692307692307693,0.13636363636363635,0.0374331550802139,0.038461538461538464,0.11428571428571428,0.027649769585253458,0.04285714285714286,0.039473684210526314,0.0,0.05660377358490566,0.009836065573770493,0.012944983818770227,0.020942408376963352,0.06,0.19047619047619047,0.001254180602006689,0.07142857142857142,0.024875621890547265,0.11904761904761904,0.037037037037037035,0.06896551724137931,0.04411764705882353,0.02830188679245283,0.0,0.06896551724137931,0.09375,0.0,0.0975609756097561,0.06,0.01818181818181818,0.018018018018018018,0.03636363636363636,0.034482758620689655,0.05,0.047619047619047616,0.001435897435897436,0.020491803278688523,0.0,0.1935483870967742,0.06666666666666667
JulianaNino,0.005314009661835749,0.2702702702702703,0.1111111111111111,0.05291005291005291,0.0660377358490566,0.2222222222222222,0.05069124423963134,0.11428571428571428,0.10526315789473684,0.0,0.10909090909090909,0.006482982171799027,0.0392156862745098,0.05263157894736842,0.07766990291262135,0.1111111111111111,0.0037641154328732747,0.1206896551724138,0.04455445544554455,0.15555555555555556,0.1125,0.15517241379310345,0.13432835820895522,0.11764705882352941,0.0,0.09836065573770492,0.20967741935483872,0.0975609756097561,0.0,0.13725490196078433,0.03260869565217391,0.02237136465324385,0.043859649122807015,0.09649122807017543,0.1,0.14516129032258066,0.002872973527601067,0.036734693877551024,0.0,0.2,0.15217391304347827
luegilca,0.0038443056222969728,0.14583333333333334,0.08571428571428572,0.13736263736263737,0.1523809523809524,0.2682926829268293,0.05357142857142857,0.2463768115942029,0.22666666666666666,0.0,0.21052631578947367,0.0064,0.03821656050955414,0.04,0.07207207207207207,0.08571428571428572,0.0029154518950437317,0.15873015873015872,0.0330188679245283,0.1111111111111111,0.19753086419753085,0.29310344827586204,0.10526315789473684,0.07964601769911504,0.0,0.10294117647058823,0.136986301369863,0.06,0.13725490196078433,0.0,0.05776173285198556,0.028761061946902654,0.25742574257425743,0.1565217391304348,0.16831683168316833,0.29508196721311475,0.0018419975440032747,0.027450980392156862,0.0,0.13636363636363635,0.10909090909090909
Yelis3,0.016681299385425813,0.018050541516245487,0.011450381679389313,0.10714285714285714,0.1189710610932476,0.03333333333333333,0.11031175059952038,0.17228464419475656,0.2037735849056604,0.0,0.1297709923664122,0.014218009478672985,0.06346153846153846,0.04819277108433735,0.05167173252279635,0.011450381679389313,0.009578544061302681,0.041666666666666664,0.06954436450839328,0.03237410071942446,0.1368421052631579,0.07092198581560284,0.06872852233676977,0.054380664652567974,0.006622516556291391,0.03424657534246575,0.04377104377104377,0.01818181818181818,0.03260869565217391,0.05776173285198556,0.0,0.00903225806451613,0.009974483878450475,0.010662957811775614,0.006485985638174659,0.007251461988304094,0.023793490460157128,0.011947700631199279,0.0,0.0014048232264106766,0.0025718961889174656
begarzonf,0.02809917355371901,0.013392857142857142,0.009237875288683603,0.046632124352331605,0.04,0.015765765765765764,0.029173419773095625,0.04525862068965517,0.04025423728813559,0.0,0.030837004405286344,0.03838383838383838,0.056851311953352766,0.0288135593220339,0.02982107355864811,0.009237875288683603,0.0111671469740634,0.017241379310344827,0.03865546218487395,0.011013215859030838,0.04201680672268908,0.041758241758241756,0.023305084745762712,0.023575638506876228,0.0,0.014989293361884369,0.03655913978494624,0.018018018018018018,0.02237136465324385,0.028761061946902654,0.00903225806451613,0.0,0.05622489959839357,0.05138339920948617,0.05295315682281059,0.0368763557483731,0.016122840690978888,0.01848998459167951,0.0,0.022779043280182234,0.013215859030837005
kmendezp96,0.0146295422369042,0.08411214953271028,0.03125,0.16521739130434782,0.1518987341772152,0.056074766355140186,0.0959409594095941,0.1951219512195122,0.1953125,0.0,0.16071428571428573,0.020710059171597635,0.08403361344537816,0.0846774193548387,0.09090909090909091,0.03125,0.00857843137254902,0.072,0.1111111111111111,0.04310344827586207,0.1791044776119403,0.1623931623931624,0.12403100775193798,0.08928571428571429,0.0,0.046153846153846156,0.09923664122137404,0.03636363636363636,0.043859649122807015,0.25742574257425743,0.009974483878450475,0.05622489959839357,0.0,0.0192227329711659,0.014225941422594143,0.01446193109315185,0.02636830102622577,0.013417521704814523,0.0,0.0034071550255536627,0.004242681374628765
top3,0.015065913370998116,0.08928571428571429,0.029411764705882353,0.10483870967741936,0.16770186335403728,0.10185185185185185,0.16988416988416988,0.3783783783783784,0.3706896551724138,0.0,0.3333333333333333,0.01903367496339678,0.0947075208913649,0.08267716535433071,0.07514450867052024,0.029411764705882353,0.013928717738631708,0.12903225806451613,0.16260162601626016,0.06722689075630252,0.4642857142857143,0.23478260869565218,0.11851851851851852,0.09883720930232558,0.0,0.109375,0.11940298507462686,0.034482758620689655,0.09649122807017543,0.1565217391304348,0.010662957811775614,0.05138339920948617,0.0192227329711659,0.0,0.2619047619047619,0.21830985915492956,0.009306089419380943,0.05952380952380952,0.0,0.058823529411764705,0.06896551724137931
luealfonsoru,0.013731060606060606,0.08080808080808081,0.034482758620689655,0.12121212121212122,0.1610738255033557,0.09473684210526316,0.14285714285714285,0.45263157894736844,0.5824175824175825,0.0,0.375,0.02406015037593985,0.06779661016949153,0.06995884773662552,0.06875,0.034482758620689655,0.006546644844517185,0.12612612612612611,0.10612244897959183,0.10891089108910891,0.37962962962962965,0.19811320754716982,0.0967741935483871,0.09433962264150944,0.0,0.06722689075630252,0.17391304347826086,0.05,0.1,0.16831683168316833,0.006485985638174659,0.05295315682281059,0.014225941422594143,0.2619047619047619,0.0,0.32323232323232326,0.007330482590103849,0.04666666666666667,0.0,0.0851063829787234,0.0761904761904762
oserasoa,0.007670182166826462,0.11475409836065574,0.0625,0.1,0.2072072072072072,0.2037037037037037,0.10176991150442478,0.39436619718309857,0.4583333333333333,0.0,0.36666666666666664,0.012618296529968454,0.06269592476489028,0.07281553398058252,0.08196721311475409,0.0625,0.006652806652806653,0.19444444444444445,0.07906976744186046,0.10606060606060606,0.3253012048192771,0.3333333333333333,0.18292682926829268,0.13445378151260504,0.0,0.1,0.1566265060240964,0.047619047619047616,0.14516129032258066,0.29508196721311475,0.007251461988304094,0.0368763557483731,0.01446193109315185,0.21830985915492956,0.32323232323232326,0.0,0.005316973415132925,0.04814814814814815,0.0,0.109375,0.1232876712328767
lsfinite,0.041396959205178385,0.0018461538461538461,0.0006167763157894736,0.010230692076228686,0.005280259951259139,0.001436192039392696,0.008964143426294821,0.003880718954248366,0.0044907123902837316,0.0,0.0030718820397296746,0.019805680119581465,0.014564062192481795,0.008812337272181054,0.005078204346942921,0.0006167763157894736,0.025070821529745043,0.003480040941658137,0.009801960392078415,0.0026661197703035273,0.004895960832313341,0.0030681120883616284,0.005320237364436259,0.005687588868576072,0.0004078303425774878,0.002248109544246883,0.00593897194347737,0.001435897435897436,0.002872973527601067,0.0018419975440032747,0.023793490460157128,0.016122840690978888,0.02636830102622577,0.009306089419380943,0.007330482590103849,0.005316973415132925,0.0,0.01072066706372841,0.0,0.0018480492813141684,0.002871205906480722
top1,0.02696629213483146,0.02032520325203252,0.012987012987012988,0.0549738219895288,0.03257328990228013,0.03333333333333333,0.05365853658536585,0.029197080291970802,0.03225806451612903,0.0,0.027131782945736434,0.02357320099255583,0.04819277108433735,0.04392764857881137,0.05704697986577181,0.012987012987012988,0.011655011655011656,0.03461538461538462,0.061381074168797956,0.044897959183673466,0.05017921146953405,0.038314176245210725,0.04477611940298507,0.04262295081967213,0.007380073800738007,0.03435114503816794,0.052830188679245285,0.020491803278688523,0.036734693877551024,0.027450980392156862,0.011947700631199279,0.01848998459167951,0.013417521704814523,0.05952380952380952,0.04666666666666667,0.04814814814814815,0.01072066706372841,0.0,0.0,0.01910828025477707,0.02079002079002079
bottom1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottom2,0.00436046511627907,0.11428571428571428,0.15789473684210525,0.04371584699453552,0.08247422680412371,0.2413793103448276,0.047619047619047616,0.09375,0.08571428571428572,0.0,0.10416666666666667,0.008223684210526315,0.029900332225913623,0.03783783783783784,0.11956521739130435,0.2222222222222222,0.002514668901927913,0.11764705882352941,0.057291666666666664,0.1282051282051282,0.1095890410958904,0.1568627450980392,0.0967741935483871,0.08163265306122448,0.0,0.11320754716981132,0.19642857142857142,0.1935483870967742,0.2,0.13636363636363635,0.0014048232264106766,0.022779043280182234,0.0034071550255536627,0.058823529411764705,0.0851063829787234,0.109375,0.0018480492813141684,0.01910828025477707,0.0,0.0,0.13953488372093023
