,user-requirement,infovis,total,novelty,tech,Group,Student,Q7_Q7_1,Q7_Q7_2,Q8_Q8_1,Q10,phase
33,0.0,0.0,62.5,0.0,62.5,0.0,jdsolanos,1.0,1.0,5.0,2.0,1
34,0.0,0.0,0.0,0.0,0.0,0.0,jcneivaa,0.0,0.0,4.0,2.0,1
35,0.0,0.0,0.0,0.0,0.0,0.0,fmbernalb,1.0,2.0,2.0,1.0,1
36,0.0,0.0,12.5,0.0,12.5,0.0,MogGy94,3.0,3.0,4.0,0.0,1
37,0.0,0.0,0.0,0.0,0.0,0.0,yocuervoc,0.0,1.0,5.0,2.0,1
38,0.0,25.0,25.0,0.0,0.0,0.0,odprietoh,4.0,4.0,5.0,2.0,1
39,20.0,50.0,195.0,62.5,62.5,1.0,gasierram,3.0,4.0,5.0,4.0,1
40,20.0,25.0,82.5,0.0,37.5,1.0,adamantwharf,,,,,1
41,0.0,0.0,25.0,0.0,25.0,1.0,bdcajicam,0.0,2.0,5.0,2.0,1
42,20.0,25.0,70.0,0.0,25.0,1.0,andfsanchezlem,0.0,1.0,3.0,1.0,1
43,0.0,0.0,0.0,0.0,0.0,1.0,dfhincapiem,4.0,1.0,5.0,1.0,1
44,20.0,25.0,70.0,0.0,25.0,1.0,helmeraac,5.0,4.0,6.0,4.0,1
45,0.0,25.0,100.0,25.0,50.0,1.0,dasalgadob,1.0,2.0,4.0,3.0,1
46,40.0,66.67,256.67,75.0,75.0,1.0,falperezgo,4.0,4.0,5.0,3.0,1
47,60.0,70.83,280.83,87.5,62.5,1.0,djguzmanc,0.0,5.0,6.0,3.0,1
48,0.0,0.0,0.0,0.0,0.0,1.0,gsuarezc04,1.0,1.0,3.0,2.0,1
49,60.0,58.33,230.83,75.0,37.5,1.0,oeroaq,4.0,4.0,5.0,3.0,1
50,100.0,79.17,329.17,87.5,62.5,1.0,gcantem,0.0,2.0,5.0,2.0,1
51,20.0,33.33,65.83,0.0,12.5,1.0,Semoralesga,4.0,3.0,4.0,2.0,1
52,60.0,70.83,285.83,55.0,100.0,1.0,jonatan360,4.0,4.0,6.0,4.0,1
53,40.0,33.33,248.33,75.0,100.0,1.0,jesusfchavarro,4.0,3.0,6.0,3.0,1
54,40.0,33.33,248.33,75.0,100.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,1
55,20.0,37.5,132.5,62.5,12.5,1.0,stevenbustos,0.0,1.0,0.0,1.0,1
56,0.0,29.17,91.67,62.5,0.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,1
57,80.0,70.83,225.83,25.0,50.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,1
58,20.0,29.17,74.17,0.0,25.0,1.0,wolfstain,3.0,3.0,6.0,0.0,1
59,20.0,37.5,120.0,0.0,62.5,1.0,miaborjaac,0.0,0.0,4.0,1.0,1
60,0.0,0.0,0.0,0.0,0.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,1
61,0.0,25.0,87.5,25.0,37.5,1.0,maikellPardo,4.0,4.0,4.0,2.0,1
62,20.0,29.17,74.17,0.0,25.0,1.0,Christian7sr,3.0,3.0,3.0,2.0,1
63,20.0,41.67,174.17,62.5,50.0,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,1
64,0.0,25.0,62.5,25.0,12.5,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,1
65,20.0,25.0,120.0,37.5,37.5,1.0,aldiazve,0.0,3.0,6.0,3.0,1
66,0.0,25.0,87.5,12.5,50.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,1
67,40.0,75.0,165.0,0.0,50.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,1
68,0.0,25.0,162.5,37.5,100.0,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,1
69,20.0,37.5,97.5,40.0,0.0,1.0,anfmorenoso,0.0,2.0,5.0,2.0,1
70,20.0,25.0,57.5,0.0,12.5,1.0,nabautistal,0.0,0.0,3.0,1.0,1
71,20.0,25.0,70.0,0.0,25.0,1.0,crigar,1.0,0.0,2.0,4.0,1
72,40.0,50.0,219.17,41.67,87.5,1.0,jiapulidoar,4.0,4.0,5.0,2.0,1
73,20.0,33.33,103.33,0.0,50.0,1.0,jsviveroj,1.0,3.0,4.0,2.0,1
74,0.0,25.0,137.5,62.5,50.0,1.0,daandradec,2.0,2.0,6.0,2.0,1
75,20.0,41.67,136.67,0.0,75.0,1.0,jcrubioa,0.0,0.0,5.0,2.0,1
76,0.0,37.5,150.0,62.5,50.0,1.0,joahernandezca,1.0,1.0,0.0,0.0,1
77,0.0,0.0,0.0,0.0,0.0,1.0,ItsNavi,1.0,2.0,5.0,2.0,1
78,0.0,0.0,0.0,0.0,0.0,1.0,Zeugmax,1.0,3.0,5.0,2.0,1
79,0.0,0.0,0.0,0.0,0.0,1.0,kastellanos,5.0,5.0,5.0,3.0,1
80,0.0,0.0,62.5,0.0,62.5,1.0,JairVillalba,1.0,1.0,3.0,2.0,1
81,20.0,37.5,82.5,0.0,25.0,2.0,jusherrerama,,,,,1
82,0.0,0.0,0.0,0.0,0.0,2.0,bdvegat,1.0,2.0,4.0,1.0,1
83,20.0,29.17,74.17,25.0,0.0,2.0,Phoenixest,0.0,1.0,3.0,1.0,1
84,0.0,0.0,0.0,0.0,0.0,2.0,HashNick,1.0,3.0,5.0,3.0,1
85,0.0,0.0,0.0,0.0,0.0,2.0,ccvacad,1.0,0.0,4.0,2.0,1
86,20.0,25.0,107.5,0.0,62.5,2.0,joaortizro,0.0,2.0,2.0,1.0,1
87,60.0,54.17,251.67,62.5,75.0,2.0,juasmartinezbel,0.0,5.0,5.0,2.0,1
88,0.0,29.17,91.67,25.0,37.5,2.0,mdbelloc,1.0,3.0,2.0,2.0,1
89,20.0,45.83,90.83,0.0,25.0,2.0,diegocruz10,3.0,3.0,3.0,1.0,1
90,20.0,25.0,45.0,0.0,0.0,2.0,crarojasca,1.0,3.0,5.0,2.0,1
91,0.0,25.0,50.0,0.0,25.0,2.0,sagilm,0.0,0.0,3.0,1.0,1
92,20.0,62.5,207.5,62.5,62.5,2.0,idrojasf,1.0,1.0,4.0,4.0,1
93,0.0,0.0,0.0,0.0,0.0,2.0,raulramirezp,1.0,2.0,5.0,2.0,1
94,80.0,75.0,205.0,0.0,50.0,2.0,fabianr23,5.0,4.0,5.0,2.0,1
95,20.0,29.17,142.92,43.75,50.0,2.0,jhriverasa,1.0,3.0,2.0,2.0,1
96,0.0,25.0,100.0,25.0,50.0,2.0,jhonsd1996,3.0,4.0,4.0,2.0,1
97,0.0,25.0,100.0,0.0,75.0,2.0,JuanitoAli,1.0,1.0,5.0,2.0,1
98,20.0,50.0,207.5,75.0,62.5,2.0,Davsatu313,0.0,3.0,5.0,2.0,1
99,20.0,29.17,86.67,0.0,37.5,2.0,cesarochoa2006,0.0,1.0,6.0,0.0,1
100,20.0,25.0,82.5,0.0,37.5,2.0,jjmuesesq,0.0,3.0,2.0,2.0,1
101,0.0,0.0,12.5,0.0,12.5,2.0,jucjimenezmo,0.0,0.0,3.0,2.0,1
102,20.0,29.17,37.5,0.0,37.5,2.0,kancas,0.0,0.0,5.0,2.0,1
103,20.0,45.83,115.83,0.0,50.0,2.0,Gantiva,2.0,4.0,3.0,2.0,1
104,20.0,29.17,105.42,43.75,12.5,2.0,Dandarprox,0.0,1.0,4.0,2.0,1
105,0.0,25.0,162.5,62.5,75.0,2.0,debeltranc,1.0,4.0,4.0,1.0,1
106,20.0,29.17,161.67,62.5,50.0,2.0,ykchautai,4.0,4.0,4.0,1.0,1
107,0.0,33.33,133.33,62.5,37.5,2.0,ligibrial,1.0,5.0,3.0,2.0,1
108,0.0,0.0,0.0,0.0,0.0,2.0,davidrh195,3.0,3.0,5.0,1.0,1
109,0.0,29.17,54.17,0.0,25.0,2.0,JulianaNino,1.0,1.0,3.0,1.0,1
110,0.0,29.17,129.17,62.5,37.5,2.0,luegilca,0.0,1.0,6.0,2.0,1
111,40.0,41.67,231.67,62.5,87.5,2.0,Yelis3,1.0,4.0,6.0,3.0,1
112,20.0,25.0,157.5,75.0,37.5,2.0,begarzonf,2.0,3.0,4.0,2.0,1
113,40.0,33.33,185.83,62.5,50.0,2.0,kmendezp96,1.0,5.0,6.0,1.0,1
114,20.0,45.83,153.33,62.5,25.0,2.0,leguzman,0.0,2.0,5.0,2.0,1
115,0.0,29.17,154.17,62.5,62.5,2.0,luealfonsoru,3.0,4.0,4.0,2.0,1
116,0.0,29.17,54.17,0.0,25.0,2.0,oserasoa,4.0,3.0,3.0,1.0,1
117,0.0,25.0,62.5,25.0,12.5,2.0,lsfinite,1.0,1.0,6.0,3.0,1
118,60.0,37.5,260.0,75.0,87.5,2.0,xdanielsb,3.0,3.0,3.0,2.0,1
119,0.0,0.0,0.0,0.0,0.0,2.0,CSebasGomez,3.0,3.0,5.0,2.0,1
120,0.0,0.0,0.0,0.0,0.0,2.0,jhcardenasa,4.0,4.0,5.0,3.0,1
121,0.0,0.0,0.0,0.0,0.0,2.0,tres-iqus,1.0,1.0,4.0,0.0,1
122,0.0,0.0,0.0,0.0,0.0,2.0,jscontrerasp,1.0,1.0,4.0,0.0,1
123,0.0,33.33,58.33,0.0,25.0,3.0,lemartinp,0.0,0.0,4.0,1.0,1
124,20.0,29.17,161.67,62.5,50.0,3.0,juligarji,4.0,4.0,5.0,3.0,1
125,0.0,29.17,104.17,25.0,50.0,3.0,nfmorenog,0.0,2.0,3.0,1.0,1
126,0.0,25.0,37.5,0.0,12.5,3.0,AFelipeGA,4.0,3.0,5.0,2.0,1
127,0.0,0.0,0.0,0.0,0.0,3.0,mballeng91,2.0,6.0,6.0,2.0,1
128,0.0,41.67,41.67,0.0,0.0,3.0,dduartec,1.0,5.0,4.0,1.0,1
129,0.0,0.0,25.0,0.0,25.0,3.0,srmedinac,1.0,2.0,4.0,1.0,1
130,20.0,45.83,78.33,0.0,12.5,3.0,wilson911013,0.0,1.0,2.0,1.0,1
131,60.0,54.17,239.17,62.5,62.5,3.0,wapiravaguens,0.0,1.0,4.0,2.0,1
132,60.0,58.33,155.83,0.0,37.5,3.0,davidh17,3.0,3.0,5.0,3.0,1
133,0.0,62.5,100.0,0.0,37.5,3.0,DianaNavarrete,0.0,1.0,5.0,2.0,1
134,0.0,0.0,0.0,0.0,0.0,3.0,jdmonroyg,0.0,1.0,4.0,1.0,1
135,20.0,29.17,99.17,0.0,50.0,3.0,jorge52an,4.0,4.0,5.0,2.0,1
136,60.0,29.17,201.67,62.5,50.0,3.0,jscastelblancoh,0.0,0.0,3.0,2.0,1
137,20.0,25.0,70.0,0.0,25.0,3.0,juclopezso,1.0,3.0,3.0,2.0,1
138,20.0,33.33,65.83,0.0,12.5,3.0,afforeroc,1.0,4.0,3.0,2.0,1
139,20.0,25.0,57.5,0.0,12.5,3.0,dagofonseca,0.0,0.0,2.0,2.0,1
140,20.0,29.17,186.67,75.0,62.5,3.0,lacardenasv,1.0,2.0,5.0,4.0,1
141,0.0,29.17,91.67,62.5,0.0,3.0,oacastillol,2.0,1.0,5.0,1.0,1
142,0.0,29.17,91.67,62.5,0.0,3.0,ncampuzano,1.0,3.0,4.0,2.0,1
143,20.0,33.33,103.33,25.0,25.0,3.0,adriel62,1.0,3.0,5.0,2.0,1
144,20.0,25.0,107.5,37.5,25.0,3.0,capinzor,0.0,0.0,2.0,2.0,1
145,0.0,0.0,12.5,0.0,12.5,3.0,ofnanezn,0.0,1.0,6.0,2.0,1
146,0.0,25.0,168.75,43.75,100.0,3.0,macuestap,0.0,1.0,4.0,1.0,1
147,20.0,58.33,128.33,0.0,50.0,3.0,spenas,5.0,4.0,6.0,1.0,1
148,20.0,37.5,107.5,0.0,50.0,3.0,kgbayala528,1.0,5.0,6.0,2.0,1
149,20.0,29.17,136.67,25.0,62.5,3.0,lgmoralesa,2.0,2.0,4.0,3.0,1
150,20.0,29.17,182.5,45.83,87.5,3.0,ronaldsg20,0.0,3.0,5.0,2.0,1
151,20.0,29.17,74.17,0.0,25.0,3.0,cccristanchoc,1.0,1.0,4.0,1.0,1
152,100.0,79.17,329.17,87.5,62.5,3.0,jmalvarezd,3.0,3.0,5.0,2.0,1
153,20.0,29.17,99.17,0.0,50.0,3.0,smarquezo,0.0,0.0,2.0,0.0,1
154,20.0,25.0,107.5,12.5,50.0,3.0,sarizag,4.0,3.0,6.0,2.0,1
155,20.0,25.0,45.0,0.0,0.0,3.0,Chranium,4.0,5.0,6.0,2.0,1
156,20.0,54.17,111.67,0.0,37.5,3.0,DavidQP,2.0,3.0,4.0,3.0,1
157,20.0,25.0,120.0,25.0,50.0,3.0,afceballosr,1.0,3.0,5.0,2.0,1
158,0.0,29.17,154.17,25.0,100.0,3.0,lizzyt10h,2.0,1.0,5.0,2.0,1
159,0.0,25.0,112.5,25.0,62.5,3.0,NicolasPrr,3.0,4.0,3.0,2.0,1
160,40.0,33.33,185.83,50.0,62.5,3.0,jumcorredorro,1.0,1.0,5.0,2.0,1
161,0.0,0.0,12.5,0.0,12.5,3.0,feartheGru,2.0,2.0,5.0,2.0,1
162,0.0,0.0,50.0,0.0,50.0,3.0,Danielsv9207,1.0,1.0,1.0,3.0,1
163,0.0,0.0,0.0,0.0,0.0,3.0,JhonEmmanuelTorres,5.0,4.0,5.0,2.0,1
165,60.0,37.5,172.5,0.0,75.0,0.0,fffeelipe,1.0,0.0,5.0,3.0,2
166,20.0,37.5,220.0,75.0,87.5,0.0,mnguzmanc,2.0,1.0,3.0,2.0,2
167,20.0,33.33,140.83,25.0,62.5,0.0,jmcuestasb,1.0,3.0,4.0,2.0,2
168,0.0,0.0,12.5,0.0,12.5,0.0,katherinsb,1.0,2.0,4.0,2.0,2
169,20.0,29.17,111.67,0.0,62.5,0.0,jjrodriguezn,2.0,2.0,3.0,1.0,2
170,40.0,45.83,123.33,0.0,37.5,0.0,DglyP,1.0,3.0,4.0,3.0,2
171,0.0,20.83,33.33,0.0,12.5,0.0,cap182,0.0,1.0,4.0,2.0,2
172,20.0,45.83,103.33,0.0,37.5,0.0,annumumozme,,,,,2
173,20.0,29.17,86.67,0.0,37.5,0.0,Judgarciani,3.0,3.0,4.0,2.0,2
174,20.0,33.33,203.33,62.5,87.5,0.0,sacastroc,1.0,2.0,4.0,2.0,2
175,20.0,33.33,165.83,62.5,50.0,0.0,pcberriop,0.0,1.0,3.0,2.0,2
176,20.0,29.17,86.67,0.0,37.5,0.0,hsmartineza,0.0,1.0,3.0,2.0,2
177,0.0,33.33,120.83,25.0,62.5,0.0,Moimolcp,1.0,1.0,5.0,1.0,2
178,0.0,25.0,62.5,0.0,37.5,0.0,CamiloRueda,3.0,3.0,6.0,1.0,2
179,0.0,25.0,62.5,25.0,12.5,0.0,juanescai,1.0,2.0,5.0,2.0,2
180,0.0,33.33,145.83,25.0,87.5,0.0,JoseMolano,1.0,5.0,4.0,4.0,2
181,0.0,25.0,87.5,25.0,37.5,0.0,maikellPardoA,3.0,3.0,3.0,2.0,2
182,0.0,25.0,100.0,25.0,50.0,0.0,NicolasZon,3.0,3.0,3.0,1.0,2
183,20.0,25.0,195.0,87.5,62.5,0.0,camilo654,0.0,1.0,4.0,2.0,2
184,20.0,33.33,103.33,0.0,50.0,0.0,CristianLozano,,,,,2
185,0.0,25.0,125.0,25.0,75.0,0.0,jdsuarezj,1.0,3.0,3.0,2.0,2
186,20.0,33.33,103.33,0.0,50.0,0.0,pipemax85,1.0,3.0,5.0,2.0,2
187,20.0,33.33,128.33,25.0,50.0,0.0,juandavidro,1.0,2.0,2.0,2.0,2
188,20.0,33.33,190.83,62.5,75.0,0.0,UNhcrodriguezl,3.0,3.0,5.0,3.0,2
189,20.0,33.33,103.33,0.0,50.0,0.0,camilo13152,3.0,5.0,5.0,2.0,2
190,0.0,25.0,112.5,25.0,62.5,0.0,leavendanoro,0.0,1.0,4.0,1.0,2
191,20.0,33.33,190.83,62.5,75.0,0.0,cdcordobaa,2.0,4.0,5.0,2.0,2
192,60.0,37.5,247.5,87.5,62.5,0.0,capinillab,0.0,0.0,0.0,0.0,2
193,20.0,29.17,86.67,0.0,37.5,0.0,janoguerab,3.0,3.0,4.0,2.0,2
194,0.0,41.67,141.67,25.0,75.0,0.0,lfvalderrama,0.0,3.0,5.0,2.0,2
195,40.0,41.67,231.67,87.5,62.5,0.0,bsgarciac,0.0,3.0,4.0,2.0,2
196,0.0,25.0,62.5,0.0,37.5,0.0,gabi04,0.0,0.0,5.0,2.0,2
197,0.0,0.0,12.5,0.0,12.5,0.0,annipi,1.0,0.0,4.0,2.0,2
198,0.0,0.0,12.5,0.0,12.5,0.0,jdsolanos,1.0,1.0,5.0,2.0,2
199,0.0,0.0,12.5,0.0,12.5,0.0,jcneivaa,0.0,0.0,4.0,2.0,2
200,0.0,0.0,12.5,0.0,12.5,0.0,fmbernalb,1.0,2.0,2.0,1.0,2
201,0.0,0.0,12.5,0.0,12.5,0.0,MogGy94,3.0,3.0,4.0,0.0,2
202,0.0,0.0,12.5,0.0,12.5,0.0,yocuervoc,0.0,1.0,5.0,2.0,2
203,0.0,25.0,62.5,25.0,12.5,0.0,odprietoh,4.0,4.0,5.0,2.0,2
204,20.0,33.33,140.83,25.0,62.5,1.0,gasierram,3.0,4.0,5.0,4.0,2
205,20.0,25.0,95.0,0.0,50.0,1.0,adamantwharf,,,,,2
206,20.0,25.0,95.0,0.0,50.0,1.0,bdcajicam,0.0,2.0,5.0,2.0,2
207,20.0,25.0,57.5,0.0,12.5,1.0,andfsanchezlem,0.0,1.0,3.0,1.0,2
208,20.0,58.33,128.33,0.0,50.0,1.0,dfhincapiem,4.0,1.0,5.0,1.0,2
209,0.0,25.0,150.0,87.5,37.5,1.0,helmeraac,5.0,4.0,6.0,4.0,2
210,0.0,25.0,75.0,0.0,50.0,1.0,dasalgadob,1.0,2.0,4.0,3.0,2
211,80.0,62.5,330.0,87.5,100.0,1.0,falperezgo,4.0,4.0,5.0,3.0,2
212,60.0,62.5,266.25,81.25,62.5,1.0,djguzmanc,0.0,5.0,6.0,3.0,2
213,0.0,20.83,133.33,75.0,37.5,1.0,gsuarezc04,1.0,1.0,3.0,2.0,2
214,80.0,58.33,288.33,75.0,75.0,1.0,oeroaq,4.0,4.0,5.0,3.0,2
215,60.0,41.67,251.67,87.5,62.5,1.0,gcantem,0.0,2.0,5.0,2.0,2
216,20.0,33.33,190.83,62.5,75.0,1.0,Semoralesga,4.0,3.0,4.0,2.0,2
217,40.0,37.5,227.5,62.5,87.5,1.0,jonatan360,4.0,4.0,6.0,4.0,2
218,60.0,66.67,289.17,87.5,75.0,1.0,jesusfchavarro,4.0,3.0,6.0,3.0,2
219,60.0,66.67,289.17,87.5,75.0,1.0,jesusfchavarro,5.0,3.0,6.0,3.0,2
220,20.0,33.33,103.33,0.0,50.0,1.0,stevenbustos,0.0,1.0,0.0,1.0,2
221,0.0,33.33,108.33,25.0,50.0,1.0,jufcontrerasco,0.0,0.0,5.0,2.0,2
222,100.0,70.83,333.33,87.5,75.0,1.0,dsbarrerag,0.0,4.0,5.0,2.0,2
223,20.0,33.33,190.83,62.5,75.0,1.0,wolfstain,3.0,3.0,6.0,0.0,2
224,20.0,33.33,115.83,0.0,62.5,1.0,miaborjaac,0.0,0.0,4.0,1.0,2
225,20.0,33.33,128.33,0.0,75.0,1.0,ivdgonzalezco,1.0,4.0,4.0,2.0,2
226,0.0,25.0,62.5,25.0,12.5,1.0,maikellPardo,4.0,4.0,4.0,2.0,2
227,20.0,29.17,111.67,0.0,62.5,1.0,Christian7sr,3.0,3.0,3.0,2.0,2
228,20.0,50.0,207.5,75.0,62.5,1.0,jsnarvaezb,0.0,1.0,3.0,2.0,2
229,0.0,25.0,62.5,0.0,37.5,1.0,gfalbarracinr,1.0,1.0,5.0,2.0,2
230,40.0,45.83,210.83,50.0,75.0,1.0,aldiazve,0.0,3.0,6.0,3.0,2
231,40.0,54.17,219.17,50.0,75.0,1.0,diegoaguevarar,0.0,1.0,5.0,2.0,2
232,0.0,29.17,129.17,25.0,75.0,1.0,fevargasmo,2.0,3.0,4.0,4.0,2
233,0.0,25.0,87.5,0.0,62.5,1.0,jmhurtadoc,6.0,6.0,6.0,2.0,2
234,20.0,33.33,115.83,0.0,62.5,1.0,anfmorenoso,0.0,2.0,5.0,2.0,2
235,20.0,29.17,99.17,0.0,50.0,1.0,nabautistal,0.0,0.0,3.0,1.0,2
236,20.0,25.0,95.0,0.0,50.0,1.0,crigar,1.0,0.0,2.0,4.0,2
237,40.0,41.67,256.67,75.0,100.0,1.0,jiapulidoar,4.0,4.0,5.0,2.0,2
238,20.0,33.33,153.33,25.0,75.0,1.0,jsviveroj,1.0,3.0,4.0,2.0,2
239,80.0,58.33,313.33,87.5,87.5,1.0,daandradec,2.0,2.0,6.0,2.0,2
240,0.0,25.0,187.5,87.5,75.0,1.0,jcrubioa,0.0,0.0,5.0,2.0,2
241,0.0,25.0,75.0,0.0,50.0,1.0,joahernandezca,1.0,1.0,0.0,0.0,2
242,0.0,0.0,12.5,0.0,12.5,1.0,ItsNavi,1.0,2.0,5.0,2.0,2
243,0.0,0.0,12.5,0.0,12.5,1.0,Zeugmax,1.0,3.0,5.0,2.0,2
244,0.0,0.0,0.0,0.0,0.0,1.0,kastellanos,5.0,5.0,5.0,3.0,2
245,0.0,0.0,62.5,0.0,62.5,1.0,JairVillalba,1.0,1.0,3.0,2.0,2
246,20.0,29.17,161.67,50.0,62.5,2.0,jusherrerama,,,,,2
247,20.0,25.0,95.0,0.0,50.0,2.0,bdvegat,1.0,2.0,4.0,1.0,2
248,20.0,29.17,111.67,25.0,37.5,2.0,Phoenixest,0.0,1.0,3.0,1.0,2
249,0.0,33.33,108.33,25.0,50.0,2.0,HashNick,1.0,3.0,5.0,3.0,2
250,0.0,0.0,12.5,0.0,12.5,2.0,ccvacad,1.0,0.0,4.0,2.0,2
251,60.0,33.33,268.33,87.5,87.5,2.0,joaortizro,0.0,2.0,2.0,1.0,2
252,80.0,54.17,296.67,87.5,75.0,2.0,juasmartinezbel,0.0,5.0,5.0,2.0,2
253,0.0,25.0,125.0,25.0,75.0,2.0,mdbelloc,1.0,3.0,2.0,2.0,2
254,20.0,58.33,128.33,0.0,50.0,2.0,diegocruz10,3.0,3.0,3.0,1.0,2
255,20.0,25.0,57.5,0.0,12.5,2.0,crarojasca,1.0,3.0,5.0,2.0,2
256,0.0,33.33,70.83,0.0,37.5,2.0,sagilm,0.0,0.0,3.0,1.0,2
257,60.0,45.83,168.33,25.0,37.5,2.0,idrojasf,1.0,1.0,4.0,4.0,2
258,40.0,29.17,219.17,75.0,75.0,2.0,raulramirezp,1.0,2.0,5.0,2.0,2
259,80.0,62.5,330.0,87.5,100.0,2.0,fabianr23,5.0,4.0,5.0,2.0,2
260,20.0,29.17,224.17,87.5,87.5,2.0,jhriverasa,1.0,3.0,2.0,2.0,2
261,0.0,0.0,75.0,0.0,75.0,2.0,jhonsd1996,3.0,4.0,4.0,2.0,2
262,80.0,54.17,284.17,87.5,62.5,2.0,JuanitoAli,1.0,1.0,5.0,2.0,2
263,20.0,54.17,236.67,75.0,87.5,2.0,Davsatu313,0.0,3.0,5.0,2.0,2
264,60.0,45.83,255.83,87.5,62.5,2.0,cesarochoa2006,0.0,1.0,6.0,0.0,2
265,20.0,29.17,186.67,87.5,50.0,2.0,jjmuesesq,0.0,3.0,2.0,2.0,2
266,20.0,29.17,99.17,0.0,50.0,2.0,jucjimenezmo,0.0,0.0,3.0,2.0,2
267,60.0,33.33,243.33,87.5,62.5,2.0,kancas,0.0,0.0,5.0,2.0,2
268,0.0,33.33,133.33,25.0,75.0,2.0,Gantiva,2.0,4.0,3.0,2.0,2
269,40.0,33.33,135.83,0.0,62.5,2.0,Dandarprox,0.0,1.0,4.0,2.0,2
270,0.0,25.0,75.0,0.0,50.0,2.0,debeltranc,1.0,4.0,4.0,1.0,2
271,20.0,37.5,120.0,0.0,62.5,2.0,ykchautai,4.0,4.0,4.0,1.0,2
272,0.0,33.33,108.33,25.0,50.0,2.0,ligibrial,1.0,5.0,3.0,2.0,2
273,20.0,25.0,120.0,0.0,75.0,2.0,davidrh195,3.0,3.0,5.0,1.0,2
274,0.0,29.17,91.67,0.0,62.5,2.0,JulianaNino,1.0,1.0,3.0,1.0,2
